년도,월,나이,거창군,거창읍,주상면,웅양면,고제면,북상면,위천면,마리면,남상면,남하면,신원면,가조면,가북면
2020,1,총,"31,774","20,851",808,971,728,802,"1,067","1,055","1,250",767,772,"1,975",728
2020,1,0,"1,913","1,681",14,19,24,14,23,21,33,15,9,49,11
2020,1,10,"2,751","2,317",23,46,26,30,64,43,37,24,17,101,23
2020,1,20,"2,521","2,004",41,51,40,34,59,51,65,39,17,94,26
2020,1,30,"2,578","2,174",26,41,19,29,46,47,46,29,18,85,18
2020,1,40,"3,859","3,191",40,73,55,47,82,66,77,34,32,121,41
2020,1,50,"5,235","3,511",126,136,140,131,161,157,219,111,108,335,100
2020,1,60,"4,920","2,724",170,187,157,158,207,210,232,155,177,382,161
2020,1,70,"4,246","1,921",171,229,124,177,205,224,265,157,215,394,164
2020,1,80,"3,224","1,134",167,161,123,158,187,212,231,174,161,359,157
2020,1,90,495,179,30,25,17,24,31,23,43,28,18,53,24
2020,1,100,32,15,0,3,3,0,2,1,2,1,0,2,3
2020,2,총,"31,750","20,857",804,970,720,804,"1,058","1,057","1,241",765,771,"1,972",731
2020,2,0,"1,896","1,669",14,18,21,15,23,21,33,15,9,47,11
2020,2,10,"2,735","2,308",23,46,25,28,62,45,35,23,16,100,24
2020,2,20,"2,507","2,002",39,50,39,35,58,49,63,38,16,92,26
2020,2,30,"2,562","2,160",27,40,19,32,46,46,45,26,18,87,16
2020,2,40,"3,874","3,210",38,71,54,46,82,68,74,37,30,122,42
2020,2,50,"5,198","3,498",124,138,136,127,159,157,214,110,106,328,101
2020,2,60,"4,968","2,752",173,188,157,162,205,212,236,157,180,386,160
2020,2,70,"4,223","1,917",166,229,125,173,201,222,265,154,213,391,167
2020,2,80,"3,244","1,139",169,162,123,162,188,213,232,177,164,361,154
2020,2,90,510,186,31,25,18,24,32,23,42,27,19,56,27
2020,2,100,33,16,0,3,3,0,2,1,2,1,0,2,3
