년도,월,나이,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020,1,총,"248,286","19,768","21,288","14,946","12,391","15,559","16,855","14,569","13,208","12,971","13,070","25,155","14,562","10,816","8,142","4,410","30,576"
2020,1,0,"15,365","1,346","1,300",666,532,864,"1,030",661,798,"1,407",535,"1,558",910,615,424,225,"2,494"
2020,1,10,"19,738","1,245","1,379",955,904,"1,318","1,567",966,"1,153","1,033",855,"1,909","1,085",811,622,260,"3,676"
2020,1,20,"33,776","2,678","2,747","2,121","1,875","2,293","2,283","2,474","1,822","1,276","1,709","3,416","1,951","1,450","1,042",574,"4,065"
2020,1,30,"34,835","3,069","2,933","1,947","1,600","2,106","2,144","2,177","1,878","2,424","1,633","3,680","2,102","1,401","1,056",551,"4,134"
2020,1,40,"39,536","2,946","3,284","2,076","1,810","2,543","2,666","2,166","2,256","2,317","1,891","4,012","2,225","1,710","1,212",570,"5,852"
2020,1,50,"40,056","3,141","3,663","2,708","2,207","2,619","2,851","2,216","1,973","1,711","2,176","4,140","2,439","1,872","1,401",802,"4,137"
2020,1,60,"32,979","2,710","2,927","2,268","1,815","1,970","2,208","1,929","1,664","1,420","2,000","3,315","2,008","1,587","1,237",724,"3,197"
2020,1,70,"21,335","1,758","2,014","1,505","1,168","1,259","1,376","1,353","1,102",927,"1,508","2,138","1,243",900,786,451,"1,847"
2020,1,80,"8,890",723,893,599,394,495,602,533,468,391,658,837,518,405,299,213,862
2020,1,90,"1,447",134,128,92,73,81,116,78,85,55,91,131,71,57,57,37,161
2020,1,100,329,18,20,9,13,11,12,16,9,10,14,19,10,8,6,3,151
2020,2,총,"248,238","19,769","21,250","14,962","12,374","15,525","16,827","14,587","13,210","13,011","13,089","25,106","14,548","10,807","8,144","4,375","30,654"
2020,2,0,"15,218","1,342","1,282",662,530,862,"1,019",642,783,"1,410",530,"1,532",895,600,415,222,"2,492"
2020,2,10,"19,654","1,233","1,359",952,895,"1,312","1,566",961,"1,142","1,030",857,"1,881","1,085",814,620,256,"3,691"
2020,2,20,"33,889","2,673","2,759","2,147","1,877","2,298","2,266","2,515","1,818","1,276","1,740","3,412","1,955","1,451","1,057",565,"4,080"
2020,2,30,"34,723","3,067","2,912","1,936","1,601","2,068","2,119","2,167","1,885","2,438","1,635","3,670","2,091","1,398","1,057",545,"4,134"
2020,2,40,"39,485","2,947","3,260","2,059","1,801","2,542","2,686","2,162","2,265","2,322","1,875","4,000","2,222","1,711","1,205",569,"5,859"
2020,2,50,"39,962","3,134","3,650","2,721","2,199","2,607","2,825","2,214","1,969","1,714","2,175","4,129","2,434","1,867","1,395",799,"4,130"
2020,2,60,"33,176","2,719","2,962","2,273","1,822","1,979","2,230","1,936","1,677","1,423","1,998","3,351","2,019","1,591","1,239",717,"3,240"
2020,2,70,"21,365","1,765","2,020","1,502","1,167","1,265","1,382","1,357","1,107",928,"1,511","2,128","1,247",899,793,450,"1,844"
2020,2,80,"8,970",735,898,605,395,497,607,540,471,402,660,848,520,412,299,213,868
2020,2,90,"1,464",136,127,96,73,84,115,78,84,57,94,135,71,56,58,36,164
2020,2,100,332,18,21,9,14,11,12,15,9,11,14,20,9,8,6,3,152
2020,3,총,"247,872","19,795","21,201","14,875","12,331","15,518","16,784","14,563","13,205","13,129","13,034","25,069","14,517","10,765","8,061","4,372","30,653"
2020,3,0,"15,080","1,334","1,258",651,525,850,"1,001",633,773,"1,416",522,"1,512",888,601,415,221,"2,480"
2020,3,10,"19,527","1,239","1,364",942,881,"1,295","1,555",960,"1,132","1,025",830,"1,882","1,082",806,602,256,"3,676"
2020,3,20,"34,073","2,687","2,769","2,153","1,876","2,334","2,263","2,533","1,847","1,304","1,757","3,433","1,952","1,445","1,054",569,"4,097"
2020,3,30,"34,470","3,066","2,876","1,898","1,594","2,068","2,098","2,151","1,864","2,477","1,621","3,620","2,077","1,392","1,022",543,"4,103"
2020,3,40,"39,287","2,942","3,242","2,033","1,793","2,517","2,666","2,163","2,259","2,339","1,853","3,977","2,224","1,685","1,189",568,"5,837"
2020,3,50,"39,878","3,157","3,637","2,706","2,184","2,609","2,828","2,177","1,969","1,716","2,155","4,125","2,436","1,862","1,378",796,"4,143"
2020,3,60,"33,363","2,715","2,981","2,278","1,826","1,978","2,254","1,948","1,681","1,439","2,006","3,377","2,027","1,605","1,250",723,"3,275"
2020,3,70,"21,380","1,770","2,011","1,502","1,167","1,275","1,376","1,357","1,113",938,"1,510","2,133","1,243",899,793,443,"1,850"
2020,3,80,"9,021",729,912,611,400,498,614,546,476,408,669,853,509,407,297,214,878
2020,3,90,"1,460",139,129,92,71,83,118,80,82,55,97,136,70,55,55,36,162
2020,3,100,333,17,22,9,14,11,11,15,9,12,14,21,9,8,6,3,152
2020,4,총,"247,916","19,793","21,190","14,845","12,256","15,468","16,728","14,562","13,156","13,691","13,059","24,993","14,451","10,704","8,039","4,361","30,620"
2020,4,0,"14,987","1,315","1,245",636,514,838,989,621,750,"1,528",510,"1,495",884,589,402,219,"2,452"
2020,4,10,"19,491","1,233","1,357",950,868,"1,292","1,545",951,"1,124","1,061",840,"1,873","1,066",797,605,253,"3,676"
2020,4,20,"34,115","2,700","2,769","2,153","1,863","2,304","2,255","2,563","1,858","1,355","1,765","3,427","1,936","1,437","1,058",568,"4,104"
2020,4,30,"34,504","3,066","2,876","1,881","1,569","2,069","2,091","2,143","1,865","2,625","1,635","3,584","2,070","1,382","1,023",546,"4,079"
2020,4,40,"39,176","2,930","3,240","2,024","1,769","2,499","2,649","2,162","2,242","2,428","1,839","3,962","2,206","1,661","1,178",560,"5,827"
2020,4,50,"39,886","3,164","3,634","2,705","2,182","2,607","2,817","2,176","1,963","1,769","2,161","4,113","2,434","1,855","1,367",793,"4,146"
2020,4,60,"33,469","2,736","2,979","2,273","1,836","1,983","2,265","1,949","1,675","1,487","2,017","3,401","2,020","1,602","1,249",726,"3,271"
2020,4,70,"21,425","1,775","2,019","1,508","1,170","1,281","1,377","1,349","1,111",956,"1,507","2,120","1,241",909,796,444,"1,862"
2020,4,80,"9,062",724,920,612,400,501,610,553,477,412,671,862,515,408,299,213,885
2020,4,90,"1,465",133,129,94,71,83,119,80,82,57,100,135,70,56,56,36,164
2020,4,100,336,17,22,9,14,11,11,15,9,13,14,21,9,8,6,3,154
2020,5,총,"247,967","19,762","21,149","14,787","12,199","15,431","16,700","14,593","13,378","13,995","13,035","24,933","14,408","10,662","8,019","4,339","30,577"
2020,5,0,"14,913","1,306","1,234",620,506,838,985,609,766,"1,563",504,"1,482",876,580,398,213,"2,433"
2020,5,10,"19,400","1,228","1,341",945,852,"1,272","1,530",948,"1,130","1,095",829,"1,862","1,044",790,603,253,"3,678"
2020,5,20,"34,158","2,666","2,772","2,152","1,867","2,301","2,252","2,610","1,906","1,382","1,762","3,407","1,942","1,440","1,054",562,"4,083"
2020,5,30,"34,520","3,105","2,869","1,860","1,548","2,060","2,079","2,141","1,910","2,667","1,630","3,589","2,065","1,381","1,024",543,"4,049"
2020,5,40,"39,035","2,910","3,206","2,002","1,754","2,498","2,642","2,168","2,249","2,495","1,827","3,932","2,188","1,632","1,169",554,"5,809"
2020,5,50,"39,981","3,151","3,640","2,696","2,175","2,594","2,826","2,178","2,013","1,815","2,167","4,105","2,424","1,854","1,367",796,"4,180"
2020,5,60,"33,530","2,737","2,988","2,285","1,826","1,985","2,257","1,938","1,710","1,518","2,013","3,409","2,032","1,599","1,249",723,"3,261"
2020,5,70,"21,526","1,789","2,014","1,517","1,186","1,281","1,389","1,357","1,124",967,"1,518","2,117","1,243",918,790,444,"1,872"
2020,5,80,"9,090",718,930,608,399,508,611,549,479,419,675,872,512,405,302,214,889
2020,5,90,"1,479",134,133,94,73,83,118,80,82,61,96,137,73,55,57,34,169
2020,5,100,335,18,22,8,13,11,11,15,9,13,14,21,9,8,6,3,154
2020,6,총,"248,884","19,663","21,108","14,754","12,161","15,373","16,660","14,560","14,767","14,065","12,987","24,881","14,396","10,644","7,996","4,337","30,532"
2020,6,0,"15,014","1,293","1,229",615,495,839,963,605,971,"1,560",498,"1,461",881,574,395,214,"2,421"
2020,6,10,"19,372","1,216","1,327",938,847,"1,263","1,528",926,"1,207","1,111",824,"1,836","1,039",785,603,251,"3,671"
2020,6,20,"34,294","2,659","2,766","2,152","1,872","2,291","2,247","2,646","2,022","1,383","1,762","3,426","1,937","1,449","1,052",560,"4,070"
2020,6,30,"34,738","3,079","2,848","1,857","1,528","2,048","2,081","2,123","2,260","2,679","1,634","3,590","2,055","1,366","1,015",547,"4,028"
