년도,월,나이,서산시,대산읍,인지면,부석면,팔봉면,지곡면,성연면,음암면,운산면,해미면,고북면,부춘동,동문1동,동문2동,수석동,석남동
2020,1,총,"174,663","13,649","7,448","5,428","3,379","8,189","13,838","9,569","5,244","7,541","6,498","19,615","19,249","9,153","16,172","29,691"
2020,1,0,"15,985",756,570,131,65,705,"2,645",598,140,279,414,"1,895","1,832",646,"1,493","3,816"
2020,1,10,"17,687","1,170",741,232,126,727,994,810,299,482,546,"2,189","2,438",939,"2,045","3,949"
2020,1,20,"19,201","1,809",666,324,182,709,"1,563",892,318,805,556,"2,615","2,286","1,145","1,937","3,394"
2020,1,30,"22,756","1,486",735,294,160,"1,041","3,599",946,291,522,638,"2,847","2,408",939,"2,061","4,789"
2020,1,40,"27,647","2,001","1,135",505,300,"1,247","1,919","1,435",574,889,906,"3,348","3,476","1,545","2,902","5,465"
2020,1,50,"28,170","3,041","1,288",915,638,"1,344","1,437","1,675",935,"1,414",866,"3,168","3,180","1,604","2,601","4,064"
2020,1,60,"20,521","1,726","1,005","1,286",835,"1,111",845,"1,403","1,089","1,342","1,054","1,884","1,881","1,207","1,643","2,210"
2020,1,70,"13,507",945,726,997,641,762,482,"1,040",922,"1,117",853,"1,040","1,110",741,921,"1,210"
2020,1,80,"7,980",618,508,669,374,462,315,680,597,610,574,528,555,323,494,673
2020,1,90,"1,145",93,70,74,54,80,35,86,76,78,85,92,75,57,73,117
2020,1,100,64,4,4,1,4,1,4,4,3,3,6,9,8,7,2,4
2020,2,총,"174,596","13,621","7,460","5,400","3,372","8,158","14,039","9,551","5,237","7,502","6,431","19,645","19,241","9,101","16,204","29,634"
2020,2,0,"15,903",757,568,129,60,693,"2,671",593,140,281,389,"1,882","1,834",638,"1,484","3,784"
2020,2,10,"17,561","1,146",733,230,129,723,"1,031",810,298,469,529,"2,168","2,404",931,"2,036","3,924"
2020,2,20,"19,116","1,795",658,311,177,691,"1,549",885,317,781,558,"2,640","2,271","1,133","1,948","3,402"
2020,2,30,"22,639","1,481",731,286,158,"1,026","3,654",927,283,512,616,"2,841","2,383",948,"2,057","4,736"
2020,2,40,"27,755","1,993","1,143",507,305,"1,250","1,981","1,431",581,890,905,"3,356","3,502","1,527","2,916","5,468"
2020,2,50,"28,148","3,050","1,291",908,631,"1,347","1,454","1,668",934,"1,397",854,"3,169","3,186","1,578","2,597","4,084"
2020,2,60,"20,684","1,732","1,024","1,287",830,"1,115",857,"1,417","1,084","1,357","1,063","1,914","1,896","1,225","1,660","2,223"
2020,2,70,"13,544",955,726,992,652,766,485,"1,046",924,"1,115",845,"1,042","1,120",733,929,"1,214"
2020,2,80,"8,031",612,512,674,372,464,321,686,598,619,581,529,559,323,503,678
2020,2,90,"1,150",96,70,75,54,82,33,84,75,78,84,94,78,58,72,117
2020,2,100,65,4,4,1,4,1,3,4,3,3,7,10,8,7,2,4
2020,3,총,"174,629","13,649","7,444","5,388","3,380","8,140","14,162","9,539","5,215","7,500","6,420","19,641","19,246","9,084","16,239","29,582"
2020,3,0,"15,815",752,569,127,62,684,"2,683",586,137,281,388,"1,857","1,826",629,"1,487","3,747"
2020,3,10,"17,507","1,126",720,225,128,726,"1,037",806,295,467,530,"2,169","2,414",931,"2,027","3,906"
2020,3,20,"19,173","1,811",654,314,177,678,"1,577",879,316,782,554,"2,650","2,259","1,130","1,971","3,421"
2020,3,30,"22,529","1,476",723,284,159,"1,024","3,683",915,279,507,607,"2,824","2,363",946,"2,055","4,684"
2020,3,40,"27,783","2,006","1,144",503,311,"1,248","1,992","1,430",578,890,917,"3,359","3,509","1,509","2,923","5,464"
2020,3,50,"28,085","3,049","1,281",897,624,"1,342","1,474","1,664",919,"1,395",848,"3,168","3,187","1,566","2,582","4,089"
2020,3,60,"20,871","1,760","1,037","1,295",822,"1,136",866,"1,434","1,084","1,366","1,061","1,923","1,907","1,242","1,682","2,256"
2020,3,70,"13,578",960,725,990,660,758,488,"1,046",928,"1,111",841,"1,046","1,127",742,938,"1,218"
2020,3,80,"8,068",613,515,674,377,465,323,692,597,618,584,542,564,324,504,676
2020,3,90,"1,156",93,72,78,56,78,36,83,79,80,83,93,82,58,68,117
2020,3,100,64,3,4,1,4,1,3,4,3,3,7,10,8,7,2,4
2020,4,총,"174,645","13,658","7,437","5,393","3,375","8,100","14,269","9,532","5,209","7,470","6,427","19,624","19,241","9,063","16,266","29,581"
2020,4,0,"15,777",754,565,128,61,669,"2,700",580,140,283,398,"1,831","1,831",625,"1,486","3,726"
2020,4,10,"17,446","1,122",721,228,123,718,"1,046",809,292,459,525,"2,161","2,402",925,"2,021","3,894"
2020,4,20,"19,176","1,803",651,305,178,676,"1,585",880,311,775,565,"2,655","2,250","1,125","1,986","3,431"
2020,4,30,"22,467","1,490",712,278,158,998,"3,694",899,276,496,597,"2,827","2,352",940,"2,069","4,681"
2020,4,40,"27,764","1,988","1,139",512,307,"1,243","2,020","1,426",584,889,918,"3,350","3,513","1,505","2,914","5,456"
2020,4,50,"28,100","3,049","1,283",888,626,"1,348","1,488","1,682",913,"1,388",842,"3,169","3,197","1,563","2,573","4,091"
2020,4,60,"20,996","1,789","1,044","1,296",830,"1,143",879,"1,432","1,084","1,374","1,066","1,936","1,914","1,251","1,686","2,272"
2020,4,70,"13,607",957,728,"1,002",657,754,492,"1,039",930,"1,112",840,"1,046","1,122",744,953,"1,231"
2020,4,80,"8,087",610,519,678,376,473,325,699,599,608,585,543,570,319,505,678
2020,4,90,"1,162",93,71,77,55,78,37,82,77,83,84,96,82,59,71,117
2020,4,100,63,3,4,1,4,0,3,4,3,3,7,10,8,7,2,4
2020,5,총,"174,801","13,729","7,426","5,382","3,368","8,090","14,391","9,511","5,206","7,489","6,403","19,664","19,246","9,066","16,300","29,530"
2020,5,0,"15,728",751,556,126,63,658,"2,721",573,141,282,392,"1,839","1,835",619,"1,482","3,690"
2020,5,10,"17,419","1,123",717,224,116,728,"1,046",798,292,472,516,"2,149","2,402",921,"2,024","3,891"
2020,5,20,"19,181","1,829",643,296,176,668,"1,600",864,310,768,574,"2,665","2,233","1,136","2,000","3,419"
2020,5,30,"22,434","1,488",711,275,158,995,"3,722",902,276,496,590,"2,819","2,347",928,"2,066","4,661"
2020,5,40,"27,795","2,001","1,137",507,307,"1,243","2,049","1,423",577,894,909,"3,353","3,514","1,512","2,926","5,443"
2020,5,50,"28,158","3,064","1,287",893,616,"1,345","1,492","1,689",920,"1,383",841,"3,182","3,197","1,555","2,569","4,125"
2020,5,60,"21,073","1,800","1,053","1,302",830,"1,144",897,"1,433","1,081","1,377","1,068","1,941","1,933","1,257","1,689","2,268"
2020,5,70,"13,686",966,730,"1,008",664,756,500,"1,041",925,"1,121",838,"1,066","1,124",750,964,"1,233"
2020,5,80,"8,097",612,515,675,381,476,322,704,603,608,584,546,569,323,502,677
2020,5,90,"1,167",92,73,75,52,77,39,80,79,85,84,94,84,58,76,119
2020,5,100,63,3,4,1,5,0,3,4,2,3,7,10,8,7,2,4
2020,6,총,"174,884","13,769","7,398","5,389","3,366","8,107","14,506","9,510","5,177","7,494","6,405","19,646","19,245","9,057","16,291","29,524"
2020,6,0,"15,673",755,547,124,62,649,"2,720",570,134,281,394,"1,832","1,831",618,"1,464","3,692"
2020,6,10,"17,403","1,115",714,225,118,736,"1,081",795,291,468,515,"2,139","2,393",915,"2,026","3,872"
