년도,월,나이,군포시,군포1동,군포2동,산본1동,산본2동,금정동,재궁동,오금동,수리동,궁내동,대야동,광정동,송부동
2020,1,총,"138,999","15,619","27,205","8,250","14,360","8,455","10,316","11,645","9,038","10,952","9,985","13,174",
2020,1,0,"10,885","1,018","2,493",385,"1,215",418,665,"1,096",652,917,"1,128",898,
2020,1,10,"13,583","1,344","3,098",467,"1,414",605,773,"1,113",839,"1,653",866,"1,411",
2020,1,20,"18,305","2,255","3,565","1,165","1,883","1,283","1,401","1,377","1,066","1,210","1,310","1,790",
2020,1,30,"19,272","1,981","3,736",977,"1,978","1,054","1,664","1,987","1,175","1,211","1,789","1,720",
2020,1,40,"23,288","2,422","4,799","1,047","2,397","1,228","1,555","2,098","1,476","2,353","1,553","2,360",
2020,1,50,"24,690","3,097","4,826","1,711","2,620","1,746","1,745","1,784","1,553","1,782","1,669","2,157",
2020,1,60,"15,374","2,011","2,642","1,323","1,591","1,237","1,274","1,108","1,051",875,961,"1,301",
2020,1,70,"8,120",956,"1,248",721,753,569,750,648,712,538,440,785,
2020,1,80,"4,619",444,660,386,417,271,415,383,454,357,215,617,
2020,1,90,816,85,129,61,90,40,70,51,58,54,51,127,
2020,1,100,47,6,9,7,2,4,4,0,2,2,3,8,
2020,2,총,"138,859","15,630","27,182","8,218","14,331","8,432","10,312","11,628","8,992","10,943","10,042","13,149",
2020,2,0,"10,823","1,003","2,465",386,"1,213",411,653,"1,087",644,917,"1,138",906,
2020,2,10,"13,476","1,330","3,083",454,"1,403",599,771,"1,107",833,"1,642",858,"1,396",
2020,2,20,"18,218","2,270","3,559","1,156","1,847","1,279","1,408","1,360","1,054","1,199","1,305","1,781",
2020,2,30,"19,212","1,993","3,715",974,"1,973","1,055","1,642","1,980","1,149","1,207","1,814","1,710",
2020,2,40,"23,252","2,419","4,803","1,032","2,404","1,214","1,543","2,097","1,482","2,348","1,563","2,347",
2020,2,50,"24,690","3,087","4,822","1,710","2,613","1,746","1,755","1,785","1,552","1,784","1,672","2,164",
2020,2,60,"15,543","2,031","2,675","1,328","1,611","1,251","1,294","1,128","1,052",882,979,"1,312",
2020,2,70,"8,119",958,"1,251",719,753,564,751,644,709,542,445,783,
2020,2,80,"4,659",448,672,390,425,267,419,386,459,366,215,612,
2020,2,90,820,85,128,62,87,42,72,54,56,54,50,130,
2020,2,100,47,6,9,7,2,4,4,0,2,2,3,8,
2020,3,총,"138,920","15,724","27,178","8,162","14,336","8,422","10,301","11,600","8,998","10,937","10,092","13,170",
2020,3,0,"10,740","1,006","2,434",376,"1,210",413,638,"1,070",639,911,"1,139",904,
2020,3,10,"13,416","1,332","3,069",445,"1,392",595,777,"1,091",825,"1,630",862,"1,398",
2020,3,20,"18,326","2,305","3,572","1,160","1,861","1,280","1,415","1,368","1,063","1,203","1,308","1,791",
2020,3,30,"19,092","2,005","3,698",956,"1,958","1,041","1,620","1,976","1,124","1,209","1,817","1,688",
2020,3,40,"23,208","2,423","4,795","1,014","2,406","1,223","1,529","2,087","1,469","2,342","1,573","2,347",
2020,3,50,"24,682","3,085","4,831","1,690","2,611","1,735","1,761","1,772","1,563","1,780","1,684","2,170",
2020,3,60,"15,723","2,057","2,712","1,331","1,626","1,261","1,301","1,143","1,078",898,988,"1,328",
2020,3,70,"8,158",964,"1,257",719,754,563,755,646,719,536,451,794,
2020,3,80,"4,704",453,672,396,431,266,427,391,460,377,216,615,
2020,3,90,823,88,129,68,85,41,74,56,56,49,51,126,
2020,3,100,48,6,9,7,2,4,4,0,2,2,3,9,
2020,4,총,"138,920","15,803","27,202","8,159","14,339","8,379","10,290","11,576","8,972","10,937","10,105","13,158",
2020,4,0,"10,686","1,004","2,404",372,"1,207",412,644,"1,060",632,906,"1,146",899,
2020,4,10,"13,373","1,327","3,076",446,"1,387",584,768,"1,088",823,"1,623",857,"1,394",
2020,4,20,"18,371","2,340","3,585","1,164","1,859","1,282","1,409","1,356","1,059","1,208","1,309","1,800",
2020,4,30,"19,054","2,023","3,691",944,"1,953","1,028","1,625","1,967","1,120","1,216","1,816","1,671",
2020,4,40,"23,146","2,409","4,805","1,016","2,394","1,217","1,522","2,074","1,462","2,335","1,573","2,339",
2020,4,50,"24,662","3,110","4,822","1,675","2,615","1,721","1,746","1,781","1,559","1,781","1,675","2,177",
2020,4,60,"15,872","2,079","2,742","1,343","1,659","1,263","1,301","1,154","1,083",907,"1,009","1,332",
2020,4,70,"8,157",956,"1,264",728,747,564,763,648,716,533,445,793,
2020,4,80,"4,720",458,675,395,429,263,432,390,461,375,221,621,
2020,4,90,830,91,129,69,87,41,76,58,55,50,51,123,
2020,4,100,49,6,9,7,2,4,4,0,2,3,3,9,
2020,5,총,"138,901","15,863","27,247","8,154","14,302","8,395","10,255","11,548","8,941","10,908","10,146","13,142",
2020,5,0,"10,631","1,001","2,406",364,"1,195",409,630,"1,049",617,911,"1,159",890,
2020,5,10,"13,333","1,333","3,071",449,"1,381",584,762,"1,087",825,"1,609",848,"1,384",
2020,5,20,"18,401","2,361","3,598","1,159","1,864","1,291","1,411","1,345","1,057","1,206","1,307","1,802",
2020,5,30,"18,970","2,003","3,687",937,"1,937","1,031","1,607","1,957","1,110","1,218","1,823","1,660",
2020,5,40,"23,093","2,416","4,789","1,018","2,374","1,207","1,517","2,078","1,459","2,319","1,572","2,344",
2020,5,50,"24,671","3,127","4,831","1,673","2,601","1,721","1,753","1,774","1,553","1,778","1,677","2,183",
2020,5,60,"15,991","2,098","2,776","1,349","1,684","1,274","1,299","1,159","1,087",903,"1,028","1,334",
2020,5,70,"8,186",960,"1,276",730,747,569,758,649,713,540,448,796,
2020,5,80,"4,744",464,675,398,430,266,438,393,461,374,229,616,
2020,5,90,831,94,129,70,86,38,76,57,57,48,52,124,
2020,5,100,50,6,9,7,3,5,4,0,2,2,3,9,
2020,6,총,"139,002","15,930","27,245","8,165","14,271","8,412","10,256","11,526","8,963","10,894","10,155","13,185",
2020,6,0,"10,608","1,012","2,405",356,"1,188",408,623,"1,042",620,914,"1,147",893,
2020,6,10,"13,247","1,318","3,051",447,"1,366",584,757,"1,076",818,"1,594",849,"1,387",
2020,6,20,"18,467","2,397","3,582","1,158","1,862","1,305","1,416","1,346","1,068","1,208","1,311","1,814",
2020,6,30,"18,912","2,008","3,662",941,"1,914","1,020","1,599","1,965","1,106","1,216","1,821","1,660",
2020,6,40,"23,074","2,418","4,791","1,021","2,376","1,211","1,509","2,048","1,464","2,310","1,584","2,342",
2020,6,50,"24,706","3,138","4,841","1,666","2,591","1,732","1,758","1,793","1,548","1,777","1,680","2,182",
2020,6,60,"16,130","2,114","2,806","1,370","1,708","1,271","1,301","1,160","1,099",913,"1,030","1,358",
2020,6,70,"8,201",962,"1,289",729,744,570,767,642,717,537,450,794,
2020,6,80,"4,762",459,680,400,431,263,447,397,461,375,230,619,
2020,6,90,844,98,129,70,88,43,75,57,60,47,50,127,
2020,6,100,51,6,9,7,3,5,4,0,2,3,3,9,
2020,7,총,"138,942","16,024","27,231","8,136","14,269","8,393","10,229","11,503","8,946","10,891","10,159","13,161",
2020,7,0,"10,565","1,028","2,395",341,"1,187",405,618,"1,040",617,910,"1,145",879,
2020,7,10,"13,205","1,323","3,053",445,"1,358",580,754,"1,063",804,"1,594",846,"1,385",
2020,7,20,"18,425","2,415","3,566","1,147","1,861","1,293","1,404","1,334","1,068","1,210","1,304","1,823",
2020,7,30,"18,842","2,007","3,654",932,"1,895","1,022","1,587","1,962","1,108","1,210","1,819","1,646",
2020,7,40,"23,053","2,430","4,789","1,023","2,393","1,201","1,510","2,037","1,448","2,301","1,581","2,340",
2020,7,50,"24,700","3,146","4,829","1,663","2,600","1,731","1,749","1,792","1,559","1,774","1,684","2,173",
2020,7,60,"16,231","2,131","2,823","1,375","1,715","1,279","1,305","1,170","1,092",926,"1,040","1,375",
2020,7,70,"8,252",979,"1,299",731,742,569,777,648,722,541,452,792,
2020,7,80,"4,778",460,686,403,430,265,446,400,464,374,234,616,
2020,7,90,840,99,127,69,85,43,75,57,62,48,51,124,
2020,7,100,51,6,10,7,3,5,4,0,2,3,3,8,
2020,8,총,"138,685","15,991","27,201","8,105","14,259","8,390","10,188","11,470","8,902","10,890","10,179","13,110",
2020,8,0,"10,458","1,004","2,380",338,"1,178",404,616,"1,007",599,911,"1,151",870,
2020,8,10,"13,149","1,318","3,045",436,"1,361",573,743,"1,062",796,"1,591",846,"1,378",
2020,8,20,"18,353","2,420","3,557","1,148","1,859","1,281","1,390","1,344","1,050","1,209","1,292","1,803",
2020,8,30,"18,765","2,004","3,623",928,"1,879","1,020","1,585","1,946","1,099","1,215","1,825","1,641",
2020,8,40,"22,939","2,391","4,804","1,008","2,393","1,195","1,492","2,032","1,427","2,295","1,585","2,317",
2020,8,50,"24,708","3,171","4,819","1,660","2,592","1,738","1,747","1,785","1,568","1,774","1,681","2,173",
2020,8,60,"16,326","2,139","2,840","1,369","1,725","1,292","1,310","1,186","1,103",925,"1,054","1,383",
2020,8,70,"8,288",975,"1,307",739,751,572,778,648,727,542,453,796,
2020,8,80,"4,804",464,689,403,430,265,452,400,467,377,237,620,
2020,8,90,842,98,126,69,88,45,71,60,64,48,52,121,
2020,8,100,53,7,11,7,3,5,4,0,2,3,3,8,
2020,9,총,"138,455","16,016","27,135","8,087","14,207","8,373","10,158","11,441","8,864","10,880","10,194","13,100",
2020,9,0,"10,392","1,009","2,355",333,"1,175",398,611,997,589,903,"1,152",870,
2020,9,10,"13,067","1,297","3,026",430,"1,356",565,742,"1,053",794,"1,587",851,"1,366",
2020,9,20,"18,333","2,442","3,530","1,155","1,850","1,278","1,389","1,346","1,039","1,201","1,291","1,812",
2020,9,30,"18,604","2,014","3,586",929,"1,854","1,021","1,554","1,926","1,074","1,211","1,813","1,622",
2020,9,40,"22,863","2,372","4,800","1,002","2,377","1,174","1,500","2,017","1,429","2,291","1,589","2,312",
2020,9,50,"24,694","3,186","4,811","1,642","2,587","1,738","1,735","1,798","1,559","1,773","1,690","2,175",
2020,9,60,"16,493","2,144","2,887","1,386","1,739","1,310","1,323","1,193","1,109",942,"1,061","1,399",
2020,9,70,"8,288",983,"1,304",733,747,571,778,652,726,540,456,798,
2020,9,80,"4,804",464,694,401,428,268,450,395,477,379,237,611,
2020,9,90,864,98,131,69,91,45,72,64,66,50,51,127,
