년도,월,나이,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020,1,총,"31,852","3,537","3,238","4,105","5,496","1,904",892,"1,514","4,094","2,027","3,484","1,561"
2020,1,0,"2,036",249,144,212,447,77,56,50,266,176,304,55
2020,1,10,"2,579",307,251,336,460,127,71,93,351,219,262,102
2020,1,20,"3,142",330,356,411,593,200,77,110,382,220,318,145
2020,1,30,"3,612",437,302,374,777,173,92,110,479,250,496,122
2020,1,40,"4,744",594,467,585,860,236,123,157,634,358,542,188
2020,1,50,"4,962",547,509,661,857,324,140,242,630,331,505,216
2020,1,60,"5,006",466,556,681,798,336,139,323,633,260,511,303
2020,1,70,"3,632",355,420,544,472,255,121,255,470,137,321,282
2020,1,80,"1,780",211,184,259,192,160,63,146,205,61,173,126
2020,1,90,306,34,38,38,34,15,9,23,37,13,47,18
2020,1,100,53,7,11,4,6,1,1,5,7,2,5,4
2020,2,총,"31,795","3,530","3,214","4,107","5,484","1,899",894,"1,510","4,096","2,025","3,483","1,553"
2020,2,0,"2,003",246,138,209,439,74,56,46,261,174,305,55
2020,2,10,"2,582",302,251,341,462,125,67,93,357,220,262,102
2020,2,20,"3,139",327,351,405,596,201,80,112,380,223,320,144
2020,2,30,"3,545",438,295,368,768,169,91,108,471,244,475,118
2020,2,40,"4,763",589,467,591,859,241,125,154,646,355,548,188
2020,2,50,"4,934",546,503,652,856,316,135,243,626,333,512,212
2020,2,60,"5,048",476,557,697,798,340,143,328,635,259,513,302
2020,2,70,"3,643",356,418,545,474,259,123,252,472,139,321,284
2020,2,80,"1,784",209,188,258,193,159,64,146,204,62,175,126
2020,2,90,303,34,37,37,33,14,9,23,37,14,47,18
2020,2,100,51,7,9,4,6,1,1,5,7,2,5,4
2020,3,총,"31,725","3,541","3,205","4,079","5,503","1,897",889,"1,510","4,061","2,034","3,458","1,548"
2020,3,0,"1,979",243,137,200,440,70,53,48,249,175,308,56
2020,3,10,"2,585",311,254,339,459,124,68,93,360,219,259,99
2020,3,20,"3,115",335,352,397,597,196,76,110,369,226,310,147
2020,3,30,"3,506",425,292,364,770,171,87,107,461,244,469,116
2020,3,40,"4,756",589,468,588,863,238,127,156,645,350,544,188
2020,3,50,"4,899",548,495,644,850,319,132,240,618,335,511,207
2020,3,60,"5,072",480,558,698,810,344,148,323,635,264,508,304
2020,3,70,"3,654",361,415,545,475,260,124,256,475,141,320,282
2020,3,80,"1,800",208,187,262,199,160,64,149,204,62,179,126
2020,3,90,308,34,38,38,34,14,9,23,38,16,45,19
2020,3,100,51,7,9,4,6,1,1,5,7,2,5,4
2020,4,총,"31,627","3,532","3,182","4,059","5,510","1,877",895,"1,509","4,030","2,041","3,450","1,542"
2020,4,0,"1,969",248,137,192,442,69,53,48,243,175,306,56
2020,4,10,"2,550",301,251,334,455,120,67,91,357,219,257,98
2020,4,20,"3,113",338,347,398,603,195,79,109,363,230,305,146
