년도,월,나이,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020,3,총,"21,240","4,744","6,277",595,727,627,634,901,434,"1,993","1,488",678,"1,574",568
2020,3,0,912,338,269,16,22,18,19,39,10,58,36,26,49,12
2020,3,10,"1,336",453,417,22,24,23,30,37,24,88,66,45,89,18
2020,3,20,"1,364",439,388,27,46,31,30,49,18,109,61,38,84,44
2020,3,30,"1,248",422,368,29,26,35,26,37,12,101,81,40,57,14
2020,3,40,"1,904",633,585,31,48,42,40,59,32,133,100,57,115,29
2020,3,50,"3,053",719,897,74,101,68,80,124,55,244,193,123,286,89
2020,3,60,"3,750",676,"1,171",99,124,106,101,144,86,410,302,123,311,97
2020,3,70,"3,899",580,"1,165",120,160,126,147,194,104,440,314,121,302,126
2020,3,80,"3,198",416,858,150,148,159,140,193,78,347,277,91,233,108
2020,3,90,541,64,148,27,26,18,20,24,14,61,54,14,42,29
2020,3,100,35,4,11,0,2,1,1,1,1,2,4,0,6,2
2020,4,총,"21,191","4,726","6,262",585,726,626,634,900,435,"1,999","1,479",672,"1,577",570
2020,4,0,902,332,266,15,20,18,19,41,10,57,36,25,51,12
2020,4,10,"1,319",447,415,20,25,24,30,37,25,84,66,43,86,17
2020,4,20,"1,366",439,383,26,46,31,31,47,20,112,59,40,87,45
2020,4,30,"1,235",422,362,26,26,36,24,35,11,101,79,40,59,14
2020,4,40,"1,893",632,583,31,47,41,40,59,30,134,99,57,113,27
2020,4,50,"3,036",717,892,72,102,67,82,123,56,246,187,119,286,87
2020,4,60,"3,756",674,"1,173",100,125,105,99,146,85,409,305,121,314,100
2020,4,70,"3,881",576,"1,161",118,158,128,147,191,104,442,314,119,297,126
2020,4,80,"3,224",418,863,151,150,156,141,197,79,349,278,94,237,111
2020,4,90,545,64,153,26,26,19,20,23,14,64,52,14,41,29
2020,4,100,34,5,11,0,1,1,1,1,1,1,4,0,6,2
2020,5,총,"21,133","4,719","6,245",584,725,624,630,902,437,"1,998","1,468",671,"1,560",570
2020,5,0,891,332,261,16,20,18,19,41,10,58,35,25,44,12
2020,5,10,"1,313",449,416,20,25,23,30,35,25,84,64,41,84,17
2020,5,20,"1,354",434,386,26,47,30,30,48,20,111,59,39,80,44
2020,5,30,"1,235",423,355,26,28,37,23,36,11,102,77,41,61,15
2020,5,40,"1,871",629,575,31,46,40,39,59,29,131,99,58,107,28
2020,5,50,"3,027",715,884,70,101,67,82,125,57,246,184,118,290,88
2020,5,60,"3,764",679,"1,179",101,124,106,98,147,87,407,305,121,311,99
2020,5,70,"3,860",569,"1,155",116,157,125,148,189,103,441,313,119,299,126
2020,5,80,"3,237",421,870,152,150,157,141,195,78,354,278,94,235,112
2020,5,90,546,62,153,26,26,20,19,26,16,63,50,15,43,27
2020,5,100,35,6,11,0,1,1,1,1,1,1,4,0,6,2
2020,6,총,"21,084","4,711","6,222",583,723,619,627,906,433,"1,993","1,467",669,"1,560",571
2020,6,0,880,327,257,15,20,19,20,41,10,56,36,24,43,12
2020,6,10,"1,309",443,412,21,25,23,30,36,24,84,65,41,87,18
2020,6,20,"1,340",436,386,26,46,29,29,48,18,107,57,38,78,42
2020,6,30,"1,231",424,352,25,28,36,23,36,10,101,78,41,62,15
2020,6,40,"1,857",623,571,30,45,40,38,60,30,134,94,56,107,29
2020,6,50,"3,017",717,879,71,99,68,81,123,56,247,185,117,290,84
2020,6,60,"3,765",686,"1,172",101,125,105,95,150,86,403,306,122,313,101
2020,6,70,"3,865",562,"1,162",115,157,123,151,189,103,441,314,120,301,127
2020,6,80,"3,240",426,869,154,151,155,140,196,79,355,277,94,231,113
2020,6,90,546,61,151,25,26,20,19,26,16,64,51,16,43,28
2020,6,100,34,6,11,0,1,1,1,1,1,1,4,0,5,2
2020,7,총,"20,998","4,697","6,190",581,712,620,623,906,435,"1,981","1,466",665,"1,556",566
2020,7,0,871,320,256,15,18,19,19,43,10,55,36,24,43,13
2020,7,10,"1,301",440,411,20,25,24,31,36,24,79,65,41,87,18
2020,7,20,"1,331",437,378,24,45,30,28,48,19,107,58,39,77,41
2020,7,30,"1,219",421,346,24,28,36,22,37,10,100,79,40,60,16
2020,7,40,"1,848",626,572,31,43,40,37,57,30,132,90,55,108,27
2020,7,50,"2,988",706,872,72,95,65,80,122,57,250,186,117,284,82
2020,7,60,"3,772",689,"1,168",104,125,108,92,153,85,401,308,122,315,102
2020,7,70,"3,864",563,"1,161",115,157,119,153,187,104,439,314,120,305,127
2020,7,80,"3,223",427,865,150,150,157,141,196,79,353,274,92,228,111
2020,7,90,548,62,151,26,25,21,19,26,16,64,52,15,44,27
2020,7,100,33,6,10,0,1,1,1,1,1,1,4,0,5,2
2020,8,총,"20,958","4,692","6,161",583,713,617,621,907,440,"1,973","1,465",658,"1,559",569
2020,8,0,863,319,248,15,18,19,19,44,11,52,37,24,43,14
2020,8,10,"1,296",440,411,19,25,24,31,35,25,78,63,41,87,17
2020,8,20,"1,307",436,360,26,45,30,25,47,19,104,61,35,77,42
2020,8,30,"1,211",417,343,23,28,34,22,38,10,100,78,40,61,17
2020,8,40,"1,835",628,567,31,42,38,38,59,30,129,88,55,105,25
2020,8,50,"2,993",703,870,72,95,65,82,121,58,251,189,117,286,84
2020,8,60,"3,768",688,"1,166",102,126,110,92,155,89,398,304,121,315,102
2020,8,70,"3,856",565,"1,160",113,157,120,150,183,102,440,313,120,306,127
2020,8,80,"3,239",429,873,153,151,156,142,197,78,354,275,91,228,112
2020,8,90,558,61,153,29,25,21,19,27,17,66,53,14,46,27
2020,8,100,32,6,10,0,1,0,1,1,1,1,4,0,5,2
2020,9,총,"20,898","4,693","6,138",585,712,618,620,897,436,"1,971","1,456",653,"1,552",567
2020,9,0,851,315,245,15,17,19,19,39,12,52,37,23,44,14
2020,9,10,"1,288",444,401,17,25,23,31,35,24,79,63,42,86,18
2020,9,20,"1,301",435,367,30,44,29,25,47,19,102,56,33,73,41
2020,9,30,"1,198",421,334,22,28,35,21,36,9,98,77,39,60,18
2020,9,40,"1,821",627,560,32,42,37,38,57,29,128,85,54,107,25
2020,9,50,"2,958",692,866,73,93,67,82,119,56,247,187,115,280,81
2020,9,60,"3,798",697,"1,167",102,129,110,95,154,89,399,308,123,321,104
2020,9,70,"3,845",565,"1,155",113,157,122,145,184,102,445,307,119,304,127
2020,9,80,"3,240",430,877,151,150,156,142,198,78,353,277,90,228,110
2020,9,90,565,60,156,30,26,20,21,27,16,67,55,15,45,27
2020,9,100,33,7,10,0,1,0,1,1,2,1,4,0,4,2
2020,10,총,"20,845","4,697","6,115",581,707,611,617,895,433,"1,966","1,459",651,"1,548",565
2020,10,0,840,314,241,14,17,18,18,40,12,53,36,22,41,14
2020,10,10,"1,279",445,398,15,25,22,31,32,24,76,64,42,88,17
2020,10,20,"1,298",438,367,28,45,28,25,48,19,98,56,33,73,40
2020,10,30,"1,192",418,334,22,28,33,20,37,9,98,79,39,57,18
2020,10,40,"1,802",624,547,32,41,36,38,57,28,128,87,53,107,24
2020,10,50,"2,955",693,866,72,91,69,82,119,57,246,188,115,276,81
2020,10,60,"3,793",695,"1,165",101,128,109,95,155,86,401,306,124,323,105
2020,10,70,"3,842",572,"1,155",114,158,122,143,183,102,440,306,116,304,127
2020,10,80,"3,239",426,875,152,147,155,143,195,78,359,277,92,229,111
2020,10,90,571,65,156,31,26,19,21,28,16,66,56,15,46,26
2020,10,100,34,7,11,0,1,0,1,1,2,1,4,0,4,2
2020,11,총,"20,767","4,684","6,099",573,704,603,620,886,431,"1,955","1,458",648,"1,544",562
2020,11,0,829,312,238,14,17,16,18,38,12,53,37,19,42,13
2020,11,10,"1,277",442,399,14,26,23,31,31,24,74,64,44,88,17
2020,11,20,"1,295",440,364,27,44,29,26,48,18,101,52,33,73,40
2020,11,30,"1,179",412,334,21,28,32,21,36,7,94,81,39,56,18
2020,11,40,"1,792",620,545,31,41,36,37,55,29,129,88,51,107,23
2020,11,50,"2,944",697,856,70,93,68,82,120,57,246,186,115,274,80
2020,11,60,"3,784",694,"1,159",101,127,109,96,152,86,398,308,126,321,107
2020,11,70,"3,828",571,"1,165",110,155,117,143,182,102,436,307,114,303,123
2020,11,80,"3,240",426,868,155,149,155,144,195,78,358,275,93,231,113
2020,11,90,564,62,160,30,23,18,21,28,16,65,56,14,45,26
2020,11,100,35,8,11,0,1,0,1,1,2,1,4,0,4,2
2020,12,총,"20,763","4,682","6,104",578,706,599,622,892,430,"1,942","1,446",649,"1,550",563
2020,12,0,834,316,242,15,17,16,19,37,11,51,35,18,44,13
2020,12,10,"1,275",437,397,16,26,22,31,33,23,74,61,45,93,17
2020,12,20,"1,312",443,368,30,43,31,26,46,18,103,55,34,74,41
2020,12,30,"1,172",413,333,21,30,29,22,36,7,94,77,38,54,18
