년도,월,나이,창녕군,창녕읍,남지읍,고암면,성산면,대합면,이방면,유어면,대지면,계성면,영산면,장마면,도천면,길곡면,부곡면
2020,1,총,"62,182","17,311","12,366","2,060","1,665","3,897","2,568","1,802","2,581","2,378","5,699","1,863","2,803","1,537","3,652"
2020,1,0,"3,565","1,450","1,041",67,35,115,74,42,143,71,235,41,104,40,107
2020,1,10,"4,294","1,624",932,131,68,171,254,58,177,77,381,55,171,51,144
2020,1,20,"5,230","1,837",994,129,104,291,146,91,202,180,545,97,225,103,286
2020,1,30,"5,505","1,975","1,325",105,97,243,156,109,204,152,462,106,211,89,271
2020,1,40,"7,253","2,421","1,745",145,147,390,190,148,305,204,660,146,295,144,313
2020,1,50,"11,290","2,920","2,185",339,323,727,452,300,443,483,"1,172",357,537,310,742
2020,1,60,"11,513","2,525","2,037",389,389,810,539,419,485,513,"1,110",402,610,381,904
2020,1,70,"8,033","1,576","1,307",403,267,678,428,382,357,393,709,376,376,249,532
2020,1,80,"4,888",885,707,304,211,419,300,222,237,273,381,252,237,146,314
2020,1,90,586,96,87,48,23,51,26,31,24,30,44,31,35,24,36
2020,1,100,25,2,6,0,1,2,3,0,4,2,0,0,2,0,3
2020,2,총,"62,161","17,321","12,327","2,074","1,669","3,919","2,583","1,813","2,589","2,377","5,677","1,862","2,788","1,533","3,629"
2020,2,0,"3,555","1,457","1,032",66,31,118,71,42,148,71,234,41,102,40,102
2020,2,10,"4,299","1,612",930,132,74,178,266,61,183,76,372,56,168,50,141
2020,2,20,"5,180","1,821",970,138,100,290,145,94,203,180,539,92,225,100,283
2020,2,30,"5,479","1,974","1,310",105,101,246,160,108,202,153,452,110,206,88,264
2020,2,40,"7,253","2,416","1,744",148,148,399,188,146,306,202,658,149,293,145,311
2020,2,50,"11,256","2,922","2,181",330,323,731,454,303,439,483,"1,169",353,526,306,736
2020,2,60,"11,574","2,556","2,055",396,387,813,537,418,485,508,"1,114",402,611,384,908
2020,2,70,"8,021","1,565","1,301",408,266,670,432,384,358,398,707,373,381,248,530
2020,2,80,"4,913",897,710,303,214,422,299,225,233,272,384,255,237,147,315
2020,2,90,606,99,88,48,24,50,28,32,28,32,48,31,37,25,36
2020,2,100,25,2,6,0,1,2,3,0,4,2,0,0,2,0,3
2020,3,총,"61,934","17,277","12,315","2,057","1,656","3,877","2,551","1,805","2,585","2,372","5,647","1,867","2,794","1,521","3,610"
