년도,월,나이,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020,1,총,"58,256","15,266","5,090","2,282","6,471","3,852","4,795","1,937","1,838","2,308","3,333","8,573","2,511"
2020,1,0,"3,696","1,145",471,70,356,253,343,70,60,68,93,651,116
2020,1,10,"4,560","1,597",435,101,476,263,362,120,69,89,177,721,150
2020,1,20,"4,759","1,631",376,149,548,280,278,119,114,135,207,741,181
2020,1,30,"5,529","1,694",644,186,592,394,441,127,98,135,192,843,183
2020,1,40,"7,909","2,468",790,233,861,477,754,209,153,188,330,"1,164",282
2020,1,50,"10,249","2,595",857,457,"1,183",703,875,370,328,413,631,"1,370",467
2020,1,60,"10,619","2,036",811,596,"1,252",800,987,421,448,580,713,"1,423",552
2020,1,70,"6,474","1,267",421,325,766,425,459,286,310,368,540,970,337
2020,1,80,"3,733",723,246,125,360,217,236,185,214,271,371,571,214
2020,1,90,679,98,36,40,73,36,56,30,38,54,76,114,28
2020,1,100,49,12,3,0,4,4,4,0,6,7,3,5,1
2020,2,총,"58,272","15,229","5,119","2,283","6,509","3,844","4,795","1,915","1,842","2,295","3,326","8,583","2,532"
2020,2,0,"3,684","1,131",475,71,360,249,343,68,58,65,91,651,122
2020,2,10,"4,560","1,592",437,102,473,260,368,119,70,93,174,721,151
2020,2,20,"4,697","1,610",368,143,549,287,272,116,113,126,203,728,182
2020,2,30,"5,489","1,667",649,186,590,384,439,125,94,131,190,846,188
2020,2,40,"7,959","2,470",800,236,870,477,765,205,161,186,325,"1,174",290
2020,2,50,"10,207","2,600",860,454,"1,173",695,871,361,324,413,630,"1,368",458
2020,2,60,"10,711","2,062",820,602,"1,277",809,982,421,448,579,722,"1,428",561
2020,2,70,"6,491","1,256",425,325,773,427,456,286,310,373,542,979,339
2020,2,80,"3,745",730,243,125,368,217,240,184,220,265,371,570,212
2020,2,90,681,100,39,39,72,35,55,30,38,58,75,112,28
2020,2,100,48,11,3,0,4,4,4,0,6,6,3,6,1
2020,3,총,"58,349","15,229","5,124","2,281","6,560","3,849","4,804","1,907","1,844","2,292","3,335","8,592","2,532"
2020,3,0,"3,685","1,133",468,73,363,251,340,67,60,63,93,650,124
2020,3,10,"4,542","1,583",439,102,473,261,372,115,68,94,169,718,148
2020,3,20,"4,700","1,617",363,136,559,288,271,115,112,124,210,722,183
2020,3,30,"5,486","1,658",645,184,591,381,437,126,95,136,192,848,193
2020,3,40,"7,956","2,463",806,242,869,482,758,202,159,181,321,"1,183",290
2020,3,50,"10,182","2,603",855,457,"1,173",688,873,360,323,413,623,"1,365",449
2020,3,60,"10,813","2,081",831,604,"1,303",806,994,422,453,579,739,"1,438",563
2020,3,70,"6,487","1,253",426,322,779,430,458,286,310,371,538,975,339
2020,3,80,"3,761",726,247,124,370,219,245,185,220,266,372,574,213
2020,3,90,687,101,41,37,75,39,52,29,38,59,75,112,29
2020,3,100,50,11,3,0,5,4,4,0,6,6,3,7,1
2020,4,총,"58,464","15,264","5,140","2,288","6,591","3,844","4,818","1,902","1,851","2,293","3,350","8,598","2,525"
2020,4,0,"3,657","1,116",471,72,362,249,338,65,60,63,92,646,123
2020,4,10,"4,550","1,586",442,103,479,259,374,115,67,94,169,715,147
2020,4,20,"4,715","1,624",363,139,562,290,272,117,114,123,211,720,180
2020,4,30,"5,474","1,651",644,182,585,379,438,123,96,136,194,852,194
2020,4,40,"7,958","2,473",808,241,874,474,755,206,159,181,319,"1,184",284
2020,4,50,"10,175","2,612",846,461,"1,173",687,873,355,325,409,623,"1,365",446
2020,4,60,"10,919","2,104",845,603,"1,322",810,"1,008",425,454,582,750,"1,447",569
2020,4,70,"6,502","1,251",427,323,783,436,458,282,311,373,542,975,341
2020,4,80,"3,769",732,248,126,370,219,246,185,220,267,371,574,211
2020,4,90,693,103,43,38,76,37,52,29,39,58,76,113,29
2020,4,100,52,12,3,0,5,4,4,0,6,7,3,7,1
