년도,월,나이,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020,3,총,"113,690","2,846","12,928","6,223","6,234","4,345","8,533","7,766","5,552","7,296","9,522","10,685","6,258","5,756","7,564","1,354","10,828"
2020,3,0,"8,208",52,"1,406",499,484,158,528,814,202,439,565,643,497,349,422,42,"1,108"
2020,3,10,"10,669",83,"1,788",497,542,221,789,750,446,578,978,802,506,449,725,86,"1,429"
2020,3,20,"16,279",221,"1,419",760,819,528,"1,454","1,001","1,420","1,143","1,601","1,999",760,998,882,116,"1,158"
2020,3,30,"14,382",260,"1,610",942,850,451,968,"1,138",644,808,"1,143","1,778",853,782,813,107,"1,235"
2020,3,40,"18,183",376,"2,526","1,000",880,589,"1,332","1,199",763,"1,167","1,440","1,703",981,895,"1,202",167,"1,963"
2020,3,50,"19,094",689,"1,824",958,"1,085",808,"1,525","1,228",797,"1,281","1,679","1,779","1,098","1,009","1,393",292,"1,649"
2020,3,60,"15,255",641,"1,374",794,887,885,"1,143",924,723,"1,064","1,252","1,213",879,770,"1,138",288,"1,280"
2020,3,70,"8,420",378,747,557,481,492,568,503,423,591,633,569,500,368,714,165,731
2020,3,80,"2,912",129,220,196,181,192,202,185,125,208,218,179,163,133,251,82,248
2020,3,90,263,12,13,16,24,21,21,21,9,16,13,20,18,2,22,9,26
2020,3,100,25,5,1,4,1,0,3,3,0,1,0,0,3,1,2,0,1
2020,4,총,"113,487","2,826","12,855","6,209","6,235","4,343","8,527","7,741","5,553","7,283","9,478","10,708","6,249","5,737","7,563","1,346","10,834"
2020,4,0,"8,163",53,"1,390",490,482,159,523,807,203,435,565,644,498,346,422,43,"1,103"
