년도,월,나이,화순군,화순읍,한천면,한천면영외출장소,춘양면,청풍면,이양면,능주면,도곡면,도암면,이서면,북면,백아면,동복면,남면,사평면,동면
2020,1,총,"62,642","39,038",950,433,"1,840","1,046","1,854","3,285","2,845","1,449",986,0.0,"1,575","1,649",0.0,"2,217","3,475"
2020,1,0,"3,622","3,018",10,13,40,25,39,118,80,34,18,0.0,32,37,0.0,58,100
2020,1,10,"6,052","4,984",51,15,83,27,64,231,133,50,37,0.0,61,72,0.0,79,165
2020,1,20,"6,836","5,078",64,13,124,53,102,309,232,81,89,0.0,87,118,0.0,168,318
2020,1,30,"4,964","3,659",56,24,90,35,107,240,188,57,51,0.0,57,68,0.0,135,197
2020,1,40,"8,639","6,486",99,39,136,75,169,342,284,117,83,0.0,128,141,0.0,181,359
2020,1,50,"11,201","6,737",167,67,343,196,338,601,556,261,202,0.0,303,288,0.0,425,717
2020,1,60,"8,773","4,192",187,94,334,190,343,631,582,303,191,0.0,301,323,0.0,435,667
2020,1,70,"7,527","3,157",199,110,356,217,376,499,415,328,182,0.0,367,337,0.0,443,541
2020,1,80,"4,412","1,520",105,49,299,202,276,275,318,192,119,0.0,206,228,0.0,251,372
2020,1,90,585,195,12,9,35,25,37,39,56,24,12,0.0,32,35,0.0,40,34
2020,1,100,31,12,0,0,0,1,3,0,1,2,2,0.0,1,2,0.0,2,5
2020,2,총,"62,529","39,002",949,433,"1,841","1,047","1,849","3,271","2,844","1,443",988,,"1,574","1,639",,"2,193","3,456"
2020,2,0,"3,612","3,004",13,13,46,25,39,117,79,33,18,,35,36,,52,102
2020,2,10,"5,987","4,936",49,13,83,27,65,216,135,51,38,,61,69,,76,168
2020,2,20,"6,795","5,070",61,13,123,56,99,309,224,75,87,,83,119,,163,313
2020,2,30,"4,911","3,618",54,24,92,36,100,246,186,60,50,,56,67,,127,195
2020,2,40,"8,621","6,489",101,38,138,70,168,336,285,112,84,,131,137,,177,355
2020,2,50,"11,202","6,755",164,69,340,199,337,595,565,262,202,,306,286,,422,700
2020,2,60,"8,819","4,220",188,94,338,189,345,632,584,305,194,,300,320,,437,673
2020,2,70,"7,500","3,147",200,108,352,217,376,502,417,324,180,,364,339,,440,534
2020,2,80,"4,442","1,547",106,52,295,203,276,275,314,195,120,,205,226,,256,372
2020,2,90,609,205,13,9,34,24,40,43,54,24,13,,32,38,,41,39
2020,2,100,31,11,0,0,0,1,4,0,1,2,2,,1,2,,2,5
2020,3,총,"62,493","39,001",946,433,"1,820","1,040","1,833","3,280","2,828","1,452",983,,"1,595","1,630",,"2,198","3,454"
2020,3,0,"3,596","2,989",13,13,42,25,39,115,79,33,17,,37,36,,54,104
2020,3,10,"5,924","4,886",47,13,78,28,62,216,130,52,39,,63,66,,72,172
2020,3,20,"6,793","5,086",63,13,122,56,100,306,222,75,82,,84,118,,159,307
2020,3,30,"4,884","3,608",55,24,89,33,92,240,187,59,50,,59,65,,128,195
2020,3,40,"8,573","6,455",99,38,130,66,165,345,279,118,80,,135,131,,177,355
2020,3,50,"11,222","6,795",164,68,340,201,336,590,556,264,197,,308,288,,423,692
2020,3,60,"8,877","4,251",185,94,337,190,342,644,595,305,199,,303,317,,441,674
2020,3,70,"7,474","3,138",198,110,348,210,376,502,415,322,184,,362,339,,438,532
2020,3,80,"4,490","1,566",109,51,300,208,276,279,310,198,119,,208,228,,261,377
2020,3,90,626,214,12,9,34,23,41,43,54,24,14,,35,39,,43,41
2020,3,100,34,13,1,0,0,0,4,0,1,2,2,,1,3,,2,5
2020,4,총,"62,510","39,040",941,430,"1,826","1,033","1,820","3,288","2,837","1,452",981,,"1,590","1,629",,"2,176","3,467"
2020,4,0,"3,596","2,982",13,13,43,24,43,118,79,33,18,,37,36,,50,107
2020,4,10,"5,880","4,851",46,13,75,26,57,214,134,54,37,,61,66,,70,176
2020,4,20,"6,780","5,081",65,12,122,52,103,305,222,74,83,,83,116,,154,308
2020,4,30,"4,856","3,598",53,22,88,33,91,240,182,59,50,,57,63,,125,195
2020,4,40,"8,545","6,432",97,38,130,65,159,348,283,117,79,,135,132,,172,358
2020,4,50,"11,241","6,837",162,68,341,200,327,589,556,260,196,,309,286,,419,691
2020,4,60,"8,952","4,297",185,94,344,191,346,647,603,309,198,,303,318,,445,672
2020,4,70,"7,449","3,148",194,109,345,205,370,502,412,321,183,,356,339,,433,532
2020,4,80,"4,545","1,593",113,52,301,212,278,283,310,197,121,,213,228,,263,381
2020,4,90,631,208,12,9,37,24,42,42,55,26,14,,35,42,,43,42
2020,4,100,35,13,1,0,0,1,4,0,1,2,2,,1,3,,2,5
2020,5,총,"62,554","39,085",930,427,"1,820","1,033","1,816","3,289","2,848","1,448",992,,"1,592","1,630",,"2,169","3,475"
2020,5,0,"3,583","2,976",13,13,40,24,43,118,81,30,18,,37,36,,49,105
2020,5,10,"5,866","4,816",44,13,79,25,57,212,137,57,37,,61,69,,68,191
2020,5,20,"6,767","5,091",63,11,118,53,103,303,214,74,87,,82,111,,149,308
2020,5,30,"4,866","3,619",50,22,88,33,91,240,182,56,51,,57,65,,122,190
2020,5,40,"8,519","6,418",96,39,131,66,157,346,288,113,80,,133,128,,173,351
2020,5,50,"11,284","6,875",161,67,333,199,328,590,563,256,200,,306,288,,418,700
2020,5,60,"8,988","4,322",187,93,344,191,346,648,602,310,197,,311,319,,448,670
2020,5,70,"7,456","3,150",190,110,353,202,365,502,413,323,184,,355,340,,432,537
2020,5,80,"4,553","1,597",114,50,295,216,276,285,314,200,122,,215,228,,264,377
2020,5,90,636,207,11,9,39,23,46,45,53,27,14,,34,43,,44,41
2020,5,100,36,14,1,0,0,1,4,0,1,2,2,,1,3,,2,5
2020,6,총,"62,654","39,136",939,432,"1,814","1,037","1,814","3,276","2,859","1,454",992,,"1,591","1,641",,"2,194","3,475"
2020,6,0,"3,579","2,965",13,14,39,26,42,121,82,31,18,,36,37,,49,106
2020,6,10,"5,854","4,813",43,13,77,23,56,210,136,56,37,,61,70,,68,191
2020,6,20,"6,772","5,095",61,11,117,54,103,300,216,77,86,,80,114,,152,306
2020,6,30,"4,867","3,607",51,22,87,34,93,236,184,57,53,,61,65,,121,196
2020,6,40,"8,511","6,407",103,39,129,65,154,343,284,114,81,,132,126,,183,351
2020,6,50,"11,290","6,902",160,69,333,204,326,584,560,257,197,,300,291,,419,688
2020,6,60,"9,092","4,367",193,93,350,190,350,651,605,312,198,,322,326,,456,679
2020,6,70,"7,472","3,157",190,110,353,203,366,503,423,319,183,,355,338,,434,538
2020,6,80,"4,548","1,603",113,51,291,215,274,283,315,202,122,,211,229,,264,375
2020,6,90,634,207,11,10,38,22,46,45,53,27,15,,32,42,,46,40
2020,6,100,35,13,1,0,0,1,4,0,1,2,2,,1,3,,2,5
2020,7,총,"62,662","39,158",937,427,"1,818","1,037","1,802","3,262","2,874","1,452",993,,"1,589","1,649",,"2,187","3,477"
2020,7,0,"3,581","2,962",14,13,38,26,42,121,87,31,19,,35,39,,48,106
2020,7,10,"5,833","4,798",44,13,78,23,54,209,134,56,37,,61,69,,68,189
2020,7,20,"6,761","5,094",62,8,118,55,103,302,218,76,80,,81,118,,148,298
2020,7,30,"4,848","3,585",48,22,92,34,89,231,185,57,54,,59,67,,127,198
2020,7,40,"8,494","6,402",103,41,123,66,151,343,285,112,79,,129,128,,181,351
2020,7,50,"11,312","6,936",161,69,333,204,324,580,561,256,198,,302,290,,409,689
2020,7,60,"9,122","4,380",191,91,354,190,352,648,604,315,204,,323,323,,462,685
2020,7,70,"7,488","3,173",189,110,354,199,362,501,426,317,184,,357,341,,432,543
