년도,월,나이,화성시,봉담읍,우정읍,향남읍,남양읍,매송면,비봉면,마도면,송산면,서신면,팔탄면,장안면,양감면,정남면,새솔동,진안동,병점1동,병점2동,반월동,기배동,화산동,동탄1동,동탄2동,동탄3동,동탄4동,동탄5동,동탄6동,동탄7동,동탄8동
2020,1,총,"394,699","38,529","7,975","38,841","17,966","3,498","2,569","2,779","5,052","3,152","3,914","4,406","1,604","4,765","9,308","20,274","13,807","12,565","15,672","6,750","11,123","24,631","18,175","20,455","26,839","18,705","13,955","36,904","10,486"
2020,1,0,"51,567","4,316",489,"5,275","1,986",166,112,125,241,89,152,196,54,210,"1,745","2,329","1,397","1,366","2,262",709,958,"3,239","2,314","3,106","4,861","2,949","2,157","6,978","1,786"
2020,1,10,"45,651","4,832",728,"4,742","1,637",250,159,198,368,158,221,293,77,385,870,"2,018","1,601","1,988","1,881",926,"1,102","3,451","3,185","2,565","4,211","1,839","1,279","3,789",898
2020,1,20,"45,013","4,399",706,"4,407","2,207",373,250,254,408,196,352,393,148,486,"1,077","3,004","2,042","1,401","1,873",743,"1,310","3,419","1,798","2,641","2,129","2,092","2,011","3,611","1,283"
2020,1,30,"72,210","5,670",699,"7,123","2,848",305,187,245,375,208,337,325,121,388,"2,200","4,052","2,226","1,765","3,045",857,"1,462","4,843","2,543","4,288","5,674","4,646","3,528","9,426","2,824"
2020,1,40,"72,507","7,293","1,131","7,266","2,783",452,261,323,610,319,471,476,136,618,"1,666","3,401","2,527","2,782","2,791","1,360","1,819","5,216","4,430","4,050","6,149","3,395","2,413","6,660","1,709"
2020,1,50,"50,305","5,544","1,512","4,607","2,916",696,532,559,927,681,849,867,347,944,"1,141","2,674","1,936","1,482","2,193","1,005","1,993","2,633","2,083","1,830","2,258","1,872","1,407","3,727","1,090"
2020,1,60,"30,880","3,553","1,243","2,832","1,899",595,452,502,917,716,736,839,325,798,403,"1,574","1,128",894,"1,022",633,"1,379","1,089","1,002","1,104",960,"1,157",710,"1,811",607
2020,1,70,"16,211","1,871",842,"1,568",992,404,329,326,668,410,423,581,211,516,122,796,640,563,371,331,684,478,563,608,388,505,285,559,177
2020,1,80,"8,831",870,545,890,590,228,233,209,441,311,319,393,165,354,70,365,270,276,196,161,362,227,215,230,173,217,138,293,90
2020,1,90,"1,447",172,78,126,105,28,53,34,89,58,49,41,19,58,14,60,38,47,37,24,48,34,40,32,36,31,27,47,22
2020,1,100,77,9,2,5,3,1,1,4,8,6,5,2,1,8,0,1,2,1,1,1,6,2,2,1,0,2,0,3,0
2020,2,총,"396,477","38,611","7,939","38,910","17,961","3,482","2,565","2,796","5,060","3,137","3,903","4,397","1,591","4,767","9,483","20,293","13,775","12,551","15,782","6,730","11,072","24,613","18,204","20,369","26,844","18,926","14,079","37,713","10,924"
2020,2,0,"51,676","4,297",488,"5,251","1,975",165,110,124,240,90,142,188,57,211,"1,803","2,309","1,368","1,354","2,265",691,943,"3,235","2,337","3,070","4,859","2,935","2,146","7,135","1,888"
2020,2,10,"45,773","4,856",718,"4,747","1,628",243,160,201,372,152,219,291,73,387,876,"2,009","1,580","1,999","1,901",917,"1,096","3,425","3,170","2,544","4,189","1,882","1,293","3,900",945
2020,2,20,"45,091","4,391",705,"4,402","2,195",380,244,254,411,192,346,389,139,481,"1,092","3,012","2,065","1,405","1,878",756,"1,298","3,415","1,790","2,631","2,108","2,104","2,064","3,639","1,305"
2020,2,30,"72,276","5,626",688,"7,085","2,844",297,193,243,377,207,333,320,123,393,"2,232","4,024","2,198","1,747","3,055",837,"1,450","4,873","2,541","4,216","5,664","4,701","3,530","9,547","2,932"
2020,2,40,"73,122","7,326","1,128","7,343","2,776",449,262,334,617,311,470,478,138,618,"1,684","3,446","2,526","2,764","2,836","1,357","1,811","5,168","4,470","4,071","6,181","3,453","2,446","6,887","1,772"
2020,2,50,"50,598","5,571","1,493","4,610","2,929",691,530,557,920,680,851,862,336,932,"1,170","2,672","1,939","1,496","2,214","1,020","1,988","2,666","2,074","1,854","2,257","1,894","1,423","3,825","1,144"
2020,2,60,"31,253","3,604","1,252","2,874","1,921",595,449,506,919,717,745,846,329,808,410,"1,605","1,143",903,"1,033",632,"1,385","1,091",999,"1,099",981,"1,189",720,"1,863",635
2020,2,70,"16,268","1,879",841,"1,567",998,405,334,325,664,411,415,585,208,516,126,787,642,563,367,331,685,483,566,621,391,513,291,570,184
2020,2,80,"8,882",881,546,902,586,228,228,212,442,313,324,393,168,354,76,368,271,275,193,164,363,221,217,230,177,220,139,296,95
2020,2,90,"1,464",171,78,124,106,28,54,36,90,58,53,43,19,60,14,60,42,45,39,24,47,34,38,32,37,32,27,49,24
2020,2,100,74,9,2,5,3,1,1,4,8,6,5,2,1,7,0,1,1,0,1,1,6,2,2,1,0,3,0,2,0
2020,3,총,"398,842","38,765","7,921","39,026","17,971","3,477","2,559","2,808","5,058","3,142","3,925","4,395","1,592","4,776","9,561","20,330","13,798","12,559","15,926","6,734","11,096","24,617","18,271","20,368","26,877","19,159","14,350","38,081","11,700"
2020,3,0,"51,687","4,264",477,"5,217","1,969",165,112,126,234,91,140,184,54,213,"1,793","2,288","1,349","1,340","2,251",694,937,"3,238","2,309","3,048","4,841","2,956","2,166","7,161","2,070"
2020,3,10,"46,025","4,881",722,"4,764","1,628",236,157,199,373,148,222,287,78,391,894,"2,008","1,578","1,987","1,931",908,"1,094","3,394","3,184","2,537","4,212","1,900","1,319","3,961","1,032"
