년도,월,나이,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020,1,총,"182,504","11,180","14,465","16,120","10,312","16,886","9,398","15,690","8,903","11,224","8,961","8,574","4,490","4,352","8,929","8,503","6,454","6,174","11,889"
2020,1,0,"12,839",783,621,"1,529",638,"1,357",595,"1,669",731,903,347,657,151,220,543,908,270,270,647
2020,1,10,"13,007",748,495,"1,444",554,"1,163",534,"1,542",543,910,508,635,349,326,679,838,494,330,915
2020,1,20,"26,965","1,513","2,653","1,896","1,604","2,987","1,311","1,729","1,225","1,665","1,650","1,105",686,614,"1,451","1,211","1,035",968,"1,662"
2020,1,30,"33,972","1,776","3,560","2,429","2,218","3,745","1,768","2,784","2,310","2,611","1,721","1,341",591,559,"1,507","1,411",830,923,"1,888"
2020,1,40,"28,577","1,719","2,050","2,620","1,576","2,489","1,558","2,959","1,533","1,760","1,340","1,358",649,662,"1,315","1,415",950,886,"1,738"
2020,1,50,"28,495","1,922","2,277","2,459","1,562","2,197","1,590","2,049","1,082","1,617","1,392","1,514",850,815,"1,381","1,280","1,184","1,137","2,187"
2020,1,60,"21,676","1,583","1,769","1,881","1,221","1,699","1,084","1,631",787,"1,078","1,062","1,144",714,652,"1,178",835,890,821,"1,647"
2020,1,70,"12,221",839,774,"1,208",665,864,693,940,509,478,666,617,353,387,634,453,607,620,914
2020,1,80,"4,273",259,232,582,250,332,239,333,164,183,252,185,130,107,221,137,180,210,277
2020,1,90,412,37,29,69,21,45,19,45,18,17,19,15,11,6,15,14,11,7,14
2020,1,100,67,1,5,3,3,8,7,9,1,2,4,3,6,4,5,1,3,2,0
2020,2,총,"183,468","11,176","14,570","16,140","10,313","16,897","9,371","15,675","8,869","11,230","8,948","8,568","4,465","4,453","8,880","9,488","6,457","6,139","11,829"
2020,2,0,"12,905",776,615,"1,541",626,"1,345",576,"1,671",715,905,337,662,144,246,526,"1,062",269,262,627
2020,2,10,"13,004",740,495,"1,439",553,"1,156",523,"1,538",534,903,498,634,348,325,669,931,492,327,899
