년도,월,나이,강진군,강진읍,군동면,칠량면,대구면,도암면,신전면,성전면,작천면,병영면,옴천면,마량면
2020,1,총,"16,928","6,710","2,002","1,171",555,"1,248",890,"1,392",913,792,331,924
2020,1,0,976,567,106,47,11,37,35,66,28,23,15,41
2020,1,10,"1,355",719,183,65,28,70,51,70,40,54,26,49
2020,1,20,"1,627",812,205,97,38,83,50,114,75,55,17,81
2020,1,30,"1,333",700,146,65,33,77,39,86,58,47,12,70
2020,1,40,"2,185",957,245,126,73,134,119,160,97,104,47,123
2020,1,50,"3,110","1,172",377,227,95,225,176,252,187,143,64,192
2020,1,60,"2,986",938,364,239,119,283,187,293,165,163,59,176
2020,1,70,"2,225",610,231,201,119,214,147,219,165,119,62,138
2020,1,80,"1,038",214,130,99,37,112,82,121,90,75,25,53
2020,1,90,89,20,15,5,2,12,4,10,7,9,4,1
2020,1,100,4,1,0,0,0,1,0,1,1,0,0,0
2020,2,총,"16,925","6,704","1,997","1,169",553,"1,238",892,"1,404",919,793,334,922
2020,2,0,971,574,102,44,9,35,32,68,28,23,14,42
2020,2,10,"1,347",711,180,62,27,68,54,72,42,56,25,50
2020,2,20,"1,614",809,200,98,37,81,47,116,74,52,21,79
2020,2,30,"1,337",700,146,66,34,74,41,91,57,47,12,69
2020,2,40,"2,181",954,245,125,72,130,121,160,95,106,49,124
2020,2,50,"3,116","1,173",376,228,97,228,175,247,194,143,64,191
2020,2,60,"2,993",939,369,239,121,280,184,300,167,161,59,174
2020,2,70,"2,223",607,233,198,119,217,151,217,162,119,61,139
2020,2,80,"1,050",218,131,103,35,112,83,122,92,77,24,53
2020,2,90,89,18,15,6,2,12,4,10,7,9,5,1
2020,2,100,4,1,0,0,0,1,0,1,1,0,0,0
2020,3,총,"16,934","6,703","2,022","1,160",552,"1,244",879,"1,413",913,793,334,921
2020,3,0,959,572,103,43,8,34,31,64,27,22,13,42
2020,3,10,"1,349",705,179,62,27,80,54,70,40,54,28,50
2020,3,20,"1,612",810,206,93,37,81,44,118,71,55,19,78
2020,3,30,"1,346",699,154,67,33,75,43,93,57,44,11,70
2020,3,40,"2,162",948,246,122,74,129,117,158,94,105,45,124
2020,3,50,"3,134","1,178",379,229,96,226,173,255,195,145,70,188
2020,3,60,"2,998",943,376,238,121,278,181,302,166,163,56,174
2020,3,70,"2,221",605,230,197,119,216,149,218,164,119,63,141
2020,3,80,"1,059",224,134,103,35,111,83,123,92,77,24,53
2020,3,90,89,18,15,6,2,13,3,11,6,9,5,1
2020,3,100,5,1,0,0,0,1,1,1,1,0,0,0
2020,4,총,"16,886","6,677","2,056","1,151",549,"1,233",877,"1,398",913,788,329,915
2020,4,0,954,563,110,42,7,33,31,63,27,22,13,43
2020,4,10,"1,328",697,180,60,28,70,55,66,42,54,28,48
2020,4,20,"1,608",812,215,90,36,79,45,114,69,52,19,77
