년도,월,나이,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동
2020,3,총,"169,683","3,947","5,425","4,398","6,873","3,207","6,551","6,343","3,876","7,178","7,313","2,267","13,293","5,145","8,153","9,086","7,868","21,710","5,270","34,230","7,550",,,
2020,3,0,"13,501",155,572,380,246,120,472,526,99,324,404,98,"1,397",207,477,496,441,"2,128",290,"4,303",366,,,
2020,3,10,"14,368",275,478,311,408,240,537,613,218,494,550,155,"1,410",310,531,738,532,"1,986",337,"3,625",620,,,
2020,3,20,"22,541",485,596,498,"1,020",472,858,926,638,"1,013","1,028",405,"1,638",749,"1,214","1,370","1,048","2,891",733,"4,088",871,,,
2020,3,30,"23,689",430,781,721,872,317,868,842,629,844,939,286,"1,790",602,"1,108","1,005",979,"3,112",674,"6,197",693,,,
2020,3,40,"26,767",558,"1,015",625,"1,057",454,"1,016",977,568,945,"1,107",299,"2,371",712,"1,107","1,203","1,119","3,550",731,"6,282","1,071",,,
2020,3,50,"27,977",735,756,691,"1,372",582,"1,034","1,106",695,"1,326","1,246",388,"2,073","1,023","1,482","1,696","1,481","3,454","1,004","4,422","1,411",,,
2020,3,60,"23,135",659,649,651,"1,108",553,909,771,557,"1,179","1,142",350,"1,597",907,"1,311","1,454","1,286","2,805",825,"3,130","1,292",,,
2020,3,70,"12,939",461,407,368,593,345,601,395,335,765,648,200,769,470,686,798,729,"1,352",483,"1,664",870,,,
2020,3,80,"4,413",179,156,146,176,117,239,168,126,267,224,83,232,156,221,303,234,398,179,471,338,,,
