년도,월,나이,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동,경상북도 경주시 문무대왕면
2021,4,60,"20,770",619,"2,191","1,043","2,011",0,679,609,523,368,"1,208",712,578,477,648,"1,171",539,900,538,"1,214","1,565","1,672",863,201,441
2021,4,70,"11,004",376,"1,313",651,939,0,351,384,309,283,535,415,349,332,398,789,345,410,358,403,515,695,478,113,263
2021,4,80,"4,188",169,524,290,312,0,134,173,134,132,189,164,129,127,160,250,163,170,136,130,167,212,174,35,114
2021,4,90,334,14,37,19,30,0,17,16,8,7,6,22,12,5,13,14,13,10,16,14,13,19,17,3,9
2021,4,100,15,1,1,1,2,0,0,1,0,1,2,0,0,0,0,1,3,0,0,0,0,1,0,0,1
2021,5,총,"126,552","2,710","12,146","4,765","11,534",,"3,347","2,369","1,610","1,586","10,693","3,125","2,975","2,550","3,098","6,850","2,295","7,385","2,863","11,653","13,955","11,171","4,778",856,"2,238"
2021,5,0,"8,126",73,574,178,684,,139,55,28,27,"1,239",84,137,99,77,237,46,583,177,"1,427","1,211",591,322,21,117
2021,5,10,"10,711",122,"1,013",286,647,,162,102,49,88,"1,203",157,158,177,168,427,91,863,180,"1,325","1,894","1,156",290,39,114
2021,5,20,"14,859",215,"1,282",437,"1,249",,401,162,81,100,"1,202",273,293,293,338,"1,115",209,"1,052",272,"1,431","2,012","1,631",430,90,291
2021,5,30,"13,329",189,921,384,"1,505",,297,148,62,88,"1,457",205,326,267,298,724,164,750,244,"1,640","1,524","1,242",562,68,264
2021,5,40,"18,909",376,"1,697",594,"1,754",,418,236,112,169,"1,830",400,402,344,412,959,272,"1,214",402,"2,124","2,366","1,765",713,114,236
2021,5,50,"24,162",562,"2,577",884,"2,367",,745,479,301,325,"1,819",693,587,421,588,"1,160",455,"1,427",536,"1,931","2,666","2,167",913,172,387
2021,5,60,"20,840",613,"2,199","1,040","2,038",,684,613,527,369,"1,200",710,582,479,650,"1,168",533,905,535,"1,216","1,580","1,687",874,198,440
2021,5,70,"11,053",379,"1,317",651,944,,350,386,309,285,542,413,347,338,392,794,346,412,362,413,517,697,479,116,264
2021,5,80,"4,205",165,527,290,312,,134,170,132,129,193,168,130,126,160,251,163,170,139,132,172,214,178,35,115
2021,5,90,343,15,38,20,32,,17,17,9,5,6,22,13,6,15,14,13,9,16,14,13,20,17,3,9
2021,5,100,15,1,1,1,2,,0,1,0,1,2,0,0,0,0,1,3,0,0,0,0,1,0,0,1
2021,6,총,"126,429","2,704","12,106","4,739","11,577",,"3,339","2,356","1,606","1,595","10,714","3,117","2,961","2,553","3,096","6,820","2,287","7,368","2,867","11,705","13,916","11,149","4,768",856,"2,230"
2021,6,0,"8,061",71,566,170,681,,136,49,27,28,"1,238",84,136,98,78,234,47,568,179,"1,426","1,201",587,320,21,116
2021,6,10,"10,668",124,"1,013",279,649,,164,100,46,87,"1,208",156,156,175,166,421,88,869,178,"1,322","1,884","1,151",280,39,113
2021,6,20,"14,809",213,"1,267",430,"1,243",,392,162,80,101,"1,202",273,289,290,332,"1,114",210,"1,049",267,"1,444","2,012","1,634",427,89,289
2021,6,30,"13,327",189,929,382,"1,528",,296,147,60,89,"1,453",202,324,263,301,726,166,746,246,"1,646","1,518","1,224",562,68,262
2021,6,40,"18,868",374,"1,682",590,"1,754",,415,232,114,168,"1,834",400,396,350,409,951,264,"1,211",400,"2,146","2,350","1,763",715,114,236
2021,6,50,"24,109",560,"2,566",884,"2,373",,750,473,299,326,"1,829",693,592,418,585,"1,145",457,"1,419",535,"1,928","2,656","2,157",910,170,384
2021,6,60,"20,960",610,"2,200","1,040","2,059",,687,614,530,371,"1,209",705,583,489,657,"1,167",536,915,545,"1,226","1,596","1,700",878,202,441
2021,6,70,"11,045",380,"1,316",657,945,,348,387,308,286,541,411,343,337,395,795,345,409,359,419,515,695,480,115,259
2021,6,80,"4,220",167,527,283,311,,134,174,134,132,192,172,128,128,159,251,160,173,142,134,172,213,179,35,120
2021,6,90,348,15,39,23,32,,17,17,8,6,6,21,14,5,14,15,12,9,16,14,12,24,17,3,9
2021,6,100,14,1,1,1,2,,0,1,0,1,2,0,0,0,0,1,2,0,0,0,0,1,0,0,1
2021,7,총,"126,344","2,705","12,081","4,726","11,610",,"3,328","2,362","1,614","1,590","10,716","3,118","2,952","2,557","3,085","6,800","2,282","7,344","2,860","11,769","13,875","11,127","4,771",853,"2,219"
2021,7,0,"8,024",72,561,169,687,,134,50,28,25,"1,235",80,133,97,79,224,47,563,179,"1,434","1,192",580,317,21,117
2021,7,10,"10,654",121,"1,015",272,649,,165,98,45,88,"1,211",161,154,175,167,414,89,864,178,"1,333","1,866","1,154",284,38,113
2021,7,20,"14,727",210,"1,252",434,"1,230",,388,167,86,100,"1,199",273,293,285,321,"1,112",213,"1,032",268,"1,441","2,012","1,620",418,88,285
2021,7,30,"13,311",189,931,381,"1,545",,292,150,59,84,"1,438",204,323,266,305,726,162,748,243,"1,651","1,509","1,214",565,67,259
2021,7,40,"18,823",372,"1,672",584,"1,774",,414,231,116,167,"1,838",398,389,350,404,940,263,"1,201",399,"2,163","2,325","1,757",720,112,234
2021,7,50,"24,098",562,"2,558",885,"2,359",,750,477,303,326,"1,833",687,587,424,581,"1,145",455,"1,419",529,"1,934","2,655","2,157",913,172,387
2021,7,60,"21,035",611,"2,208","1,039","2,068",,691,609,525,374,"1,211",710,585,492,660,"1,173",538,917,550,"1,247","1,612","1,703",874,202,436
2021,7,70,"11,073",385,"1,316",653,953,,346,389,312,282,548,415,345,337,397,796,340,417,354,416,519,700,480,114,259
2021,7,80,"4,237",166,528,286,311,,131,172,130,137,196,169,130,126,156,254,161,174,144,136,174,218,183,36,119
2021,7,90,349,16,39,22,32,,17,18,10,6,6,21,13,5,15,15,12,9,16,14,11,23,17,3,9
2021,7,100,13,1,1,1,2,,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1
2021,8,총,"126,304","2,700","12,028","4,714","11,640",,"3,337","2,362","1,608","1,584","10,701","3,128","2,958","2,555","3,078","6,777","2,271","7,326","2,853","11,821","13,901","11,105","4,785",854,"2,218"
2021,8,0,"7,995",73,551,163,694,,135,51,26,25,"1,231",79,131,97,78,222,46,555,176,"1,439","1,197",571,317,21,117
2021,8,10,"10,618",118,"1,010",273,650,,163,102,44,87,"1,200",161,154,168,170,410,88,863,180,"1,342","1,865","1,137",285,38,110
2021,8,20,"14,716",207,"1,239",430,"1,241",,386,166,83,98,"1,213",269,292,282,319,"1,111",206,"1,036",266,"1,444","2,009","1,626",419,87,287
2021,8,30,"13,270",185,921,381,"1,545",,296,146,56,84,"1,419",206,322,267,303,715,163,745,240,"1,661","1,514","1,205",574,66,256
2021,8,40,"18,770",370,"1,658",584,"1,758",,411,230,117,168,"1,833",400,388,352,406,938,262,"1,186",396,"2,176","2,322","1,753",719,112,231
2021,8,50,"24,085",564,"2,553",876,"2,368",,754,475,298,319,"1,827",685,594,424,580,"1,150",448,"1,425",526,"1,937","2,655","2,152",909,175,391
2021,8,60,"21,139",615,"2,217","1,046","2,077",,697,611,528,375,"1,223",718,583,496,657,"1,169",538,918,557,"1,255","1,625","1,718",880,202,434
2021,8,70,"11,118",385,"1,306",657,962,,346,391,317,283,552,416,349,343,398,792,343,417,354,418,525,703,483,114,264
2021,8,80,"4,232",165,534,280,312,,132,169,129,138,196,173,131,122,152,255,162,174,143,134,177,216,184,36,118
2021,8,90,348,17,38,23,31,,17,20,10,6,6,21,14,4,15,14,13,7,15,15,12,23,15,3,9
2021,8,100,13,1,1,1,2,,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1
2021,9,총,"126,328","2,684","11,977","4,717","11,646",,"3,333","2,369","1,603","1,573","10,709","3,113","2,967","2,549","3,074","6,796","2,257","7,352","2,850","11,842","13,927","11,105","4,806",860,"2,219"
2021,9,0,"7,956",74,543,164,698,,129,52,27,23,"1,226",79,134,95,75,221,46,554,171,"1,432","1,194",562,318,23,116
2021,9,10,"10,567",115,"1,000",278,642,,163,102,43,85,"1,192",154,153,164,166,409,89,858,178,"1,342","1,864","1,134",286,39,111
2021,9,20,"14,721",200,"1,223",423,"1,225",,381,169,81,96,"1,225",270,290,288,321,"1,137",200,"1,051",262,"1,442","2,017","1,617",428,91,284
2021,9,30,"13,263",183,915,385,"1,557",,301,147,55,78,"1,401",199,317,269,300,714,163,751,234,"1,669","1,520","1,212",574,65,254
2021,9,40,"18,713",364,"1,653",574,"1,745",,407,230,113,169,"1,833",397,396,345,405,929,259,"1,187",399,"2,174","2,326","1,741",729,110,228
2021,9,50,"24,107",567,"2,537",881,"2,378",,748,473,298,314,"1,841",678,592,423,584,"1,152",442,"1,435",532,"1,944","2,658","2,154",905,176,395
2021,9,60,"21,234",614,"2,233","1,045","2,093",,707,611,532,378,"1,231",724,587,494,658,"1,168",534,916,562,"1,268","1,622","1,731",883,204,439
2021,9,70,"11,147",382,"1,302",658,966,,347,392,311,285,556,416,352,345,397,795,345,419,354,419,532,714,484,113,263
2021,9,80,"4,257",167,531,286,310,,133,172,132,138,197,176,131,121,151,256,163,174,143,137,181,216,185,38,119
2021,9,90,350,17,39,22,30,,17,20,11,6,6,20,15,5,17,14,14,7,15,15,13,23,14,1,9
2021,9,100,13,1,1,1,2,,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1
2021,10,총,"126,297","2,698","11,948","4,702","11,682",,"3,335","2,374","1,607","1,568","10,670","3,097","2,969","2,553","3,062","6,793","2,239","7,392","2,846","11,869","13,937","11,091","4,798",856,"2,211"
2021,10,0,"7,918",76,531,162,701,,127,52,27,23,"1,208",82,134,96,71,222,42,560,165,"1,439","1,197",557,311,23,112
2021,10,10,"10,554",116,995,276,640,,163,101,43,83,"1,188",149,150,165,165,407,88,856,179,"1,347","1,870","1,131",294,37,111
2021,10,20,"14,676",203,"1,216",419,"1,225",,381,168,79,98,"1,223",269,288,285,324,"1,141",199,"1,060",264,"1,434","2,010","1,601",416,92,281
2021,10,30,"13,209",176,905,392,"1,562",,296,147,55,78,"1,382",190,318,271,300,711,156,753,229,"1,666","1,520","1,212",575,64,251
2021,10,40,"18,660",371,"1,639",563,"1,742",,406,231,110,165,"1,824",392,393,343,396,931,262,"1,194",404,"2,175","2,321","1,725",735,110,228
2021,10,50,"24,122",571,"2,533",872,"2,393",,752,472,298,312,"1,847",678,594,423,581,"1,148",443,"1,432",527,"1,953","2,660","2,174",893,172,394
2021,10,60,"21,358",615,"2,251","1,049","2,111",,712,617,541,381,"1,242",723,594,499,657,"1,165",527,926,566,"1,275","1,628","1,737",894,207,441
2021,10,70,"11,161",382,"1,298",661,972,,346,391,309,282,553,416,351,345,399,799,340,429,354,425,536,715,480,113,265
2021,10,80,"4,281",171,541,283,306,,134,175,134,139,197,178,132,121,152,254,167,174,144,140,182,215,187,37,118
2021,10,90,350,16,38,24,30,,18,19,11,7,6,20,15,5,17,14,14,8,14,15,13,23,13,1,9
2021,10,100,8,1,1,1,0,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2021,11,총,"126,155","2,689","11,914","4,704","11,679",,"3,330","2,367","1,601","1,552","10,685","3,093","2,959","2,539","3,056","6,795","2,230","7,381","2,857","11,874","13,931","11,085","4,783",852,"2,199"
2021,11,0,"7,888",74,527,158,695,,126,52,27,22,"1,208",82,128,86,73,218,40,561,172,"1,440","1,204",551,308,23,113
2021,11,10,"10,546",115,990,277,642,,164,98,42,83,"1,192",147,149,162,163,407,91,855,185,"1,350","1,862","1,129",296,37,110
2021,11,20,"14,569",203,"1,203",413,"1,205",,375,169,79,93,"1,215",272,284,285,322,"1,142",195,"1,053",259,"1,428","1,992","1,601",411,88,282
2021,11,30,"13,182",182,903,390,"1,564",,291,146,55,75,"1,386",190,315,269,302,712,154,746,228,"1,657","1,523","1,213",568,66,247
2021,11,40,"18,630",365,"1,629",565,"1,754",,405,230,109,162,"1,832",393,388,339,393,928,259,"1,192",406,"2,188","2,316","1,720",729,109,219
2021,11,50,"24,075",566,"2,520",870,"2,387",,754,473,298,310,"1,844",672,591,427,577,"1,158",443,"1,426",528,"1,950","2,663","2,168",885,172,393
2021,11,60,"21,429",619,"2,255","1,054","2,125",,715,617,539,379,"1,244",723,610,501,658,"1,162",528,932,569,"1,279","1,632","1,741",902,204,441
2021,11,70,"11,186",375,"1,306",668,971,,349,389,308,282,558,416,346,338,400,797,337,430,353,430,545,723,482,115,268
2021,11,80,"4,283",171,541,283,306,,134,174,133,138,200,177,133,126,152,256,169,176,143,136,179,215,188,37,116
2021,11,90,362,18,39,25,30,,17,19,11,8,6,21,15,6,16,15,14,10,14,16,15,23,14,1,9
2021,11,100,5,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2021,12,총,"126,024","2,698","11,879","4,696","11,688",,"3,338","2,358","1,597","1,555","10,669","3,082","2,963","2,514","3,048","6,785","2,214","7,382","2,873","11,871","13,895","11,079","4,781",853,"2,206"
2021,12,0,"7,861",75,525,161,698,,128,48,27,22,"1,199",81,128,80,69,221,40,548,176,"1,439","1,200",553,305,25,113
2021,12,10,"10,505",114,976,278,637,,165,95,41,83,"1,194",147,151,161,161,404,90,853,186,"1,340","1,851","1,131",298,37,112
2021,12,20,"14,500",204,"1,197",414,"1,196",,372,168,79,97,"1,206",270,279,276,327,"1,125",193,"1,062",257,"1,422","1,985","1,590",419,82,280
2021,12,30,"13,120",183,889,385,"1,556",,292,145,53,75,"1,379",186,319,266,297,712,156,747,232,"1,649","1,515","1,197",564,71,252
2021,12,40,"18,599",365,"1,633",569,"1,750",,402,231,110,159,"1,828",388,382,339,390,919,255,"1,189",404,"2,194","2,303","1,731",731,107,220
2021,12,50,"24,106",567,"2,513",864,"2,393",,752,475,294,312,"1,844",677,598,425,586,"1,176",436,"1,431",536,"1,954","2,661","2,165",880,172,395
2021,12,60,"21,458",621,"2,267","1,043","2,144",,723,616,542,381,"1,252",718,614,498,649,"1,155",525,933,566,"1,284","1,636","1,742",900,206,443
2021,12,70,"11,190",375,"1,293",672,975,,352,385,301,280,559,422,345,337,399,799,334,429,358,435,549,732,478,116,265
2021,12,80,"4,317",175,547,285,308,,135,176,139,138,201,173,134,126,154,260,169,180,143,136,179,214,192,37,116
2021,12,90,364,18,38,24,31,,17,19,11,8,7,20,13,6,16,14,16,10,15,18,16,24,14,0,9
2021,12,100,4,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
