년도,월,나이,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동,경상북도 경주시 문무대왕면
2020,4,30,"13,864",206,"1,028",418,"1,235",303,303,174,78,89,"1,553",258,336,303,336,802,191,783,272,"1,497","1,647","1,316",653,83,
2020,4,40,"19,605",413,"1,823",627,"1,575",270,447,255,120,208,"1,920",457,407,390,458,"1,018",309,"1,283",424,"1,916","2,539","1,926",704,116,
2020,4,50,"24,207",569,"2,699",938,"2,112",390,742,526,317,322,"1,740",718,581,489,629,"1,183",501,"1,414",557,"1,757","2,688","2,239",910,186,
2020,4,60,"19,435",601,"2,124",998,"1,726",410,646,569,491,363,"1,126",665,526,468,631,"1,176",540,845,526,"1,021","1,433","1,550",808,192,
2020,4,70,"10,624",379,"1,272",612,855,251,334,372,314,285,512,410,346,328,414,755,363,396,352,347,490,666,446,125,
2020,4,80,"3,982",166,496,293,293,121,125,168,120,119,183,165,126,118,143,231,153,162,127,114,154,197,172,36,
2020,4,90,329,13,34,21,27,6,13,14,11,5,6,21,12,4,14,17,14,14,18,14,11,16,18,6,
2020,4,100,22,0,2,1,3,1,0,1,1,1,1,0,0,3,2,1,3,0,0,0,0,1,0,1,
2020,5,총,"127,240","2,795","12,665","4,857","10,118","2,262","3,338","2,415","1,631","1,642","10,864","3,269","2,956","2,711","3,274","7,069","2,432","7,582","2,951","10,597","14,488","11,593","4,824",907,
2020,5,0,"8,530",88,670,196,537,123,156,53,30,38,"1,278",93,140,103,91,263,51,631,188,"1,355","1,373",688,353,32,
2020,5,10,"11,190",116,"1,086",276,588,126,179,109,47,90,"1,264",189,184,183,193,463,103,952,186,"1,227","2,060","1,225",304,40,
2020,5,20,"15,443",239,"1,450",483,"1,132",273,392,173,94,117,"1,275",306,293,333,360,"1,184",211,"1,085",313,"1,342","2,079","1,770",452,87,
2020,5,30,"13,849",209,"1,021",418,"1,242",302,304,171,79,89,"1,549",255,339,300,338,787,191,791,268,"1,497","1,647","1,314",654,84,
2020,5,40,"19,503",412,"1,810",625,"1,572",265,447,250,119,203,"1,910",445,400,384,453,"1,020",305,"1,288",418,"1,914","2,531","1,915",703,114,
2020,5,50,"24,214",566,"2,694",934,"2,116",378,741,530,319,329,"1,759",718,590,485,633,"1,188",498,"1,408",554,"1,751","2,694","2,230",913,186,
2020,5,60,"19,472",602,"2,125",995,"1,745",411,644,569,494,364,"1,120",667,527,468,635,"1,161",537,850,524,"1,029","1,442","1,561",805,197,
2020,5,70,"10,675",382,"1,272",615,861,254,338,379,315,285,519,410,347,329,409,752,364,398,355,354,491,674,449,123,
2020,5,80,"4,015",169,501,293,295,124,124,167,122,121,183,165,124,119,146,234,155,164,127,114,160,199,173,36,
2020,5,90,327,12,34,21,27,5,13,13,11,5,6,21,12,4,14,16,14,15,18,14,11,16,18,7,
2020,5,100,22,0,2,1,3,1,0,1,1,1,1,0,0,3,2,1,3,0,0,0,0,1,0,1,
2020,6,총,"127,101","2,786","12,635","4,845","10,171","2,266","3,346","2,407","1,628","1,643","10,887","3,253","2,966","2,705","3,257","7,060","2,423","7,551","2,948","10,612","14,436","11,573","4,808",895,
2020,6,0,"8,490",89,666,192,540,124,154,54,28,36,"1,287",90,141,106,91,262,52,619,188,"1,347","1,359",684,350,31,
2020,6,10,"11,161",116,"1,079",276,590,126,183,109,48,91,"1,263",184,179,184,192,470,102,942,186,"1,227","2,052","1,222",301,39,
2020,6,20,"15,353",235,"1,444",475,"1,117",270,389,170,88,120,"1,274",302,296,329,357,"1,183",211,"1,085",308,"1,339","2,070","1,757",448,86,
2020,6,30,"13,803",207,"1,017",418,"1,255",306,302,167,76,88,"1,556",251,344,293,333,787,188,796,262,"1,487","1,628","1,310",649,83,
2020,6,40,"19,459",406,"1,805",622,"1,590",262,448,253,118,203,"1,907",446,403,383,449,"1,008",304,"1,281",423,"1,919","2,514","1,901",701,113,
2020,6,50,"24,136",566,"2,681",931,"2,116",383,742,517,319,330,"1,756",711,590,478,626,"1,183",490,"1,399",552,"1,748","2,696","2,230",907,185,
2020,6,60,"19,623",602,"2,133",996,"1,773",411,649,575,500,366,"1,133",676,527,475,637,"1,163",542,848,532,"1,052","1,455","1,573",812,193,
2020,6,70,"10,708",382,"1,279",617,861,256,342,380,318,280,519,410,350,330,411,755,364,405,351,364,491,671,449,123,
2020,6,80,"4,020",171,497,295,297,122,124,168,122,123,185,164,123,120,145,234,154,161,127,115,159,206,174,34,
2020,6,90,326,12,32,22,29,5,13,13,10,5,6,19,13,4,14,14,13,15,19,14,12,18,17,7,
2020,6,100,22,0,2,1,3,1,0,1,1,1,1,0,0,3,2,1,3,0,0,0,0,1,0,1,
2020,7,총,"127,019","2,786","12,599","4,850","10,261","2,262","3,353","2,405","1,619","1,640","10,871","3,243","2,980","2,687","3,245","7,049","2,415","7,547","2,931","10,630","14,414","11,530","4,811",891,
2020,7,0,"8,460",89,657,193,547,124,156,54,27,32,"1,283",90,144,104,90,262,53,619,185,"1,341","1,347",681,351,31,
2020,7,10,"11,114",114,"1,076",275,587,124,182,111,48,93,"1,262",184,176,184,191,462,101,935,188,"1,222","2,043","1,217",301,38,
2020,7,20,"15,300",232,"1,430",473,"1,119",269,391,173,87,119,"1,268",301,302,325,359,"1,189",210,"1,086",301,"1,342","2,062","1,734",444,84,
2020,7,30,"13,777",209,"1,004",414,"1,281",305,307,166,71,92,"1,557",238,348,294,328,781,189,790,257,"1,489","1,624","1,306",645,82,
2020,7,40,"19,423",406,"1,798",625,"1,612",261,449,250,115,201,"1,903",447,399,376,443,"1,013",303,"1,273",420,"1,919","2,505","1,882",708,115,
2020,7,50,"24,154",571,"2,681",927,"2,139",382,732,513,318,327,"1,755",715,595,474,625,"1,175",482,"1,407",554,"1,762","2,707","2,232",899,182,
2020,7,60,"19,652",600,"2,138","1,002","1,776",410,656,577,502,363,"1,134",678,530,471,636,"1,158",543,851,532,"1,058","1,456","1,575",813,193,
2020,7,70,"10,764",383,"1,285",624,865,259,341,378,317,285,519,407,349,333,411,757,365,409,350,369,499,676,459,124,
2020,7,80,"4,027",169,497,294,303,122,126,168,124,121,182,165,124,120,146,237,153,162,127,113,159,207,174,34,
2020,7,90,327,13,31,22,29,5,13,14,9,6,7,18,13,4,14,14,13,15,17,15,12,19,17,7,
2020,7,100,21,0,2,1,3,1,0,1,1,1,1,0,0,2,2,1,3,0,0,0,0,1,0,1,
2020,8,총,"126,913","2,779","12,547","4,843","10,315","2,249","3,362","2,392","1,615","1,633","10,854","3,234","2,983","2,687","3,248","7,047","2,403","7,538","2,928","10,669","14,373","11,509","4,814",891,
2020,8,0,"8,437",89,658,194,547,123,154,54,27,32,"1,289",91,142,105,91,258,54,613,187,"1,341","1,333",684,341,30,
2020,8,10,"11,050",111,"1,063",273,586,123,181,107,48,90,"1,246",180,177,180,188,455,101,934,187,"1,225","2,040","1,207",309,39,
2020,8,20,"15,225",231,"1,405",468,"1,113",267,390,173,83,119,"1,252",291,305,330,365,"1,199",208,"1,082",302,"1,339","2,045","1,732",439,87,
2020,8,30,"13,752",205,990,417,"1,297",299,309,167,70,91,"1,561",236,345,291,327,772,185,792,258,"1,482","1,625","1,303",648,82,
2020,8,40,"19,345",409,"1,796",620,"1,618",258,447,246,114,197,"1,892",446,398,368,437,"1,009",301,"1,270",413,"1,921","2,494","1,871",706,114,
2020,8,50,"24,143",570,"2,670",927,"2,141",382,736,510,314,329,"1,757",712,592,473,626,"1,172",486,"1,410",549,"1,783","2,703","2,214",906,181,
2020,8,60,"19,780",599,"2,143","1,003","1,805",410,661,579,507,362,"1,149",682,541,478,644,"1,163",536,849,534,"1,074","1,462","1,592",814,193,
2020,8,70,"10,804",379,"1,295",628,873,262,342,374,317,284,520,412,347,335,406,764,361,408,355,372,504,683,458,125,
2020,8,80,"4,023",172,493,289,303,119,129,167,125,122,180,166,123,121,147,240,155,165,126,117,155,202,175,32,
2020,8,90,332,14,32,23,28,5,13,14,9,6,7,18,13,4,15,14,13,15,17,15,12,20,18,7,
