년도,월,나이,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020,1,총,"8,422","3,633","1,067",876,919,857,"1,070"
2020,1,0,411,251,43,33,21,31,32
2020,1,10,528,301,52,30,47,51,47
2020,1,20,699,387,65,44,75,49,79
2020,1,30,603,337,68,43,46,51,58
2020,1,40,"1,087",549,134,95,88,104,117
2020,1,50,"1,659",649,213,179,200,181,237
2020,1,60,"1,636",583,232,193,197,183,248
2020,1,70,"1,197",401,175,185,145,117,174
2020,1,80,542,156,75,67,91,79,74
2020,1,90,54,17,8,6,9,10,4
2020,1,100,6,2,2,1,0,1,0
2020,2,총,"8,385","3,620","1,057",876,906,862,"1,064"
2020,2,0,409,249,41,33,21,34,31
2020,2,10,520,293,52,30,47,51,47
2020,2,20,689,387,61,43,70,51,77
2020,2,30,595,335,65,42,46,48,59
2020,2,40,"1,087",550,131,97,87,107,115
2020,2,50,"1,653",646,214,178,198,183,234
2020,2,60,"1,634",586,232,191,195,182,248
2020,2,70,"1,199",399,176,189,145,118,172
2020,2,80,537,156,75,65,88,77,76
2020,2,90,56,17,8,7,9,10,5
2020,2,100,6,2,2,1,0,1,0
2020,3,총,"8,346","3,606","1,050",877,898,855,"1,060"
2020,3,0,414,252,43,34,22,32,31
2020,3,10,509,289,52,29,45,50,44
2020,3,20,682,381,61,42,67,52,79
2020,3,30,586,334,62,43,43,45,59
2020,3,40,"1,081",547,131,95,86,108,114
2020,3,50,"1,641",643,208,179,196,180,235
2020,3,60,"1,638",590,232,193,197,181,245
2020,3,70,"1,188",391,175,188,142,120,172
2020,3,80,546,161,76,66,91,76,76
2020,3,90,55,16,8,7,9,10,5
2020,3,100,6,2,2,1,0,1,0
2020,4,총,"8,317","3,602","1,046",872,894,848,"1,055"
2020,4,0,401,247,40,32,21,30,31
2020,4,10,512,291,52,30,47,48,44
2020,4,20,668,371,62,41,66,54,74
2020,4,30,583,334,62,42,41,43,61
2020,4,40,"1,073",550,128,94,83,108,110
2020,4,50,"1,639",643,205,178,196,180,237
2020,4,60,"1,646",595,235,191,198,181,246
2020,4,70,"1,177",385,175,190,142,117,168
2020,4,80,557,168,76,66,92,76,79
