년도,월,나이,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 의정부3동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020,1,총,"229,265","15,028","16,177",0.0,"18,629","18,487","10,285","22,976","23,022","14,642","17,614","23,654","14,322","13,313","9,736","11,380"
2020,1,0,"16,960",565,916,0.0,"1,223","1,350",710,"1,451","1,573",977,"1,490","3,475","1,055",766,600,809
2020,1,10,"21,174",835,"1,091",0.0,"1,405","1,835","1,001","2,206","2,469","1,382","2,286","2,461","1,326","1,034",792,"1,051"
2020,1,20,"30,601","2,903","2,665",0.0,"2,423","2,250","1,106","3,066","3,191","1,871","2,216","2,599","1,839","1,755","1,208","1,509"
2020,1,30,"29,342","2,037","2,309",0.0,"2,416","2,189","1,122","2,717","2,384","1,655","2,105","4,635","1,691","1,598","1,061","1,423"
2020,1,40,"37,306","1,956","2,500",0.0,"2,815","3,005","1,686","3,791","3,887","2,414","3,496","4,246","2,313","1,968","1,408","1,821"
2020,1,50,"39,934","2,584","2,891",0.0,"3,014","3,086","1,752","4,431","4,448","2,682","2,804","3,051","2,696","2,626","1,827","2,042"
2020,1,60,"27,207","2,105","2,003",0.0,"2,713","2,281","1,376","2,783","2,605","1,811","1,476","1,816","1,665","1,788","1,424","1,361"
2020,1,70,"17,061","1,258","1,208",0.0,"1,841","1,681",952,"1,604","1,503","1,063","1,100",871,"1,071","1,187",886,836
2020,1,80,"8,231",624,517,0.0,675,715,485,812,819,660,548,434,569,497,430,446
2020,1,90,"1,291",115,70,0.0,89,88,86,107,138,118,91,65,89,86,69,80
2020,1,100,158,46,7,0.0,15,7,9,8,5,9,2,1,8,8,31,2
2020,2,총,"229,755","15,111","16,112",,"18,605","18,439","10,527","22,860","22,914","15,623","17,499","23,520","14,268","13,254","9,679","11,344"
2020,2,0,"16,947",555,913,,"1,204","1,318",750,"1,418","1,553","1,154","1,473","3,403","1,055",755,591,805
2020,2,10,"21,097",847,"1,076",,"1,398","1,824","1,019","2,179","2,445","1,472","2,244","2,451","1,293","1,029",780,"1,040"
2020,2,20,"30,675","2,969","2,654",,"2,424","2,235","1,136","3,056","3,161","1,979","2,200","2,579","1,845","1,743","1,192","1,502"
2020,2,30,"29,271","2,037","2,268",,"2,389","2,168","1,174","2,676","2,367","1,867","2,074","4,542","1,683","1,578","1,042","1,406"
2020,2,40,"37,410","1,959","2,501",,"2,809","2,990","1,725","3,766","3,866","2,582","3,476","4,279","2,289","1,954","1,403","1,811"
2020,2,50,"40,061","2,588","2,888",,"3,016","3,090","1,780","4,419","4,439","2,809","2,808","3,040","2,691","2,635","1,811","2,047"
2020,2,60,"27,422","2,106","2,005",,"2,730","2,295","1,400","2,806","2,617","1,874","1,482","1,840","1,676","1,780","1,438","1,373"
2020,2,70,"17,080","1,256","1,199",,"1,844","1,691",956,"1,603","1,506","1,083","1,096",886,"1,063","1,179",880,838
2020,2,80,"8,322",631,528,,688,726,494,822,815,671,554,434,575,504,441,439
2020,2,90,"1,310",116,73,,89,95,84,107,140,123,90,65,90,88,69,81
2020,2,100,160,47,7,,14,7,9,8,5,9,2,1,8,9,32,2
2020,3,총,"230,145","15,205","16,061",,"18,585","18,370","10,705","22,795","22,882","16,277","17,388","23,513","14,199","13,239","9,631","11,295"
2020,3,0,"16,900",549,909,,"1,198","1,309",767,"1,398","1,542","1,220","1,450","3,394","1,041",751,574,798
2020,3,10,"21,014",852,"1,056",,"1,396","1,792","1,021","2,166","2,428","1,495","2,228","2,465","1,285","1,028",775,"1,027"
2020,3,20,"30,869","3,038","2,667",,"2,415","2,246","1,183","3,028","3,180","2,087","2,191","2,567","1,840","1,732","1,184","1,511"
2020,3,30,"29,264","2,050","2,280",,"2,367","2,158","1,199","2,668","2,350","1,982","2,032","4,529","1,659","1,571","1,034","1,385"
2020,3,40,"37,316","1,952","2,477",,"2,815","2,967","1,750","3,734","3,830","2,672","3,445","4,282","2,273","1,934","1,385","1,800"
2020,3,50,"40,129","2,610","2,866",,"3,014","3,078","1,801","4,416","4,418","2,942","2,807","3,035","2,677","2,628","1,801","2,036"
2020,3,60,"27,647","2,106","2,004",,"2,735","2,300","1,419","2,830","2,646","1,969","1,483","1,848","1,685","1,799","1,444","1,379"
