년도,월,나이,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020,3,총,"159,079","9,948","7,263","6,377","5,677","13,844","11,154","12,923","9,270","8,148","6,249","14,238","20,361","14,193","5,980","9,967","3,487"
2020,3,0,"11,019",628,510,312,308,938,671,806,592,618,544,"1,143","1,695",956,706,517,75
2020,3,10,"13,867",866,591,408,428,"1,289",915,"1,092",651,737,556,"1,310","2,231","1,366",475,800,152
2020,3,20,"22,215","1,251",878,813,803,"1,980","2,007","2,796","1,131","1,154",660,"1,927","2,541","1,967",680,"1,266",361
2020,3,30,"20,822","1,290",857,900,670,"1,723","1,661","1,826","1,334","1,201",903,"2,065","2,379","1,495","1,109","1,087",322
2020,3,40,"24,227","1,407","1,166",901,766,"1,972","1,545","1,809","1,459","1,262","1,185","2,315","3,383","2,102",971,"1,482",502
2020,3,50,"27,696","1,632","1,205","1,092",977,"2,317","1,823","2,021","1,708","1,430","1,089","2,398","3,666","2,762",921,"1,890",765
2020,3,60,"24,009","1,601","1,178","1,121",977,"2,201","1,570","1,578","1,506","1,155",820,"2,021","2,820","2,266",734,"1,763",698
2020,3,70,"11,756",947,700,627,580,"1,110",737,771,689,458,391,866,"1,253",961,314,911,441
2020,3,80,"3,179",293,166,176,154,296,214,210,174,121,96,182,349,289,65,236,158
2020,3,90,256,28,12,21,13,15,8,13,21,12,4,10,43,28,5,14,9
2020,3,100,33,5,0,6,1,3,3,1,5,0,1,1,1,1,0,1,4
2020,4,총,"158,716","9,924","7,235","6,365","5,660","13,778","11,139","12,913","9,271","8,142","6,163","14,219","20,371","14,162","5,997","9,915","3,462"
2020,4,0,"10,947",628,500,308,310,923,672,806,591,613,542,"1,137","1,678",946,708,511,74
2020,4,10,"13,821",861,592,409,422,"1,270",919,"1,085",642,740,544,"1,309","2,234","1,369",470,803,152
2020,4,20,"22,137","1,253",872,814,804,"1,975","1,996","2,786","1,130","1,154",650,"1,914","2,550","1,953",681,"1,253",352
2020,4,30,"20,690","1,283",848,889,669,"1,712","1,640","1,823","1,336","1,199",885,"2,050","2,371","1,480","1,110","1,078",317
2020,4,40,"24,125","1,388","1,162",900,765,"1,973","1,540","1,807","1,456","1,250","1,175","2,311","3,376","2,089",972,"1,461",500
2020,4,50,"27,636","1,636","1,206","1,080",970,"2,294","1,836","2,026","1,695","1,433","1,070","2,402","3,679","2,748",918,"1,883",760
2020,4,60,"24,062","1,598","1,161","1,135",968,"2,210","1,569","1,580","1,526","1,161",810,"2,032","2,825","2,286",747,"1,760",694
2020,4,70,"11,802",947,716,626,586,"1,102",740,773,692,461,387,869,"1,262",968,320,911,442
2020,4,80,"3,208",296,165,178,152,301,218,213,179,119,95,183,352,294,66,238,159
2020,4,90,254,29,13,20,13,15,6,13,19,12,4,11,43,28,5,15,8
2020,4,100,34,5,0,6,1,3,3,1,5,0,1,1,1,1,0,2,4
2020,5,총,"158,447","9,905","7,220","6,350","5,650","13,723","11,128","12,917","9,251","8,151","6,101","14,229","20,357","14,141","5,998","9,874","3,452"
2020,5,0,"10,869",630,500,311,303,911,669,801,585,608,535,"1,127","1,668",938,708,502,73
2020,5,10,"13,759",853,586,407,421,"1,270",916,"1,075",643,742,539,"1,300","2,234","1,355",468,800,150
2020,5,20,"22,076","1,245",872,806,807,"1,954","1,993","2,796","1,122","1,153",636,"1,922","2,539","1,951",681,"1,244",355
2020,5,30,"20,593","1,275",845,889,663,"1,701","1,637","1,824","1,313","1,209",882,"2,038","2,357","1,483","1,103","1,064",310
2020,5,40,"24,125","1,399","1,161",902,775,"1,967","1,538","1,808","1,457","1,249","1,165","2,325","3,374","2,068",973,"1,464",500
2020,5,50,"27,560","1,622","1,196","1,071",967,"2,286","1,830","2,023","1,702","1,430","1,050","2,399","3,679","2,746",918,"1,882",759
2020,5,60,"24,082","1,601","1,159","1,130",961,"2,207","1,576","1,573","1,523","1,167",804,"2,041","2,840","2,303",750,"1,754",693
2020,5,70,"11,865",944,723,628,588,"1,105",738,787,698,460,392,881,"1,268",976,325,909,443
2020,5,80,"3,232",302,165,181,152,303,222,217,183,121,93,184,354,293,67,238,157
2020,5,90,251,28,13,19,12,16,6,12,20,12,4,11,43,27,5,15,8
2020,5,100,35,6,0,6,1,3,3,1,5,0,1,1,1,1,0,2,4
2020,6,총,"158,222","9,867","7,196","6,370","5,614","13,675","11,115","12,886","9,222","8,183","6,048","14,297","20,321","14,128","6,013","9,842","3,445"
2020,6,0,"10,841",622,493,316,300,913,670,799,589,617,529,"1,127","1,662",922,706,506,70
2020,6,10,"13,695",852,583,404,414,"1,272",907,"1,062",635,740,539,"1,299","2,228","1,353",469,789,149
2020,6,20,"22,007","1,236",871,798,799,"1,918","1,999","2,793","1,112","1,160",631,"1,923","2,537","1,949",691,"1,234",356
2020,6,30,"20,522","1,262",843,895,656,"1,694","1,629","1,803","1,307","1,215",878,"2,047","2,351","1,479","1,101","1,058",304
2020,6,40,"24,106","1,403","1,152",906,770,"1,972","1,526","1,812","1,453","1,259","1,153","2,347","3,351","2,073",970,"1,457",502
2020,6,50,"27,412","1,614","1,196","1,068",961,"2,272","1,821","2,016","1,684","1,425","1,025","2,410","3,656","2,723",924,"1,861",756
