년도,월,나이,중구,학성동,반구1동,반구2동,복산1동,복산2동,중앙동,우정동,태화동,다운동,병영1동,병영2동,약사동,성안동
2020,1,총,"113,235","5,293","9,207","4,613","2,505","5,805","7,203","10,410","17,246","12,165","11,720","10,612","5,592","10,864"
2020,1,0,"9,264",246,768,237,139,490,276,798,"1,980",593,775,"1,107",695,"1,160"
2020,1,10,"11,290",345,729,360,175,630,393,898,"1,943","1,323","1,360","1,061",700,"1,373"
2020,1,20,"15,820",623,"1,263",744,349,845,981,"1,471","2,345","1,907","1,805","1,363",751,"1,373"
2020,1,30,"14,754",631,"1,437",593,315,914,853,"1,339","2,291","1,234","1,269","1,540",869,"1,469"
2020,1,40,"17,991",823,"1,452",617,309,893,983,"1,548","2,975","1,891","1,701","1,767",859,"2,173"
2020,1,50,"21,224","1,032","1,818",923,504,"1,028","1,415","1,941","2,843","2,550","2,467","1,871","1,033","1,799"
2020,1,60,"14,825",934,"1,166",709,447,632,"1,392","1,536","1,959","1,702","1,561","1,288",483,"1,016"
2020,1,70,"6,284",504,465,341,206,297,681,652,730,745,622,486,153,402
2020,1,80,"1,669",150,101,82,51,69,210,212,170,206,155,121,47,95
2020,1,90,105,4,8,7,8,7,15,15,10,13,5,7,2,4
2020,1,100,9,1,0,0,2,0,4,0,0,1,0,1,0,0
2020,2,총,"112,874","5,288","9,187","4,610","2,503","5,767","7,160","10,359","17,207","12,113","11,707","10,557","5,593","10,823"
2020,2,0,"9,185",247,759,234,136,473,268,788,"1,977",588,780,"1,095",701,"1,139"
2020,2,10,"11,218",345,727,351,173,634,384,900,"1,934","1,299","1,349","1,054",692,"1,376"
2020,2,20,"15,691",612,"1,255",745,349,841,983,"1,461","2,315","1,891","1,794","1,345",750,"1,350"
2020,2,30,"14,674",624,"1,430",592,309,910,842,"1,328","2,280","1,217","1,275","1,530",866,"1,471"
2020,2,40,"17,946",823,"1,444",626,309,887,974,"1,539","2,982","1,884","1,696","1,758",867,"2,157"
2020,2,50,"21,154","1,031","1,816",916,507,"1,011","1,408","1,923","2,835","2,554","2,455","1,869","1,028","1,801"
2020,2,60,"14,910",941,"1,180",712,451,638,"1,398","1,542","1,968","1,707","1,571","1,292",486,"1,024"
2020,2,70,"6,286",507,465,346,205,295,671,647,734,753,622,485,153,403
2020,2,80,"1,696",153,104,82,53,72,213,216,172,206,160,120,48,97
2020,2,90,104,4,7,6,8,6,15,15,10,13,5,8,2,5
2020,2,100,10,1,0,0,3,0,4,0,0,1,0,1,0,0
2020,3,총,"112,512","5,269","9,153","4,592","2,490","5,762","7,139","10,317","17,168","12,045","11,645","10,528","5,577","10,827"
2020,3,0,"9,129",245,751,234,138,471,267,784,"1,966",589,774,"1,080",699,"1,131"
2020,3,10,"11,143",341,714,348,170,642,381,892,"1,927","1,272","1,331","1,054",693,"1,378"
2020,3,20,"15,593",609,"1,256",744,345,830,974,"1,455","2,299","1,883","1,772","1,343",740,"1,343"
2020,3,30,"14,560",618,"1,422",589,303,901,834,"1,330","2,275","1,210","1,265","1,506",858,"1,449"
2020,3,40,"17,882",814,"1,443",619,313,887,968,"1,531","2,977","1,850","1,678","1,759",874,"2,169"
2020,3,50,"21,099","1,030","1,809",912,501,"1,014","1,398","1,910","2,831","2,556","2,459","1,857","1,020","1,802"
2020,3,60,"14,961",936,"1,179",709,452,640,"1,412","1,535","1,968","1,701","1,579","1,317",490,"1,043"
2020,3,70,"6,320",515,468,348,204,296,673,645,745,763,621,478,157,407
2020,3,80,"1,712",155,104,83,53,75,213,220,171,207,161,126,44,100
2020,3,90,103,5,7,6,8,6,15,15,9,13,5,7,2,5
2020,3,100,10,1,0,0,3,0,4,0,0,1,0,1,0,0
2020,4,총,"112,157","5,262","9,136","4,583","2,469","5,743","7,113","10,228","17,129","11,968","11,609","10,519","5,584","10,814"
2020,4,0,"9,052",240,741,233,137,468,266,772,"1,954",581,770,"1,067",701,"1,122"
2020,4,10,"11,066",335,713,344,165,637,375,889,"1,928","1,249","1,319","1,051",690,"1,371"
2020,4,20,"15,505",615,"1,253",742,345,824,956,"1,429","2,279","1,871","1,752","1,349",745,"1,345"
2020,4,30,"14,482",609,"1,414",585,297,902,847,"1,312","2,261","1,206","1,256","1,502",852,"1,439"
2020,4,40,"17,828",818,"1,439",617,313,886,967,"1,521","2,972","1,825","1,668","1,760",876,"2,166"
2020,4,50,"21,033","1,024","1,814",910,493,"1,016","1,377","1,894","2,822","2,550","2,455","1,854","1,023","1,801"
2020,4,60,"14,976",938,"1,177",707,455,635,"1,418","1,532","1,971","1,691","1,590","1,319",494,"1,049"
2020,4,70,"6,365",522,466,356,198,296,674,642,760,770,631,481,156,413
2020,4,80,"1,737",155,112,82,55,73,214,223,172,211,162,129,45,104
2020,4,90,103,5,7,7,8,6,15,14,10,13,6,6,2,4
2020,4,100,10,1,0,0,3,0,4,0,0,1,0,1,0,0
2020,5,총,"111,885","5,278","9,129","4,575","2,455","5,713","7,103","10,173","17,088","11,941","11,566","10,503","5,565","10,796"
2020,5,0,"9,000",246,735,232,132,474,263,765,"1,933",581,760,"1,062",699,"1,118"
2020,5,10,"11,009",331,710,336,164,628,376,885,"1,934","1,246","1,307","1,049",687,"1,356"
2020,5,20,"15,434",619,"1,255",745,340,821,958,"1,408","2,277","1,847","1,743","1,334",738,"1,349"
2020,5,30,"14,427",619,"1,403",586,300,887,842,"1,311","2,236","1,212","1,247","1,504",845,"1,435"
2020,5,40,"17,766",812,"1,435",615,311,875,967,"1,517","2,961","1,818","1,674","1,745",878,"2,158"
2020,5,50,"20,983","1,027","1,816",905,485,"1,013","1,377","1,869","2,814","2,552","2,436","1,861","1,020","1,808"
2020,5,60,"15,020",939,"1,183",701,456,641,"1,417","1,546","1,990","1,686","1,595","1,330",495,"1,041"
2020,5,70,"6,394",526,473,364,199,295,668,637,763,773,635,480,156,425
2020,5,80,"1,741",153,112,84,57,74,216,221,170,213,163,131,45,102
2020,5,90,101,5,7,7,8,5,15,14,10,12,6,6,2,4
2020,5,100,10,1,0,0,3,0,4,0,0,1,0,1,0,0
2020,6,총,"111,559","5,287","9,106","4,579","2,439","5,722","7,069","10,105","17,078","11,887","11,512","10,440","5,553","10,782"
2020,6,0,"8,938",245,735,234,137,473,260,756,"1,923",575,758,"1,041",694,"1,107"
2020,6,10,"10,944",333,705,332,161,628,372,880,"1,930","1,231","1,285","1,044",680,"1,363"
2020,6,20,"15,353",622,"1,246",748,330,827,935,"1,393","2,281","1,839","1,733","1,318",732,"1,349"
2020,6,30,"14,363",620,"1,396",590,302,884,850,"1,306","2,228","1,199","1,236","1,496",841,"1,415"
2020,6,40,"17,706",814,"1,431",615,306,879,957,"1,496","2,952","1,803","1,665","1,742",889,"2,157"
2020,6,50,"20,914","1,016","1,799",902,486,"1,017","1,373","1,860","2,814","2,550","2,416","1,847","1,014","1,820"
2020,6,60,"15,103",950,"1,202",704,452,645,"1,421","1,546","2,006","1,696","1,615","1,330",501,"1,035"
2020,6,70,"6,389",529,471,363,197,292,665,637,761,772,632,485,155,430
2020,6,80,"1,741",152,114,85,57,73,217,217,173,209,166,131,45,102
2020,6,90,97,5,7,6,8,4,15,14,10,12,6,5,2,3
2020,6,100,11,1,0,0,3,0,4,0,0,1,0,1,0,1
2020,7,총,"111,380","5,301","9,101","4,570","2,435","5,707","7,038","10,043","17,067","11,865","11,504","10,410","5,557","10,782"
2020,7,0,"8,889",240,729,236,138,464,256,751,"1,924",572,756,"1,041",684,"1,098"
2020,7,10,"10,925",332,702,326,163,625,364,884,"1,931","1,226","1,277","1,040",693,"1,362"
