년도,월,나이,김해시,진영읍,주촌면,진례면,한림면,생림면,상동면,대동면,동상동,회현동,부원동,내외동,북부동,칠산서부동,활천동,삼안동,불암동,장유1동,장유2동,장유3동
2020,1,총,"274,438","28,759","8,521","3,656","4,306","2,026","1,818","3,344","5,220","4,967","5,223","37,486","40,483","5,085","21,230","17,810","4,056","28,173","18,558","33,717"
2020,1,0,"26,466","3,483","1,265",149,134,53,57,85,308,356,343,"2,706","4,021",290,"1,467",927,310,"2,980","2,006","5,526"
2020,1,10,"32,996","3,144",607,199,206,69,84,142,399,345,396,"4,472","5,799",399,"2,163","1,840",401,"4,204","2,771","5,356"
2020,1,20,"37,478","3,098","1,052",391,461,203,178,318,745,687,803,"6,750","5,838",716,"3,461","3,330",575,"3,577","2,269","3,026"
2020,1,30,"37,139","4,854","2,048",314,395,152,176,289,799,670,681,"4,436","4,961",595,"2,563","1,793",470,"3,623","2,653","5,667"
2020,1,40,"49,683","5,732","1,333",554,524,227,221,354,777,700,756,"5,864","7,516",755,"3,434","2,682",651,"5,998","3,900","7,705"
2020,1,50,"49,023","4,196","1,228",892,"1,010",493,456,671,"1,045",946,"1,101","8,074","7,303","1,096","4,455","3,973",830,"4,512","2,973","3,769"
2020,1,60,"27,200","2,723",699,692,939,467,413,894,752,764,732,"3,585","3,430",815,"2,476","2,229",530,"2,017","1,298","1,745"
2020,1,70,"10,885","1,161",206,319,460,276,182,439,309,375,307,"1,185","1,210",316,939,769,218,933,536,745
2020,1,80,"3,289",339,72,137,166,79,45,134,79,115,96,380,374,100,249,251,63,302,140,168
2020,1,90,257,28,11,9,11,7,5,17,4,8,7,31,31,3,18,15,6,24,12,10
2020,1,100,22,1,0,0,0,0,1,1,3,1,1,3,0,0,5,1,2,3,0,0
2020,2,총,"274,457","28,671","8,710","3,657","4,283","2,021","1,824","3,321","5,189","4,958","5,217","37,389","40,515","5,072","21,173","17,752","4,047","28,113","18,546","33,999"
2020,2,0,"26,349","3,453","1,296",147,130,55,57,86,299,354,347,"2,680","4,000",293,"1,454",914,308,"2,942","1,994","5,540"
2020,2,10,"32,823","3,116",623,199,202,66,87,140,390,340,392,"4,453","5,756",396,"2,130","1,808",403,"4,180","2,764","5,378"
2020,2,20,"37,448","3,075","1,065",387,456,196,179,308,758,684,807,"6,701","5,848",721,"3,452","3,346",568,"3,592","2,263","3,042"
2020,2,30,"37,016","4,831","2,077",321,391,154,174,287,770,669,672,"4,428","4,967",578,"2,562","1,783",465,"3,574","2,619","5,694"
2020,2,40,"49,715","5,719","1,379",554,524,229,224,355,770,701,758,"5,843","7,494",749,"3,400","2,655",652,"5,984","3,905","7,820"
2020,2,50,"49,108","4,198","1,267",882,"1,004",487,454,659,"1,040",937,"1,097","8,052","7,359","1,093","4,453","3,948",827,"4,546","2,992","3,813"
2020,2,60,"27,466","2,747",713,702,937,469,413,899,769,771,733,"3,626","3,464",822,"2,508","2,249",532,"2,017","1,314","1,781"
2020,2,70,"10,927","1,165",208,321,461,278,183,434,307,371,308,"1,186","1,219",317,934,780,221,942,544,748
2020,2,80,"3,324",339,71,135,165,80,46,135,79,122,96,387,377,101,256,253,62,308,139,173
2020,2,90,258,26,11,9,13,7,6,17,4,8,6,30,31,2,19,15,7,25,12,10
2020,2,100,23,2,0,0,0,0,1,1,3,1,1,3,0,0,5,1,2,3,0,0
2020,3,총,"274,437","28,663","8,872","3,646","4,265","2,014","1,799","3,303","5,157","4,941","5,207","37,258","40,515","5,055","21,131","17,649","4,033","28,082","18,520","34,327"
2020,3,0,"26,233","3,449","1,319",141,122,52,57,82,291,355,344,"2,655","3,984",288,"1,422",913,309,"2,909","1,979","5,562"
2020,3,10,"32,653","3,092",631,199,202,64,84,138,382,333,389,"4,389","5,726",392,"2,128","1,781",399,"4,173","2,747","5,404"
2020,3,20,"37,461","3,050","1,101",388,450,192,172,312,757,687,804,"6,684","5,869",712,"3,425","3,314",562,"3,611","2,275","3,096"
