년도,월,나이,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020,3,총,"230,147","18,179","19,109","14,113","11,749","14,103","16,648","12,867","12,046","12,476","12,539","22,611","13,637","10,773","7,797","4,368","27,132"
2020,3,0,"15,809","1,336","1,310",632,594,911,"1,035",667,849,"1,508",564,"1,548",864,665,410,238,"2,678"
2020,3,10,"20,390","1,271","1,485","1,023",917,"1,283","1,386",852,"1,285","1,135",905,"1,867","1,156","1,013",693,314,"3,805"
2020,3,20,"32,109","2,422","2,682","2,184","1,955","2,132","2,257","2,095","1,551","1,338","1,871","3,214","2,058","1,553","1,067",625,"3,105"
2020,3,30,"34,177","3,155","2,745","2,145","1,703","2,098","2,188","2,147","1,846","2,241","1,790","3,446","2,158","1,567","1,086",630,"3,232"
2020,3,40,"38,394","2,959","3,080","2,151","1,810","2,326","2,652","2,096","2,172","2,457","1,937","3,895","2,178","1,700","1,183",606,"5,192"
2020,3,50,"37,073","2,882","3,181","2,341","1,923","2,301","2,905","2,033","1,863","1,639","2,182","3,641","2,153","1,744","1,327",803,"4,155"
2020,3,60,"28,603","2,238","2,458","1,967","1,575","1,660","2,322","1,537","1,309","1,213","1,730","2,736","1,727","1,486","1,145",684,"2,816"
2020,3,70,"17,001","1,379","1,506","1,221",953,982,"1,378","1,014",852,681,"1,106","1,674",998,750,654,334,"1,519"
2020,3,80,"5,939",490,592,410,283,376,473,388,282,228,414,550,317,257,212,121,546
2020,3,90,575,42,59,35,35,27,44,31,37,29,35,36,26,34,17,11,77
2020,3,100,77,5,11,4,1,7,8,7,0,7,5,4,2,4,3,2,7
2020,4,총,"230,057","18,177","19,091","14,099","11,667","14,054","16,621","12,815","11,962","12,999","12,562","22,541","13,580","10,732","7,741","4,353","27,063"
2020,4,0,"15,757","1,331","1,303",629,583,906,"1,012",658,845,"1,637",559,"1,511",849,643,401,243,"2,647"
2020,4,10,"20,304","1,263","1,479","1,011",901,"1,273","1,395",848,"1,253","1,160",905,"1,880","1,148","1,000",679,311,"3,798"
2020,4,20,"32,098","2,411","2,684","2,188","1,938","2,140","2,252","2,077","1,541","1,359","1,881","3,211","2,061","1,557","1,067",623,"3,108"
2020,4,30,"34,204","3,158","2,750","2,145","1,686","2,063","2,184","2,134","1,840","2,394","1,814","3,427","2,139","1,566","1,077",631,"3,196"
2020,4,40,"38,263","2,935","3,048","2,141","1,784","2,330","2,647","2,080","2,156","2,568","1,925","3,875","2,163","1,685","1,167",590,"5,169"
2020,4,50,"37,058","2,899","3,179","2,339","1,927","2,286","2,907","2,030","1,855","1,670","2,182","3,621","2,148","1,733","1,320",799,"4,163"
2020,4,60,"28,698","2,250","2,473","1,965","1,578","1,661","2,319","1,546","1,307","1,240","1,733","2,747","1,732","1,496","1,137",688,"2,826"
2020,4,70,"17,030","1,390","1,507","1,232",951,981,"1,377","1,012",846,700,"1,106","1,672",990,753,659,333,"1,521"
2020,4,80,"5,992",492,599,410,283,377,476,393,281,236,417,555,325,263,215,121,549
2020,4,90,577,43,58,35,35,30,44,30,38,28,35,38,24,32,16,12,79
2020,4,100,76,5,11,4,1,7,8,7,0,7,5,4,1,4,3,2,7
