년도,월,나이,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020,3,총,"19,400","5,858","3,345","1,243",654,752,288,502,927,"3,460","1,504",867
2020,3,0,894,441,119,24,8,17,5,16,18,189,45,12
2020,3,10,"1,037",466,133,29,22,18,10,16,35,215,65,28
2020,3,20,"1,097",436,194,55,25,29,6,22,46,221,41,22
2020,3,30,"1,266",596,191,48,21,23,6,20,32,236,64,29
2020,3,40,"1,790",756,334,71,39,35,8,36,71,340,65,35
2020,3,50,"3,013",885,581,185,91,127,37,60,152,560,219,116
2020,3,60,"3,778",943,722,271,130,176,76,99,218,637,314,192
2020,3,70,"3,614",762,657,297,163,180,85,120,217,558,348,227
2020,3,80,"2,512",490,355,221,132,129,48,100,128,430,304,175
2020,3,90,380,77,59,41,21,16,7,12,10,74,37,26
2020,3,100,19,6,0,1,2,2,0,1,0,0,2,5
2020,4,총,"19,347","5,851","3,344","1,233",643,749,288,500,918,"3,454","1,499",868
2020,4,0,887,439,118,24,7,16,5,16,15,190,45,12
2020,4,10,"1,035",465,132,29,21,17,10,17,34,217,64,29
2020,4,20,"1,076",428,196,50,25,29,6,21,45,212,42,22
2020,4,30,"1,253",586,191,47,20,23,6,20,31,238,64,27
2020,4,40,"1,771",760,329,69,36,36,8,35,69,330,63,36
2020,4,50,"3,006",888,576,185,86,125,35,60,153,562,218,118
2020,4,60,"3,778",946,726,267,132,176,77,96,218,636,313,191
2020,4,70,"3,617",765,658,294,163,180,85,121,217,562,345,227
2020,4,80,"2,521",491,360,225,128,130,49,101,126,430,306,175
2020,4,90,385,77,58,42,23,16,7,12,10,77,37,26
2020,4,100,18,6,0,1,2,1,0,1,0,0,2,5
2020,5,총,"19,306","5,837","3,327","1,225",641,750,288,498,924,"3,462","1,485",869
2020,5,0,888,440,118,24,7,16,5,16,15,191,44,12
2020,5,10,"1,028",463,130,28,21,17,10,16,33,222,61,27
2020,5,20,"1,063",422,194,50,25,28,6,20,45,207,43,23
2020,5,30,"1,245",575,189,48,20,25,5,20,34,239,63,27
2020,5,40,"1,761",766,321,67,36,36,8,34,69,327,60,37
2020,5,50,"2,998",883,573,181,86,124,37,62,155,564,213,120
2020,5,60,"3,778",951,726,267,132,176,76,96,218,633,314,189
2020,5,70,"3,610",763,657,293,163,179,84,118,218,569,339,227
2020,5,80,"2,522",486,361,225,126,132,50,103,127,431,305,176
2020,5,90,395,82,58,41,23,16,7,12,10,79,41,26
2020,5,100,18,6,0,1,2,1,0,1,0,0,2,5
2020,6,총,"19,298","5,833","3,325","1,229",641,753,285,494,927,"3,458","1,488",865
2020,6,0,889,443,115,24,6,16,5,15,16,193,44,12
2020,6,10,"1,028",465,130,27,22,17,9,16,34,220,61,27
2020,6,20,"1,060",421,192,48,25,29,6,20,44,209,43,23
2020,6,30,"1,238",569,190,48,20,28,5,19,36,236,62,25
2020,6,40,"1,752",770,316,68,35,35,7,33,69,326,59,34
2020,6,50,"2,981",873,575,180,87,124,36,62,152,559,213,120
2020,6,60,"3,792",959,721,267,133,177,75,97,219,636,316,192
2020,6,70,"3,611",758,666,298,164,180,85,116,218,563,338,225
2020,6,80,"2,532",484,362,227,126,131,49,103,129,435,310,176
2020,6,90,396,85,58,41,21,15,8,12,10,80,40,26
2020,6,100,19,6,0,1,2,1,0,1,0,1,2,5
2020,7,총,"19,279","5,822","3,317","1,230",643,753,286,495,928,"3,457","1,487",861
2020,7,0,889,442,113,24,7,16,6,15,15,195,44,12
2020,7,10,"1,024",466,129,25,22,17,9,14,36,219,60,27
2020,7,20,"1,054",420,189,50,24,29,6,21,42,206,45,22
2020,7,30,"1,226",558,186,48,21,27,5,19,38,237,61,26
2020,7,40,"1,757",773,316,69,36,36,7,34,68,325,60,33
2020,7,50,"2,967",877,564,180,85,124,35,60,154,559,209,120
2020,7,60,"3,803",954,730,267,136,176,76,102,217,636,318,191
2020,7,70,"3,605",751,669,301,162,180,86,114,218,563,339,222
2020,7,80,"2,536",487,362,225,127,132,48,103,130,436,308,178
2020,7,90,398,88,58,40,21,15,8,12,10,80,41,25
2020,7,100,20,6,1,1,2,1,0,1,0,1,2,5
2020,8,총,"19,257","5,812","3,322","1,228",636,753,284,494,924,"3,461","1,484",859
2020,8,0,879,437,114,24,7,16,5,14,15,193,41,13
2020,8,10,"1,024",467,128,26,22,17,9,16,34,216,64,25
2020,8,20,"1,056",415,194,50,23,29,6,21,43,205,47,23
2020,8,30,"1,222",558,185,47,21,27,4,19,37,238,60,26
2020,8,40,"1,744",772,310,68,33,36,7,34,68,324,60,32
2020,8,50,"2,953",873,565,179,83,124,34,60,150,560,204,121
2020,8,60,"3,813",956,732,267,133,177,77,102,218,642,318,191
2020,8,70,"3,590",751,669,296,160,180,85,113,219,558,337,222
2020,8,80,"2,550",490,365,230,129,131,49,102,130,442,308,174
2020,8,90,406,87,59,40,23,15,8,12,10,82,43,27
2020,8,100,20,6,1,1,2,1,0,1,0,1,2,5
2020,9,총,"19,257","5,807","3,325","1,233",631,752,284,496,922,"3,461","1,484",862
2020,9,0,876,432,114,25,7,16,4,14,14,196,41,13
2020,9,10,"1,029",474,128,27,21,16,9,15,33,217,64,25
2020,9,20,"1,041",400,194,50,23,29,6,22,43,205,47,22
2020,9,30,"1,211",553,183,50,21,27,4,19,35,238,58,23
2020,9,40,"1,759",783,309,67,34,35,7,33,70,326,61,34
2020,9,50,"2,931",870,558,176,81,123,33,60,149,556,202,123
2020,9,60,"3,831",961,736,266,131,178,79,104,218,644,321,193
2020,9,70,"3,588",750,674,297,160,180,84,114,220,556,333,220
2020,9,80,"2,545",485,367,231,128,130,50,102,129,435,312,176
2020,9,90,425,93,61,43,23,17,8,12,11,86,43,28
2020,9,100,21,6,1,1,2,1,0,1,0,2,2,5
2020,10,총,"19,194","5,782","3,315","1,227",629,750,283,493,923,"3,449","1,484",859
2020,10,0,851,423,110,22,8,14,5,13,15,191,37,13
2020,10,10,"1,031",473,129,27,21,16,9,14,33,218,66,25
2020,10,20,"1,039",402,192,49,23,29,6,22,41,207,46,22
2020,10,30,"1,194",543,183,50,20,24,4,19,35,235,58,23
2020,10,40,"1,742",777,299,66,36,38,7,32,70,320,63,34
2020,10,50,"2,928",871,563,174,78,120,32,58,149,557,205,121
2020,10,60,"3,827",958,734,269,131,178,78,105,220,643,318,193
2020,10,70,"3,578",748,674,296,157,180,84,112,219,556,333,219
2020,10,80,"2,554",486,370,231,129,132,50,105,130,436,310,175
2020,10,90,428,94,60,42,24,18,8,12,11,84,46,29
