년도,월,나이,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020,1,총,"184,176","7,596","5,146","10,892","10,574","10,744","7,124","9,538","11,366","11,733","9,372","12,826","5,365","6,236","10,243","8,672","8,951","6,005","15,584","5,955","10,254"
2020,1,0,"10,887",323,296,811,451,643,306,489,527,"1,005",622,690,405,388,505,528,632,369,982,276,639
2020,1,10,"12,673",290,262,959,681,816,336,542,642,893,958,"1,056",370,536,640,657,518,464,"1,346",227,480
2020,1,20,"25,839","1,582","1,060",957,"1,048","1,409","1,733","2,130","1,775","1,181","1,001","1,403",621,618,"1,486","1,000","1,804",790,"1,839","1,176","1,226"
2020,1,30,"23,488","1,068",858,"1,193",964,"1,275","1,202","1,549","1,660","1,602",942,"1,223",814,752,"1,118",975,"1,419",597,"1,801","1,003","1,473"
2020,1,40,"25,739",826,721,"1,770","1,410","1,571",917,"1,218","1,549","1,822","1,576","1,922",763,942,"1,334","1,190","1,199",826,"2,241",709,"1,233"
2020,1,50,"30,806","1,188",845,"1,770","1,840","1,924",869,"1,169","1,657","1,959","1,745","2,434",839,"1,197","1,850","1,548","1,339","1,047","3,059",872,"1,655"
2020,1,60,"28,244","1,185",627,"1,750","2,110","1,543",864,"1,138","1,783","1,664","1,367","2,110",830,936,"1,749","1,518","1,102",962,"2,377",841,"1,788"
2020,1,70,"17,449",745,293,"1,120","1,402",996,590,824,"1,191","1,096",779,"1,242",482,569,"1,092",860,636,638,"1,199",539,"1,156"
2020,1,80,"7,766",325,142,486,573,499,256,404,507,426,324,637,208,255,399,335,262,284,644,272,528
2020,1,90,"1,108",53,35,72,84,59,47,63,66,61,50,98,27,37,62,54,38,26,87,33,56
2020,1,100,177,11,7,4,11,9,4,12,9,24,8,11,6,6,8,7,2,2,9,7,20
2020,2,총,"183,996","7,615","5,138","10,894","10,549","10,710","7,119","9,548","11,361","11,665","9,336","12,800","5,374","6,223","10,218","8,644","8,972","6,000","15,537","6,044","10,249"
2020,2,0,"10,811",325,293,807,455,635,300,490,520,991,615,677,397,383,502,525,628,374,981,274,639
2020,2,10,"12,639",288,264,961,677,812,342,539,628,885,956,"1,057",366,532,647,657,530,463,"1,326",234,475
2020,2,20,"25,870","1,596","1,054",951,"1,026","1,411","1,722","2,137","1,792","1,170",980,"1,393",626,624,"1,492",993,"1,836",777,"1,830","1,239","1,221"
2020,2,30,"23,325","1,078",861,"1,190",948,"1,244","1,214","1,552","1,633","1,584",931,"1,202",816,731,"1,108",962,"1,404",592,"1,789","1,006","1,480"
2020,2,40,"25,714",824,713,"1,772","1,414","1,574",909,"1,218","1,553","1,812","1,564","1,928",766,942,"1,329","1,182","1,194",834,"2,230",724,"1,232"
2020,2,50,"30,705","1,188",842,"1,760","1,835","1,925",873,"1,173","1,657","1,956","1,751","2,423",842,"1,197","1,830","1,536","1,337","1,040","3,031",871,"1,638"
2020,2,60,"28,351","1,185",633,"1,763","2,117","1,546",867,"1,142","1,796","1,660","1,372","2,123",832,939,"1,744","1,529","1,104",966,"2,395",840,"1,798"
