년도,월,나이,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면,경상북도 군위군 삼국유사면
2020,3,총,"11,545","3,998","1,125","1,860",996,"1,055","1,263",597,651,
2020,3,0,335,207,18,43,13,13,30,5,6,
2020,3,10,458,265,23,74,20,26,30,12,8,
2020,3,20,653,300,51,106,54,53,47,14,28,
2020,3,30,629,321,49,98,36,38,50,19,18,
2020,3,40,913,496,50,118,63,60,63,28,35,
2020,3,50,"1,949",686,187,330,181,173,195,84,113,
2020,3,60,"2,464",692,249,432,240,240,303,144,164,
2020,3,70,"2,195",567,249,360,209,227,280,153,150,
2020,3,80,"1,695",396,213,272,153,202,232,121,106,
2020,3,90,241,62,34,26,27,20,32,17,23,
2020,3,100,13,6,2,1,0,3,1,0,0,
2020,4,총,"11,516","3,997","1,123","1,857",997,"1,039","1,262",594,647,
2020,4,0,333,202,18,44,15,12,31,5,6,
2020,4,10,458,267,23,74,19,25,30,12,8,
2020,4,20,624,289,46,103,51,51,46,11,27,
2020,4,30,624,322,48,94,37,37,50,18,18,
2020,4,40,917,504,50,119,64,56,64,26,34,
2020,4,50,"1,933",686,191,329,176,168,189,82,112,
2020,4,60,"2,479",696,248,431,246,239,304,150,165,
2020,4,70,"2,194",565,247,364,206,227,284,151,150,
2020,4,80,"1,694",398,215,271,155,201,229,122,103,
2020,4,90,247,62,35,27,28,20,34,17,24,
2020,4,100,13,6,2,1,0,3,1,0,0,
2020,5,총,"11,494","3,992","1,122","1,856",995,"1,031","1,256",598,644,
2020,5,0,333,200,19,43,15,12,32,6,6,
2020,5,10,453,263,23,76,19,24,28,12,8,
2020,5,20,624,293,47,101,50,50,46,10,27,
2020,5,30,621,322,48,95,36,36,48,18,18,
2020,5,40,908,500,50,118,65,51,63,27,34,
2020,5,50,"1,919",679,191,325,179,167,186,81,111,
2020,5,60,"2,480",699,246,430,244,242,306,152,161,
2020,5,70,"2,187",568,244,363,205,223,283,147,154,
2020,5,80,"1,704",400,217,276,153,202,228,127,101,
2020,5,90,252,62,35,28,29,21,35,18,24,
2020,5,100,13,6,2,1,0,3,1,0,0,
2020,6,총,"11,480","3,982","1,130","1,852","1,002","1,022","1,253",596,643,
2020,6,0,333,201,20,41,15,11,33,6,6,
2020,6,10,447,258,23,74,20,24,28,12,8,
2020,6,20,621,296,46,103,52,47,45,8,24,
2020,6,30,607,311,48,93,37,34,48,17,19,
2020,6,40,913,505,53,117,65,50,64,26,33,
2020,6,50,"1,907",675,192,321,176,165,183,83,112,
2020,6,60,"2,495",701,248,434,250,243,306,152,161,
2020,6,70,"2,187",566,244,366,202,222,285,147,155,
2020,6,80,"1,702",400,219,272,156,202,225,127,101,
2020,6,90,253,63,35,30,29,21,33,18,24,
2020,6,100,15,6,2,1,0,3,3,0,0,
2020,7,총,"11,476","3,983","1,131","1,850","1,006","1,018","1,252",595,641,
