년도,월,나이,연천군,연천읍,전곡읍,군남면,청산면,백학면,미산면,왕징면,신서면,중면,장남면
2020,1,총,"22,948","4,350","9,764","1,768","2,116","1,428",938,552,"1,550",118,364
2020,1,0,"1,493",387,844,55,73,44,25,16,31,4,14
2020,1,10,"1,776",265,"1,028",109,122,93,42,31,62,4,20
2020,1,20,"3,475",872,"1,374",230,317,157,100,56,294,40,35
2020,1,30,"2,404",595,"1,161",123,183,119,57,32,103,7,24
2020,1,40,"2,787",482,"1,372",184,247,144,88,59,160,8,43
2020,1,50,"3,965",632,"1,669",343,397,292,191,97,255,19,70
2020,1,60,"3,671",539,"1,296",372,417,276,250,117,311,20,73
2020,1,70,"2,267",371,692,226,243,209,118,104,234,11,59
2020,1,80,992,186,278,117,103,88,60,37,92,5,26
2020,1,90,103,21,42,7,13,5,6,2,7,0,0
2020,1,100,15,0,8,2,1,1,1,1,1,0,0
2020,2,총,"22,882","4,331","9,731","1,761","2,109","1,433",946,550,"1,544",116,361
2020,2,0,"1,480",386,840,53,67,43,27,15,31,4,14
2020,2,10,"1,750",263,"1,012",106,120,92,41,31,61,4,20
2020,2,20,"3,446",855,"1,367",231,316,155,102,56,290,39,35
2020,2,30,"2,402",599,"1,158",123,179,118,60,33,102,7,23
2020,2,40,"2,784",478,"1,372",184,252,144,89,57,159,8,41
2020,2,50,"3,947",629,"1,663",342,394,294,186,95,256,18,70
2020,2,60,"3,686",535,"1,302",373,421,280,257,115,310,20,73
2020,2,70,"2,276",376,696,224,243,211,119,106,233,11,57
2020,2,80,990,189,272,116,101,89,58,39,93,5,28
2020,2,90,106,21,41,7,15,6,6,2,8,0,0
2020,2,100,15,0,8,2,1,1,1,1,1,0,0
2020,3,총,"22,858","4,303","9,777","1,734","2,099","1,436",945,548,"1,539",113,364
2020,3,0,"1,474",375,847,49,66,43,27,15,32,4,16
2020,3,10,"1,741",269,"1,004",103,117,92,41,31,61,4,19
2020,3,20,"3,436",850,"1,376",226,317,157,101,54,285,36,34
2020,3,30,"2,430",600,"1,181",123,177,118,62,35,102,7,25
2020,3,40,"2,761",474,"1,371",178,246,142,88,55,158,8,41
2020,3,50,"3,923",615,"1,666",336,393,299,185,95,248,18,68
2020,3,60,"3,703",534,"1,314",369,421,280,256,114,319,20,76
2020,3,70,"2,278",376,699,226,243,205,119,107,235,11,57
2020,3,80,986,187,270,114,103,93,57,39,90,5,28
2020,3,90,111,23,41,8,15,6,8,2,8,0,0
2020,3,100,15,0,8,2,1,1,1,1,1,0,0
