년도,월,나이,대덕구,오정동,대화동,회덕동,비래동,송촌동,중리동,신탄진동,석봉동,덕암동,목상동,법1동,법2동
2020,6,90,529,67,39,48,35,54,47,54,28,44,18,37,58
2020,6,100,26,3,2,2,4,2,1,6,1,2,1,1,1
2020,7,총,"85,727","7,067","3,482","6,530","8,455","14,334","9,662","5,487","7,063","6,576","3,135","5,232","8,704"
2020,7,0,"5,561",346,150,385,519,"1,081",536,281,887,392,255,235,494
2020,7,10,"8,163",476,245,515,837,"1,978",791,446,628,647,319,432,849
2020,7,20,"10,786","1,072",346,697,"1,045","1,923","1,361",661,779,847,442,572,"1,041"
2020,7,30,"8,909",693,394,606,799,"1,426",978,495,"1,181",702,420,438,777
2020,7,40,"13,571",896,492,885,"1,350","2,924","1,514",769,"1,121","1,022",549,694,"1,355"
2020,7,50,"16,381","1,365",643,"1,254","1,629","2,709","1,864","1,050","1,177","1,258",553,"1,033","1,846"
2020,7,60,"11,875","1,213",614,"1,120","1,266","1,237","1,477",899,728,860,326,865,"1,270"
2020,7,70,"6,593",660,384,647,665,643,777,544,334,530,165,591,653
2020,7,80,"3,330",274,172,371,303,356,316,285,198,272,87,334,362
2020,7,90,531,69,39,47,38,55,47,51,29,44,18,38,56
2020,7,100,27,3,3,3,4,2,1,6,1,2,1,0,1
2020,8,총,"85,641","7,057","3,486","6,485","8,491","14,321","9,657","5,482","7,075","6,578","3,128","5,203","8,678"
2020,8,0,"5,553",342,155,384,526,"1,076",531,285,881,390,255,232,496
2020,8,10,"8,101",470,242,507,837,"1,967",783,436,625,645,320,432,837
2020,8,20,"10,787","1,069",343,696,"1,048","1,916","1,366",670,794,848,438,558,"1,041"
2020,8,30,"8,873",694,404,594,799,"1,415",979,493,"1,175",695,422,433,770
2020,8,40,"13,495",883,492,872,"1,346","2,912","1,513",759,"1,128","1,021",543,686,"1,340"
2020,8,50,"16,369","1,367",639,"1,242","1,639","2,716","1,853","1,042","1,179","1,256",557,"1,036","1,843"
2020,8,60,"11,975","1,223",616,"1,124","1,279","1,253","1,485",915,735,872,326,869,"1,278"
2020,8,70,"6,582",663,383,645,668,641,777,546,330,529,163,585,652
2020,8,80,"3,341",273,169,370,307,366,320,280,198,277,85,336,360
2020,8,90,538,70,40,48,38,57,49,50,29,43,18,36,60
2020,8,100,27,3,3,3,4,2,1,6,1,2,1,0,1
2020,9,총,"85,968","7,036","3,474","6,432","8,471","14,280","9,613","5,438","7,696","6,488","3,066","5,345","8,629"
2020,9,0,"5,598",341,156,374,520,"1,058",520,279,970,374,251,267,488
2020,9,10,"8,070",457,242,499,838,"1,949",771,432,679,630,307,435,831
2020,9,20,"10,798","1,057",342,686,"1,045","1,910","1,353",660,882,836,426,582,"1,019"
2020,9,30,"8,957",704,400,588,780,"1,410",974,483,"1,312",677,406,459,764
2020,9,40,"13,483",875,491,870,"1,346","2,893","1,497",752,"1,220",988,521,699,"1,331"
2020,9,50,"16,440","1,357",629,"1,219","1,636","2,725","1,861","1,034","1,293","1,247",554,"1,055","1,830"
2020,9,60,"12,092","1,238",623,"1,132","1,290","1,268","1,480",913,766,882,334,878,"1,288"
2020,9,70,"6,595",664,380,644,668,638,776,549,337,530,160,593,656
2020,9,80,"3,368",274,168,369,306,368,328,280,207,278,87,340,363
2020,9,90,539,66,40,48,38,59,52,49,29,44,19,37,58
2020,9,100,28,3,3,3,4,2,1,7,1,2,1,0,1
2020,10,총,"86,436","7,000","3,447","6,368","8,416","14,183","9,478","5,402","7,885","6,428","3,058","6,252","8,519"
2020,10,0,"5,630",338,157,361,505,"1,046",504,273,985,369,251,347,494
2020,10,10,"8,058",452,235,500,828,"1,932",753,433,689,617,303,495,821
2020,10,20,"10,858","1,050",334,681,"1,042","1,912","1,336",651,899,831,421,712,989
2020,10,30,"9,083",696,403,577,767,"1,381",966,478,"1,358",675,407,611,764
2020,10,40,"13,455",866,478,855,"1,340","2,862","1,461",745,"1,247",964,514,830,"1,293"
2020,10,50,"16,549","1,341",629,"1,197","1,635","2,718","1,833","1,026","1,329","1,239",551,"1,266","1,785"
2020,10,60,"12,235","1,246",622,"1,134","1,292","1,267","1,472",911,794,884,338,984,"1,291"
2020,10,70,"6,603",663,377,647,660,637,772,546,339,525,164,617,656
2020,10,80,"3,396",279,168,365,304,368,329,284,213,279,88,353,366
2020,10,90,541,66,41,48,39,58,51,48,31,43,20,36,60
2020,10,100,28,3,3,3,4,2,1,7,1,2,1,1,0
2020,11,총,"86,616","6,967","3,410","6,331","8,376","14,149","9,410","5,402","7,944","6,413","3,057","6,659","8,498"
2020,11,0,"5,618",329,154,359,498,"1,035",500,271,984,361,248,391,488
2020,11,10,"8,034",449,232,494,820,"1,924",744,435,690,618,301,521,806
2020,11,20,"10,917","1,052",327,675,"1,038","1,924","1,326",654,913,825,424,765,994
2020,11,30,"9,115",682,400,577,753,"1,380",956,473,"1,371",672,402,693,756
2020,11,40,"13,402",858,462,845,"1,339","2,824","1,436",738,"1,252",963,511,887,"1,287"
2020,11,50,"16,605","1,333",628,"1,185","1,622","2,729","1,828","1,033","1,348","1,223",556,"1,340","1,780"
2020,11,60,"12,328","1,250",623,"1,134","1,291","1,270","1,480",917,797,893,339,"1,033","1,301"
2020,11,70,"6,621",668,371,642,663,635,764,543,341,530,168,637,659
2020,11,80,"3,394",276,166,368,307,367,324,283,215,281,88,356,363
2020,11,90,553,67,44,49,41,58,51,48,32,45,19,35,64
2020,11,100,29,3,3,3,4,3,1,7,1,2,1,1,0
2020,12,총,"86,686","6,937","3,391","6,304","8,354","14,088","9,421","5,407","8,008","6,413","3,059","6,846","8,458"
2020,12,0,"5,614",329,149,356,492,"1,023",498,268,993,358,243,426,479
2020,12,10,"7,986",436,233,487,811,"1,925",742,425,697,611,306,526,787
2020,12,20,"10,952","1,055",330,674,"1,039","1,905","1,316",655,908,845,429,802,994
2020,12,30,"9,145",681,396,580,744,"1,361",959,478,"1,403",667,393,732,751
2020,12,40,"13,378",853,464,845,"1,332","2,805","1,436",729,"1,265",957,515,906,"1,271"
2020,12,50,"16,565","1,321",623,"1,165","1,617","2,723","1,832","1,041","1,347","1,219",546,"1,369","1,762"
2020,12,60,"12,426","1,247",618,"1,133","1,301","1,290","1,487",927,804,899,351,"1,050","1,319"
2020,12,70,"6,635",666,369,641,664,633,763,546,342,535,168,643,665
2020,12,80,"3,409",280,162,373,309,363,336,284,213,278,88,358,365
2020,12,90,547,66,45,47,40,57,51,47,35,42,19,33,65
2020,12,100,29,3,2,3,5,3,1,7,1,2,1,1,0
2021,1,총,"86,636","6,885","3,380","6,271","8,313","14,070","9,437","5,389","8,041","6,444","3,057","6,921","8,428"
2021,1,0,"5,568",313,144,348,477,"1,016",497,264,991,361,241,437,479
2021,1,10,"7,933",437,230,483,800,"1,918",735,419,706,607,303,525,770
2021,1,20,"10,959","1,034",333,668,"1,042","1,886","1,335",659,898,871,429,816,988
2021,1,30,"9,132",663,397,570,735,"1,352",961,482,"1,420",664,396,751,741
2021,1,40,"13,319",849,459,843,"1,329","2,794","1,428",716,"1,265",959,513,904,"1,260"
2021,1,50,"16,544","1,315",623,"1,150","1,607","2,744","1,827","1,037","1,346","1,211",539,"1,382","1,763"
2021,1,60,"12,526","1,258",619,"1,149","1,304","1,294","1,495",926,819,909,360,"1,064","1,329"
2021,1,70,"6,627",666,368,636,664,636,770,543,339,533,165,646,661
2021,1,80,"3,443",281,160,375,310,369,336,287,221,283,90,360,371
2021,1,90,554,66,45,46,40,57,52,48,35,44,20,35,66
2021,1,100,31,3,2,3,5,4,1,8,1,2,1,1,0
2021,2,총,"86,505","6,847","3,368","6,246","8,297","14,031","9,434","5,393","8,039","6,441","3,038","6,966","8,405"
2021,2,0,"5,515",303,146,342,472,"1,006",497,262,990,361,234,434,468
2021,2,10,"7,889",443,218,480,795,"1,902",726,417,712,600,300,530,766
2021,2,20,"10,887","1,017",332,662,"1,037","1,866","1,332",662,889,868,427,814,981
2021,2,30,"9,094",662,395,570,723,"1,347",959,474,"1,407",677,390,758,732
2021,2,40,"13,264",844,455,839,"1,317","2,763","1,434",711,"1,269",953,515,907,"1,257"
2021,2,50,"16,511","1,304",626,"1,133","1,612","2,762","1,810","1,041","1,335","1,198",537,"1,391","1,762"
2021,2,60,"12,647","1,257",620,"1,153","1,316","1,311","1,516",937,835,923,360,"1,081","1,338"
2021,2,70,"6,631",668,368,637,665,644,763,541,342,533,164,646,660
2021,2,80,"3,474",279,162,381,313,370,344,291,222,283,91,367,371
2021,2,90,560,67,43,46,42,56,52,49,37,42,19,37,70
2021,2,100,33,3,3,3,5,4,1,8,1,3,1,1,0
2021,3,총,"86,229","6,834","3,365","6,182","8,256","13,985","9,387","5,390","8,045","6,476","3,028","6,941","8,340"
2021,3,0,"5,471",300,143,336,474,"1,001",493,262,980,361,228,430,463
2021,3,10,"7,821",447,217,474,777,"1,873",712,413,720,601,303,528,756
2021,3,20,"10,859","1,015",337,650,"1,032","1,868","1,334",661,897,879,430,790,966
2021,3,30,"9,024",660,398,563,708,"1,330",952,474,"1,406",678,375,755,725
2021,3,40,"13,146",830,450,832,"1,306","2,740","1,414",705,"1,264",953,519,896,"1,237"
2021,3,50,"16,452","1,290",625,"1,103","1,618","2,769","1,796","1,041","1,329","1,204",534,"1,388","1,755"
2021,3,60,"12,801","1,276",621,"1,171","1,324","1,337","1,536",948,850,932,361,"1,100","1,345"
2021,3,70,"6,579",665,366,622,660,640,758,535,343,538,166,636,650
2021,3,80,"3,486",281,165,381,310,367,341,295,218,285,92,377,374
2021,3,90,567,67,42,48,46,57,50,49,37,43,19,40,69
2021,3,100,23,3,1,2,1,3,1,7,1,2,1,1,0
2021,4,총,"86,155","6,833","3,347","6,170","8,246","13,942","9,385","5,382","8,038","6,503","3,027","6,972","8,310"
2021,4,0,"5,428",299,142,334,467,995,482,261,965,363,228,433,459
2021,4,10,"7,776",442,212,471,774,"1,860",719,410,726,598,297,526,741
2021,4,20,"10,845","1,018",339,647,"1,033","1,856","1,329",656,898,879,429,797,964
2021,4,30,"9,022",663,397,558,711,"1,322",954,470,"1,406",689,372,762,718
2021,4,40,"13,085",828,442,826,"1,284","2,721","1,409",706,"1,258",959,521,892,"1,239"
2021,4,50,"16,409","1,275",617,"1,110","1,616","2,768","1,792","1,034","1,324","1,204",539,"1,395","1,735"
2021,4,60,"12,908","1,289",624,"1,171","1,334","1,358","1,546",954,860,939,364,"1,110","1,359"
2021,4,70,"6,582",667,366,624,668,630,751,537,345,544,163,636,651
2021,4,80,"3,505",283,166,377,311,373,348,299,217,283,95,379,374
2021,4,90,569,65,40,49,47,56,54,48,38,43,18,41,70
2021,4,100,26,4,2,3,1,3,1,7,1,2,1,1,0
2021,5,총,"86,085","6,813","3,354","6,172","8,226","13,896","9,414","5,394","8,018","6,514","3,012","6,986","8,286"
2021,5,0,"5,388",301,138,335,463,989,476,259,959,360,222,436,450
2021,5,10,"7,749",432,213,468,777,"1,852",724,412,726,592,299,516,738
2021,5,20,"10,848","1,018",343,654,"1,026","1,846","1,342",652,885,884,429,814,955
2021,5,30,"8,988",652,398,554,706,"1,318",950,472,"1,409",690,372,758,709
2021,5,40,"12,994",829,440,824,"1,273","2,701","1,389",700,"1,246",958,514,890,"1,230"
2021,5,50,"16,420","1,263",609,"1,108","1,617","2,765","1,806","1,041","1,333","1,206",533,"1,395","1,744"
2021,5,60,"12,977","1,295",634,"1,171","1,339","1,362","1,568",956,855,948,366,"1,124","1,359"
2021,5,70,"6,594",667,371,627,660,631,751,548,348,544,163,630,654
2021,5,80,"3,536",290,168,379,315,375,353,300,218,286,96,379,377
2021,5,90,565,62,38,49,49,54,54,47,38,44,17,43,70
2021,5,100,26,4,2,3,1,3,1,7,1,2,1,1,0
2021,6,총,"86,005","6,794","3,345","6,141","8,215","13,906","9,399","5,380","8,022","6,534","3,016","6,986","8,267"
2021,6,0,"5,358",298,137,333,454,991,468,258,950,361,224,433,451
2021,6,10,"7,724",424,211,461,778,"1,851",725,411,732,587,298,515,731
2021,6,20,"10,830","1,020",345,650,"1,023","1,848","1,334",646,888,896,427,808,945
2021,6,30,"8,940",654,388,544,703,"1,323",941,465,"1,403",690,370,759,700
2021,6,40,"12,968",819,439,824,"1,267","2,697","1,391",691,"1,250",958,516,890,"1,226"
2021,6,50,"16,364","1,256",605,"1,101","1,616","2,746","1,801","1,042","1,322","1,207",534,"1,402","1,732"
2021,6,60,"13,042","1,297",639,"1,164","1,352","1,374","1,572",957,865,953,372,"1,123","1,374"
2021,6,70,"6,623",670,373,628,660,634,756,550,356,548,162,628,658
2021,6,80,"3,561",290,166,384,312,383,357,306,216,288,95,384,380
2021,6,90,568,62,40,49,49,56,52,47,39,44,17,43,70
2021,6,100,27,4,2,3,1,3,2,7,1,2,1,1,0
2021,7,총,"85,929","6,775","3,331","6,141","8,221","13,919","9,397","5,370","7,995","6,550","3,003","6,970","8,257"
2021,7,0,"5,306",292,135,330,453,985,454,255,941,359,221,432,449
2021,7,10,"7,720",427,208,463,778,"1,842",735,408,734,589,299,508,729
2021,7,20,"10,799","1,013",349,644,"1,022","1,854","1,334",641,880,905,413,807,937
2021,7,30,"8,935",649,379,540,706,"1,324",944,468,"1,393",696,374,755,707
2021,7,40,"12,895",815,437,821,"1,255","2,684","1,381",685,"1,252",957,513,881,"1,214"
2021,7,50,"16,367","1,255",607,"1,106","1,616","2,762","1,803","1,037","1,313","1,207",537,"1,403","1,721"
2021,7,60,"13,097","1,296",641,"1,175","1,359","1,383","1,574",967,870,950,372,"1,127","1,383"
2021,7,70,"6,630",673,371,622,664,639,757,543,357,553,162,630,659
2021,7,80,"3,583",288,164,385,317,386,362,313,217,289,92,383,387
2021,7,90,570,63,38,53,50,57,51,45,37,43,19,43,71
