년도,월,나이,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020,1,총,"20,939","6,576","1,807",800,"1,888","1,229","1,697","1,262","1,647","1,390","2,643"
2020,1,0,893,484,39,21,76,46,51,29,43,28,76
2020,1,10,"1,705",849,102,64,116,97,105,56,104,63,149
2020,1,20,"1,997",890,157,62,116,128,122,101,125,109,187
2020,1,30,"1,387",587,93,42,119,83,87,69,95,69,143
2020,1,40,"2,614",974,203,80,226,151,205,134,193,131,317
2020,1,50,"4,010","1,128",381,179,366,270,328,246,311,269,532
2020,1,60,"3,858",868,352,150,403,247,337,260,319,327,595
2020,1,70,"2,943",562,307,120,307,151,308,224,290,245,429
2020,1,80,"1,393",216,152,77,144,52,134,134,146,137,201
2020,1,90,138,18,21,5,14,4,20,9,21,12,14
2020,1,100,1,0,0,0,1,0,0,0,0,0,0
2020,2,총,"20,911","6,525","1,822",793,"1,889","1,235","1,717","1,255","1,639","1,383","2,653"
2020,2,0,888,477,40,21,76,47,53,27,42,29,76
2020,2,10,"1,702",828,108,57,116,99,117,57,103,63,154
2020,2,20,"1,973",875,156,63,116,130,124,96,121,106,186
2020,2,30,"1,392",589,94,41,122,82,91,68,91,68,146
2020,2,40,"2,599",958,205,80,224,150,205,135,196,131,315
2020,2,50,"3,981","1,125",381,178,360,273,324,248,304,264,524
2020,2,60,"3,877",878,354,148,407,243,336,256,322,328,605
2020,2,70,"2,943",556,307,121,309,154,310,226,287,243,430
2020,2,80,"1,411",220,155,79,144,53,136,133,151,137,203
2020,2,90,144,19,22,5,14,4,21,9,22,14,14
2020,2,100,1,0,0,0,1,0,0,0,0,0,0
2020,3,총,"20,851","6,488","1,813",793,"1,897","1,231","1,702","1,258","1,632","1,377","2,660"
2020,3,0,893,475,38,23,78,46,54,28,44,29,78
2020,3,10,"1,671",805,110,55,114,100,112,57,102,60,156
2020,3,20,"1,964",876,153,62,117,127,119,94,121,105,190
2020,3,30,"1,381",587,94,41,117,82,89,69,89,67,146
2020,3,40,"2,581",953,201,80,227,148,199,135,194,133,311
2020,3,50,"3,960","1,119",374,178,367,273,321,248,301,262,517
2020,3,60,"3,898",880,354,148,406,244,339,261,322,328,616
2020,3,70,"2,933",549,309,121,310,153,308,223,286,242,432
2020,3,80,"1,423",226,157,80,145,54,140,134,151,136,200
2020,3,90,146,18,23,5,15,4,21,9,22,15,14
2020,3,100,1,0,0,0,1,0,0,0,0,0,0
2020,4,총,"20,795","6,470","1,808",795,"1,892","1,227","1,691","1,267","1,621","1,372","2,652"
2020,4,0,884,471,38,23,76,45,52,29,43,29,78
2020,4,10,"1,643",791,112,54,108,98,106,58,100,61,155
2020,4,20,"1,967",881,149,62,121,127,118,93,117,106,193
2020,4,30,"1,360",586,93,42,115,81,88,67,87,63,138
2020,4,40,"2,559",944,200,80,223,148,197,140,192,129,306
2020,4,50,"3,953","1,119",372,178,371,272,320,247,297,258,519
2020,4,60,"3,908",887,357,149,408,241,336,263,322,332,613
2020,4,70,"2,938",543,307,123,309,156,310,227,288,242,433
2020,4,80,"1,434",230,159,78,145,54,144,134,152,137,201
2020,4,90,148,18,21,6,15,5,20,9,23,15,16
2020,4,100,1,0,0,0,1,0,0,0,0,0,0
2020,5,총,"20,747","6,449","1,797",791,"1,888","1,224","1,689","1,266","1,615","1,378","2,650"
2020,5,0,875,464,37,22,77,44,52,29,42,29,79
2020,5,10,"1,614",774,112,54,105,96,105,58,98,60,152
2020,5,20,"1,970",887,143,62,121,130,119,91,117,108,192
2020,5,30,"1,338",576,94,40,115,80,87,63,85,62,136
2020,5,40,"2,542",942,196,79,220,147,195,140,189,128,306
2020,5,50,"3,950","1,118",370,177,371,268,317,249,295,264,521
