년도,월,나이,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동,대전광역시 유성구 학하동,대전광역시 유성구 상대동
2020,3,총,"173,270","17,442","16,424","19,255","11,312","12,796","18,448","12,093","13,420","13,774","14,151","24,155",,
2020,3,0,"17,526","1,693",764,"1,801","1,170","1,272","2,461","1,458","1,263","1,318","1,566","2,760",,
2020,3,10,"18,663","1,645",760,"1,597","1,480","1,743","2,169","1,387","1,649","1,585","2,215","2,433",,
2020,3,20,"24,141","2,019","3,898","3,340","1,415","1,575","1,739","1,744","1,961","1,921","1,706","2,823",,
2020,3,30,"27,284","2,272","2,756","3,019","1,692","1,637","3,292","2,355","2,059","1,955","1,976","4,271",,
2020,3,40,"30,838","2,917","2,020","2,808","2,314","2,630","3,608","2,046","2,370","2,410","3,195","4,520",,
2020,3,50,"26,971","3,151","2,834","3,144","1,578","1,938","2,549","1,664","2,265","2,235","1,942","3,671",,
2020,3,60,"15,766","2,023","1,812","2,116",896,"1,012","1,599",832,"1,063","1,148",957,"2,308",,
2020,3,70,"7,063",999,958,863,460,589,639,309,382,689,337,838,,
2020,3,80,"4,183",607,507,479,257,335,327,259,335,438,214,425,,
2020,3,90,793,109,95,83,50,65,63,38,72,72,42,104,,
2020,3,100,42,7,20,5,0,0,2,1,1,3,1,2,,
2020,4,총,"173,515","17,425","16,511","19,270","11,288","12,763","18,612","12,157","13,382","13,774","14,167","24,166",,
2020,4,0,"17,509","1,682",766,"1,796","1,154","1,286","2,476","1,471","1,255","1,314","1,564","2,745",,
2020,4,10,"18,644","1,632",755,"1,585","1,486","1,724","2,180","1,390","1,650","1,568","2,207","2,467",,
2020,4,20,"24,184","2,019","3,931","3,365","1,403","1,562","1,770","1,748","1,936","1,923","1,725","2,802",,
2020,4,30,"27,375","2,262","2,779","3,035","1,689","1,632","3,326","2,373","2,076","1,950","1,975","4,278",,
2020,4,40,"30,806","2,916","2,019","2,789","2,308","2,625","3,623","2,051","2,343","2,414","3,191","4,527",,
2020,4,50,"27,031","3,153","2,830","3,146","1,584","1,933","2,580","1,667","2,270","2,243","1,959","3,666",,
2020,4,60,"15,849","2,038","1,846","2,117",881,"1,015","1,610",847,"1,067","1,156",960,"2,312",,
2020,4,70,"7,074",994,957,864,474,584,650,310,380,688,333,840,,
2020,4,80,"4,202",615,512,483,259,335,333,260,332,441,211,421,,
2020,4,90,799,107,97,85,50,67,62,39,72,74,41,105,,
2020,4,100,42,7,19,5,0,0,2,1,1,3,1,3,,
2020,5,총,"174,072","17,421","16,625","19,325","11,259","12,775","18,974","12,202","13,362","13,761","14,188","24,180",,
2020,5,0,"17,509","1,675",772,"1,782","1,146","1,289","2,526","1,477","1,249","1,304","1,552","2,737",,
2020,5,10,"18,590","1,619",754,"1,573","1,475","1,705","2,216","1,375","1,639","1,557","2,196","2,481",,
2020,5,20,"24,397","2,046","3,984","3,425","1,395","1,556","1,804","1,781","1,939","1,906","1,749","2,812",,
2020,5,30,"27,444","2,247","2,789","3,046","1,685","1,639","3,415","2,357","2,066","1,962","1,976","4,262",,
2020,5,40,"30,823","2,915","2,029","2,780","2,301","2,616","3,670","2,064","2,339","2,401","3,187","4,521",,
2020,5,50,"27,121","3,138","2,847","3,136","1,584","1,948","2,640","1,679","2,271","2,254","1,968","3,656",,
2020,5,60,"16,024","2,051","1,864","2,138",886,"1,027","1,642",857,"1,079","1,167",973,"2,340",,
2020,5,70,"7,110",996,967,872,472,589,663,311,381,690,336,833,,
