년도,월,나이,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020,1,총,"18,811","5,068","1,013",962,"1,133","1,592","1,100","2,485","1,690","1,386",996,"1,386"
2020,1,0,682,336,25,14,20,53,32,67,46,34,21,34
2020,1,10,"1,094",507,63,32,42,78,54,106,54,76,29,53
2020,1,20,"1,399",621,60,46,62,119,59,119,97,103,48,65
2020,1,30,"1,156",514,42,40,38,82,53,107,81,86,42,71
2020,1,40,"1,673",686,75,64,80,138,90,171,106,113,61,89
2020,1,50,"3,514",778,197,209,228,335,220,517,336,233,196,265
2020,1,60,"3,904",714,234,228,277,302,243,606,409,287,265,339
2020,1,70,"2,971",568,164,170,213,267,166,449,278,260,168,268
2020,1,80,"2,076",304,132,134,148,196,155,287,242,174,133,171
2020,1,90,322,37,20,24,22,20,28,53,39,20,30,29
2020,1,100,20,3,1,1,3,2,0,3,2,0,3,2
2020,2,총,"18,685","5,043","1,003",950,"1,128","1,573","1,088","2,474","1,685","1,368","1,001","1,372"
2020,2,0,673,334,26,15,20,51,30,67,44,32,21,33
2020,2,10,"1,076",499,63,30,42,78,54,102,56,71,29,52
2020,2,20,"1,341",605,54,43,57,115,57,114,90,96,47,63
2020,2,30,"1,144",516,41,40,40,81,46,106,85,83,42,64
2020,2,40,"1,669",685,74,66,79,132,91,171,106,113,62,90
2020,2,50,"3,479",770,194,201,224,332,221,513,329,233,200,262
2020,2,60,"3,909",719,234,229,276,302,239,609,412,287,264,338
2020,2,70,"2,963",566,165,167,213,266,168,448,278,258,169,265
2020,2,80,"2,080",309,132,134,150,193,152,285,243,176,132,174
2020,2,90,331,37,19,24,24,21,30,56,40,19,32,29
2020,2,100,20,3,1,1,3,2,0,3,2,0,3,2
2020,3,총,"18,531","4,990",988,937,"1,113","1,566","1,088","2,467","1,675","1,349","1,006","1,352"
2020,3,0,655,326,25,15,18,54,29,67,42,29,21,29
2020,3,10,"1,055",481,62,28,42,77,55,101,59,66,33,51
2020,3,20,"1,289",590,53,41,51,112,54,109,81,92,46,60
