년도,월,나이,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020,1,총,"17,086","4,757",275,"2,233","4,606","2,733","1,654",828
2020,1,0,"1,340",398,8,193,345,218,150,28
2020,1,10,"1,205",412,13,136,351,162,80,51
2020,1,20,"2,814",722,28,376,761,378,465,84
2020,1,30,"2,222",610,24,355,524,396,254,59
2020,1,40,"2,218",682,35,250,646,353,162,90
2020,1,50,"2,884",801,63,331,826,477,206,180
2020,1,60,"2,559",644,55,361,683,436,185,195
2020,1,70,"1,295",347,39,152,328,222,107,100
2020,1,80,478,123,9,70,121,80,42,33
2020,1,90,67,16,1,9,20,10,3,8
2020,1,100,4,2,0,0,1,1,0,0
2020,2,총,"17,011","4,767",274,"2,223","4,573","2,720","1,628",826
2020,2,0,"1,314",405,8,192,330,211,140,28
2020,2,10,"1,188",411,13,130,344,162,77,51
2020,2,20,"2,764",717,26,376,745,364,454,82
2020,2,30,"2,221",618,24,351,520,397,252,59
2020,2,40,"2,213",684,35,247,646,351,161,89
2020,2,50,"2,873",797,63,333,822,471,205,182
2020,2,60,"2,592",650,56,361,692,452,187,194
2020,2,70,"1,294",343,39,153,330,219,108,102
2020,2,80,481,126,9,69,123,82,41,31
2020,2,90,67,14,1,11,20,10,3,8
2020,2,100,4,2,0,0,1,1,0,0
2020,3,총,"17,013","4,834",274,"2,196","4,554","2,724","1,603",828
2020,3,0,"1,320",419,8,189,332,212,133,27
2020,3,10,"1,189",421,13,134,337,160,73,51
2020,3,20,"2,742",723,26,360,733,364,453,83
2020,3,30,"2,222",630,23,345,514,401,252,57
2020,3,40,"2,219",700,36,242,647,350,155,89
2020,3,50,"2,851",794,64,329,815,467,199,183
2020,3,60,"2,609",656,55,365,696,456,185,196
2020,3,70,"1,302",347,39,153,334,217,109,103
2020,3,80,487,128,9,68,125,86,40,31
2020,3,90,68,14,1,11,20,10,4,8
2020,3,100,4,2,0,0,1,1,0,0
2020,4,총,"17,027","4,871",273,"2,190","4,533","2,729","1,600",831
2020,4,0,"1,323",419,8,191,328,217,134,26
2020,4,10,"1,190",423,13,135,338,159,72,50
2020,4,20,"2,740",736,25,347,724,368,456,84
2020,4,30,"2,228",636,22,351,511,402,247,59
2020,4,40,"2,207",708,36,239,633,347,155,89
