년도,월,나이,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020,3,총,"199,543","12,694","9,817","4,669","17,718","11,206","13,047","12,854","10,102","10,494","12,749","18,394","9,946","15,138","8,661","20,742","11,312"
2020,3,0,"11,643",691,540,272,862,598,631,922,415,649,529,"1,285",571,757,413,"1,777",731
2020,3,10,"13,677",861,612,319,"1,089",631,777,994,428,710,618,"1,590",629,992,665,"1,870",892
2020,3,20,"28,104","1,725","1,274",588,"2,595","1,484","1,870","1,879","2,179","1,520","1,950","2,550","1,440","2,042","1,172","2,519","1,317"
2020,3,30,"28,375","1,624","1,372",654,"2,642","1,714","1,785","1,842","1,986","1,603","1,748","2,611","1,478","1,965","1,034","2,761","1,556"
2020,3,40,"28,534","1,850","1,462",666,"2,541","1,516","1,735","1,905","1,283","1,388","1,718","3,040","1,476","1,957","1,254","3,034","1,709"
2020,3,50,"35,616","2,448","1,667",858,"3,290","2,076","2,440","2,333","1,552","1,853","2,447","2,923","1,644","2,913","1,651","3,566","1,955"
2020,3,60,"28,745","1,852","1,515",705,"2,468","1,733","2,028","1,622","1,257","1,551","1,946","2,383","1,535","2,413","1,306","2,763","1,668"
2020,3,70,"16,648","1,107","1,001",433,"1,555",977,"1,227",889,684,820,"1,226","1,343",809,"1,368",767,"1,519",923
2020,3,80,"6,860",448,308,147,570,403,473,398,257,338,495,560,314,603,322,742,482
2020,3,90,"1,191",78,58,24,87,64,73,68,52,58,61,94,43,114,65,178,74
2020,3,100,150,10,8,3,19,10,8,2,9,4,11,15,7,14,12,13,5
2020,4,총,"199,288","12,659","9,745","4,655","17,738","11,182","13,009","12,861","10,105","10,507","12,736","18,395","9,933","15,092","8,658","20,728","11,285"
2020,4,0,"11,564",675,531,275,858,579,626,927,411,654,525,"1,273",568,749,417,"1,773",723
2020,4,10,"13,622",857,601,317,"1,080",640,770,988,428,707,614,"1,593",627,978,663,"1,864",895
2020,4,20,"28,043","1,722","1,247",577,"2,597","1,488","1,862","1,871","2,189","1,508","1,970","2,548","1,435","2,028","1,165","2,510","1,326"
2020,4,30,"28,256","1,611","1,362",658,"2,627","1,696","1,764","1,845","1,992","1,614","1,740","2,603","1,470","1,953","1,022","2,762","1,537"
2020,4,40,"28,429","1,839","1,446",662,"2,559","1,506","1,717","1,898","1,275","1,386","1,705","3,035","1,481","1,945","1,248","3,024","1,703"
2020,4,50,"35,573","2,457","1,661",853,"3,287","2,090","2,436","2,332","1,547","1,849","2,438","2,919","1,646","2,908","1,657","3,559","1,934"
2020,4,60,"28,852","1,846","1,513",703,"2,484","1,724","2,038","1,633","1,260","1,564","1,943","2,412","1,526","2,436","1,311","2,773","1,686"
2020,4,70,"16,701","1,114","1,006",438,"1,563",982,"1,229",892,687,823,"1,228","1,342",816,"1,368",769,"1,519",925
2020,4,80,"6,904",451,310,144,577,405,485,403,255,340,503,564,312,598,327,753,477
2020,4,90,"1,193",77,60,25,87,62,74,70,52,58,59,91,45,115,67,177,74
2020,4,100,151,10,8,3,19,10,8,2,9,4,11,15,7,14,12,14,5
2020,5,총,"199,289","12,684","9,705","4,687","17,703","11,197","13,039","12,842","10,112","10,476","12,739","18,372","9,946","15,098","8,662","20,745","11,282"
2020,5,0,"11,506",670,531,277,854,579,630,922,403,648,527,"1,258",568,746,412,"1,763",718
2020,5,10,"13,532",853,584,319,"1,073",635,770,984,417,706,605,"1,587",621,970,659,"1,860",889
2020,5,20,"28,101","1,740","1,235",580,"2,586","1,502","1,866","1,850","2,203","1,504","1,977","2,564","1,443","2,037","1,172","2,531","1,311"
2020,5,30,"28,232","1,620","1,361",659,"2,635","1,688","1,770","1,846","2,003","1,605","1,741","2,584","1,464","1,953","1,016","2,746","1,541"
2020,5,40,"28,353","1,827","1,421",669,"2,544","1,502","1,721","1,895","1,270","1,390","1,697","3,013","1,470","1,943","1,247","3,043","1,701"
2020,5,50,"35,555","2,452","1,668",859,"3,268","2,089","2,424","2,334","1,551","1,848","2,434","2,928","1,658","2,908","1,655","3,543","1,936"
2020,5,60,"28,937","1,853","1,505",709,"2,495","1,738","2,050","1,640","1,254","1,556","1,945","2,415","1,539","2,442","1,321","2,786","1,689"
2020,5,70,"16,787","1,124","1,018",441,"1,562",984,"1,240",902,692,820,"1,237","1,351",819,"1,371",768,"1,522",936
2020,5,80,"6,935",457,316,146,581,406,487,397,258,336,507,563,312,601,330,759,479
2020,5,90,"1,199",78,57,25,86,64,74,70,52,59,58,94,44,113,70,178,77
2020,5,100,152,10,9,3,19,10,7,2,9,4,11,15,8,14,12,14,5
2020,6,총,"199,065","12,665","9,633","4,701","17,640","11,211","13,092","12,829","10,102","10,463","12,692","18,350","9,943","15,137","8,623","20,726","11,258"
2020,6,0,"11,435",667,525,278,847,577,622,925,396,637,530,"1,244",564,743,409,"1,753",718
2020,6,10,"13,487",857,575,322,"1,068",636,767,972,416,707,599,"1,588",614,971,648,"1,857",890
2020,6,20,"28,100","1,741","1,226",579,"2,577","1,500","1,905","1,835","2,233","1,507","1,963","2,572","1,444","2,050","1,164","2,505","1,299"
2020,6,30,"28,189","1,599","1,335",665,"2,618","1,708","1,773","1,843","1,989","1,607","1,745","2,574","1,484","1,964","1,012","2,742","1,531"
2020,6,40,"28,236","1,819","1,400",658,"2,526","1,500","1,728","1,884","1,259","1,379","1,694","3,016","1,472","1,935","1,239","3,031","1,696"
2020,6,50,"35,378","2,438","1,660",870,"3,258","2,070","2,420","2,336","1,545","1,837","2,398","2,918","1,626","2,901","1,636","3,541","1,924"
2020,6,60,"29,092","1,864","1,518",711,"2,501","1,751","2,063","1,649","1,260","1,566","1,957","2,404","1,553","2,465","1,326","2,804","1,700"
2020,6,70,"16,838","1,135","1,016",441,"1,555",989,"1,241",912,685,825,"1,234","1,358",823,"1,378",776,"1,533",937
2020,6,80,"6,948",458,312,149,580,402,491,400,258,336,505,566,308,600,333,768,482
2020,6,90,"1,208",76,57,25,91,68,75,71,52,58,56,95,47,116,68,177,76
2020,6,100,154,11,9,3,19,10,7,2,9,4,11,15,8,14,12,15,5
2020,7,총,"199,066","12,629","9,636","5,105","17,535","11,211","13,063","12,783","10,110","10,440","12,659","18,336","9,916","15,105","8,595","20,703","11,240"
2020,7,0,"11,386",657,524,338,842,572,619,915,392,634,524,"1,223",561,736,405,"1,730",714
2020,7,10,"13,421",852,580,342,"1,068",623,763,971,410,692,588,"1,584",600,966,642,"1,860",880
2020,7,20,"28,101","1,731","1,235",621,"2,563","1,517","1,893","1,825","2,253","1,503","1,947","2,575","1,422","2,046","1,162","2,509","1,299"
2020,7,30,"28,189","1,589","1,322",770,"2,599","1,697","1,761","1,840","1,985","1,597","1,750","2,565","1,497","1,952","1,011","2,724","1,530"
2020,7,40,"28,178","1,811","1,386",728,"2,497","1,514","1,724","1,869","1,251","1,377","1,682","3,008","1,472","1,912","1,234","3,023","1,690"
2020,7,50,"35,363","2,428","1,665",920,"3,235","2,056","2,415","2,329","1,544","1,836","2,396","2,912","1,627","2,903","1,632","3,546","1,919"
2020,7,60,"29,185","1,876","1,524",743,"2,490","1,757","2,062","1,656","1,271","1,572","1,968","2,424","1,549","2,456","1,328","2,807","1,702"
2020,7,70,"16,897","1,132","1,017",458,"1,556",994,"1,248",905,689,827,"1,230","1,367",828,"1,394",769,"1,540",943
2020,7,80,"6,984",466,316,157,577,402,496,402,253,339,509,568,306,612,331,768,482
2020,7,90,"1,205",76,58,25,88,69,75,68,53,59,53,95,46,114,69,181,76
2020,7,100,157,11,9,3,20,10,7,3,9,4,12,15,8,14,12,15,5
2020,8,총,"199,857","12,572","9,557","6,455","17,423","11,151","12,989","12,717","10,133","10,402","12,648","18,339","9,891","15,117","8,603","20,640","11,220"
2020,8,0,"11,486",656,514,574,829,553,594,902,382,628,521,"1,218",553,727,409,"1,718",708
2020,8,10,"13,377",833,569,404,"1,047",620,747,964,400,690,583,"1,589",599,965,641,"1,852",874
2020,8,20,"28,197","1,723","1,225",770,"2,547","1,512","1,886","1,819","2,273","1,494","1,955","2,589","1,402","2,056","1,157","2,488","1,301"
2020,8,30,"28,364","1,589","1,297","1,119","2,562","1,682","1,737","1,824","1,996","1,596","1,735","2,542","1,498","1,949","1,006","2,712","1,520"
2020,8,40,"28,220","1,782","1,383",923,"2,483","1,502","1,713","1,848","1,254","1,361","1,673","2,999","1,469","1,909","1,230","3,010","1,681"
2020,8,50,"35,455","2,428","1,641","1,115","3,216","2,044","2,408","2,319","1,547","1,826","2,397","2,916","1,628","2,893","1,631","3,523","1,923"
2020,8,60,"29,415","1,883","1,517",844,"2,496","1,764","2,074","1,663","1,281","1,580","1,980","2,424","1,555","2,474","1,339","2,829","1,712"
2020,8,70,"16,938","1,127","1,024",493,"1,548",996,"1,256",905,685,828,"1,230","1,379",826,"1,399",774,"1,528",940
