년도,월,나이,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020,1,총,"31,986","9,965","4,819","7,182","2,848","5,142","2,030"
2020,1,0,"1,773",635,246,352,90,386,64
2020,1,10,"2,542",946,417,550,160,349,120
2020,1,20,"3,495","1,204",471,748,328,598,146
2020,1,30,"3,193","1,050",433,687,194,667,162
2020,1,40,"4,355","1,438",618,"1,075",317,660,247
2020,1,50,"6,131","1,862",943,"1,427",605,883,411
2020,1,60,"5,814","1,538",953,"1,259",665,932,467
2020,1,70,"3,206",867,500,751,348,458,282
2020,1,80,"1,324",380,213,297,131,189,114
2020,1,90,134,42,23,30,7,16,16
2020,1,100,19,3,2,6,3,4,1
2020,2,총,"31,976","9,973","4,817","7,169","2,830","5,158","2,029"
2020,2,0,"1,764",628,248,347,92,385,64
2020,2,10,"2,533",948,415,545,150,351,124
2020,2,20,"3,498","1,217",460,743,329,608,141
2020,2,30,"3,182","1,045",441,682,186,664,164
2020,2,40,"4,356","1,438",612,"1,075",318,664,249
2020,2,50,"6,110","1,859",939,"1,428",596,882,406
2020,2,60,"5,845","1,548",958,"1,261",668,941,469
2020,2,70,"3,192",857,501,755,349,452,278
2020,2,80,"1,348",388,218,301,132,191,118
2020,2,90,131,42,23,28,7,16,15
2020,2,100,17,3,2,4,3,4,1
2020,3,총,"31,990","9,964","4,836","7,181","2,827","5,156","2,026"
2020,3,0,"1,749",620,246,346,87,388,62
2020,3,10,"2,530",950,421,544,150,345,120
2020,3,20,"3,499","1,217",463,744,319,617,139
2020,3,30,"3,167","1,041",437,676,192,661,160
2020,3,40,"4,345","1,426",612,"1,078",317,663,249
2020,3,50,"6,083","1,857",934,"1,425",589,875,403
2020,3,60,"5,912","1,557",978,"1,271",679,945,482
2020,3,70,"3,196",860,501,762,350,449,274
2020,3,80,"1,360",391,219,302,134,193,121
2020,3,90,131,42,23,28,7,16,15
2020,3,100,18,3,2,5,3,4,1
2020,4,총,"32,067","9,958","4,856","7,194","2,858","5,170","2,031"
2020,4,0,"1,739",613,250,340,86,386,64
2020,4,10,"2,559",944,422,554,172,346,121
2020,4,20,"3,499","1,210",462,745,319,623,140
2020,4,30,"3,177","1,043",443,676,197,658,160
2020,4,40,"4,332","1,424",610,"1,071",314,665,248
2020,4,50,"6,088","1,857",939,"1,428",594,870,400
2020,4,60,"5,941","1,565",974,"1,281",679,955,487
2020,4,70,"3,209",864,510,757,350,455,273
2020,4,80,"1,374",393,222,308,137,192,122
2020,4,90,131,42,22,29,7,16,15
2020,4,100,18,3,2,5,3,4,1
2020,5,총,"32,175","9,976","4,888","7,210","2,885","5,185","2,031"
2020,5,0,"1,745",608,256,342,88,386,65
2020,5,10,"2,547",943,421,549,171,343,120
2020,5,20,"3,521","1,217",464,746,324,628,142
2020,5,30,"3,185","1,051",447,666,201,664,156
2020,5,40,"4,312","1,418",603,"1,069",316,657,249
2020,5,50,"6,098","1,862",943,"1,426",590,876,401
2020,5,60,"6,009","1,575",995,"1,302",690,960,487
2020,5,70,"3,233",867,511,771,353,457,274
2020,5,80,"1,374",390,222,306,141,194,121
2020,5,90,133,42,24,28,8,16,15
2020,5,100,18,3,2,5,3,4,1
2020,6,총,"32,242","9,966","4,911","7,213","2,907","5,196","2,049"
2020,6,0,"1,731",599,255,334,86,390,67
2020,6,10,"2,540",939,420,542,175,344,120
2020,6,20,"3,525","1,210",463,747,330,632,143
2020,6,30,"3,178","1,042",449,671,199,658,159
2020,6,40,"4,317","1,423",608,"1,064",316,655,251
2020,6,50,"6,103","1,863",944,"1,423",595,878,400
2020,6,60,"6,080","1,589","1,009","1,325",694,966,497
2020,6,70,"3,246",864,514,770,361,462,275
2020,6,80,"1,369",391,223,304,140,191,120
2020,6,90,135,43,24,28,8,16,16
2020,6,100,18,3,2,5,3,4,1
2020,7,총,"32,247","9,969","4,897","7,214","2,910","5,212","2,045"
2020,7,0,"1,728",603,253,335,84,385,68
2020,7,10,"2,519",939,408,539,174,343,116
2020,7,20,"3,557","1,209",476,753,335,640,144
2020,7,30,"3,169","1,040",452,659,204,656,158
2020,7,40,"4,298","1,421",595,"1,057",317,657,251
2020,7,50,"6,096","1,855",946,"1,429",585,881,400
2020,7,60,"6,105","1,605","1,008","1,325",702,970,495
2020,7,70,"3,239",858,509,771,358,466,277
2020,7,80,"1,379",391,224,312,139,193,120
2020,7,90,138,44,24,29,9,17,15
2020,7,100,19,4,2,5,3,4,1
2020,8,총,"32,228","9,942","4,903","7,205","2,908","5,233","2,037"
2020,8,0,"1,715",600,250,334,83,379,69
2020,8,10,"2,520",931,410,539,173,352,115
2020,8,20,"3,577","1,203",483,761,335,654,141
2020,8,30,"3,143","1,030",449,650,205,652,157
2020,8,40,"4,271","1,407",596,"1,045",311,662,250
2020,8,50,"6,085","1,846",942,"1,432",583,880,402
2020,8,60,"6,139","1,618","1,012","1,331",709,974,495
2020,8,70,"3,233",862,508,766,361,464,272
2020,8,80,"1,382",396,226,312,135,193,120
2020,8,90,144,45,25,30,10,19,15
2020,8,100,19,4,2,5,3,4,1
2020,9,총,"32,205","9,923","4,912","7,186","2,919","5,228","2,037"
2020,9,0,"1,702",595,247,329,86,378,67
2020,9,10,"2,493",921,398,536,174,347,117
2020,9,20,"3,580","1,209",482,761,341,648,139
2020,9,30,"3,141","1,019",457,645,208,655,157
2020,9,40,"4,250","1,407",598,"1,032",310,655,248
2020,9,50,"6,083","1,840",940,"1,437",582,883,401
2020,9,60,"6,170","1,622","1,029","1,338",705,978,498
2020,9,70,"3,236",865,502,765,364,467,273
2020,9,80,"1,387",396,231,309,136,194,121
2020,9,90,144,45,26,29,10,19,15
2020,9,100,19,4,2,5,3,4,1
2020,10,총,"32,168","9,928","4,900","7,192","2,918","5,211","2,019"
2020,10,0,"1,680",590,251,320,81,373,65
2020,10,10,"2,492",923,396,536,173,349,115
2020,10,20,"3,559","1,204",479,765,336,641,134
2020,10,30,"3,125","1,020",454,641,206,648,156
2020,10,40,"4,263","1,417",599,"1,034",314,656,243
2020,10,50,"6,074","1,832",931,"1,437",586,890,398
2020,10,60,"6,190","1,628","1,035","1,345",710,975,497
2020,10,70,"3,226",862,498,767,363,464,272
2020,10,80,"1,400",404,230,313,135,194,124
2020,10,90,140,44,25,29,11,17,14
2020,10,100,19,4,2,5,3,4,1
2020,11,총,"32,192","9,920","4,918","7,199","2,932","5,211","2,012"
2020,11,0,"1,672",589,254,316,78,368,67
2020,11,10,"2,483",916,395,536,177,348,111
2020,11,20,"3,562","1,199",483,765,340,642,133
2020,11,30,"3,130","1,021",454,646,207,645,157
2020,11,40,"4,267","1,419",598,"1,028",317,666,239
2020,11,50,"6,056","1,823",934,"1,437",585,883,394
2020,11,60,"6,220","1,639","1,041","1,355",711,978,496
2020,11,70,"3,239",864,501,766,368,465,275
2020,11,80,"1,402",402,231,316,135,194,124
2020,11,90,142,44,25,29,11,18,15
2020,11,100,19,4,2,5,3,4,1
2020,12,총,"32,156","9,921","4,934","7,163","2,934","5,207","1,997"
2020,12,0,"1,663",584,258,311,77,368,65
2020,12,10,"2,466",919,393,536,160,348,110
2020,12,20,"3,575","1,208",492,755,344,642,134
2020,12,30,"3,114","1,022",451,643,208,640,150
2020,12,40,"4,257","1,418",593,"1,021",326,667,232
2020,12,50,"6,023","1,812",929,"1,423",583,880,396
