년도,월,나이,금산군,금산읍,금성면,제원면,부리면,군북면,남일면,남이면,진산면,복수면,추부면
2020,8,60,"4,869","1,554",379,385,306,292,300,256,344,381,672
2020,8,70,"3,071","1,005",244,218,215,184,198,159,263,243,342
2020,8,80,"1,418",394,134,107,122,88,116,90,116,100,151
2020,8,90,129,28,16,13,11,6,7,6,8,13,21
2020,8,100,8,4,1,0,0,0,0,0,2,1,0
2020,9,총,"26,001","11,272","1,725","1,475","1,248","1,283","1,454","1,115","1,634","1,615","3,180"
2020,9,0,"1,348",849,56,45,32,64,52,33,40,42,135
2020,9,10,"2,270","1,263",95,65,37,75,205,93,123,82,232
2020,9,20,"2,293","1,221",142,108,64,82,106,69,103,121,277
2020,9,30,"2,014","1,122",117,96,71,81,61,36,73,97,260
2020,9,40,"3,494","1,867",169,155,136,156,146,112,187,184,382
2020,9,50,"5,049","1,957",363,281,254,250,260,254,369,355,706
2020,9,60,"4,890","1,558",386,383,304,296,299,263,348,377,676
2020,9,70,"3,083","1,005",245,221,218,185,202,158,265,243,341
2020,9,80,"1,424",399,136,108,121,88,116,90,116,100,150
2020,9,90,128,27,15,13,11,6,7,7,8,13,21
2020,9,100,8,4,1,0,0,0,0,0,2,1,0
2020,10,총,"25,957","11,237","1,716","1,477","1,241","1,277","1,458","1,116","1,624","1,623","3,188"
2020,10,0,"1,330",838,55,45,32,62,50,33,41,41,133
2020,10,10,"2,265","1,261",93,68,35,75,205,89,120,87,232
2020,10,20,"2,287","1,214",140,109,66,81,103,70,102,118,284
2020,10,30,"1,995","1,105",114,98,68,78,65,37,72,98,260
2020,10,40,"3,468","1,866",167,152,128,153,144,109,186,183,380
2020,10,50,"5,052","1,942",364,284,257,254,258,256,366,360,711
2020,10,60,"4,906","1,576",382,376,306,296,304,261,349,378,678
2020,10,70,"3,081","1,000",246,225,218,182,206,163,260,244,337
2020,10,80,"1,434",404,139,107,118,90,115,91,117,100,153
2020,10,90,131,27,15,13,13,6,8,7,9,13,20
2020,10,100,8,4,1,0,0,0,0,0,2,1,0
2020,11,총,"25,947","11,239","1,716","1,471","1,237","1,270","1,456","1,119","1,624","1,617","3,198"
2020,11,0,"1,317",831,54,43,33,60,50,32,41,41,132
2020,11,10,"2,248","1,253",93,69,34,75,199,89,120,84,232
2020,11,20,"2,296","1,225",138,108,65,79,104,69,101,117,290
2020,11,30,"1,988","1,100",114,90,69,75,66,39,74,100,261
2020,11,40,"3,453","1,859",167,152,124,152,145,109,185,181,379
2020,11,50,"5,046","1,945",364,287,256,253,257,256,366,353,709
2020,11,60,"4,936","1,589",376,377,306,296,307,264,352,381,688
2020,11,70,"3,098","1,003",255,226,220,183,206,163,260,245,337
2020,11,80,"1,427",402,139,106,117,91,114,91,115,101,151
2020,11,90,129,28,15,13,13,6,8,6,8,13,19
2020,11,100,9,4,1,0,0,0,0,1,2,1,0
2020,12,총,"25,928","11,228","1,714","1,480","1,237","1,264","1,451","1,109","1,619","1,620","3,206"
2020,12,0,"1,305",823,56,42,32,60,48,30,40,40,134
2020,12,10,"2,239","1,255",88,69,33,75,197,88,118,84,232
2020,12,20,"2,309","1,230",137,119,66,76,102,69,102,118,290
2020,12,30,"1,977","1,094",114,90,69,74,64,40,70,103,259
2020,12,40,"3,442","1,854",167,152,122,148,149,106,182,184,378
2020,12,50,"5,017","1,930",364,284,256,254,249,251,373,350,706
2020,12,60,"4,990","1,612",375,379,309,298,312,263,354,385,703
2020,12,70,"3,088",990,259,229,220,182,209,164,257,242,336
2020,12,80,"1,423",408,137,103,117,91,113,91,113,100,150
2020,12,90,129,28,16,13,13,6,8,6,8,13,18
2020,12,100,9,4,1,0,0,0,0,1,2,1,0
2021,1,총,"25,821","11,205","1,704","1,464","1,230","1,259","1,436","1,104","1,616","1,615","3,188"
2021,1,0,"1,296",815,56,43,33,60,46,28,41,40,134
2021,1,10,"2,218","1,253",85,67,32,71,190,87,117,84,232
2021,1,20,"2,290","1,227",135,112,64,76,100,69,103,116,288
2021,1,30,"1,943","1,074",111,92,67,72,63,39,68,98,259
2021,1,40,"3,420","1,846",165,153,121,145,148,100,179,182,381
