년도,월,나이,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020,1,총,"160,647","12,707","11,562","15,867","14,131","16,978","9,635","8,683","9,555","10,881","11,300","11,835","10,917","16,596"
2020,1,0,"8,392",697,434,788,606,"1,537",370,383,511,565,563,479,576,883
2020,1,10,"11,393","1,027",676,"1,113",919,"2,045",545,550,729,692,714,553,693,"1,137"
2020,1,20,"22,049","1,551","2,105","2,206","1,830","1,754","1,703","1,047","1,043","1,584","1,609","2,113","1,410","2,094"
2020,1,30,"19,348","1,513","1,399","2,093","1,610","2,172","1,366",876,934,"1,317","1,227","1,617","1,264","1,960"
2020,1,40,"23,904","1,951","1,548","2,345","1,938","3,534","1,425","1,269","1,383","1,452","1,599","1,578","1,537","2,345"
2020,1,50,"27,502","2,222","2,036","2,795","2,608","2,497","1,542","1,477","1,485","1,965","2,038","2,003","1,941","2,893"
2020,1,60,"23,676","1,923","1,682","2,364","2,297","1,704","1,324","1,452","1,482","1,663","1,698","1,797","1,669","2,621"
2020,1,70,"16,717","1,225","1,139","1,520","1,588","1,146",964,"1,175","1,496","1,078","1,231","1,167","1,226","1,762"
2020,1,80,"6,472",492,474,542,627,497,329,397,418,460,538,451,487,760
2020,1,90,"1,016",85,61,86,92,75,61,55,64,73,79,65,91,129
2020,1,100,178,21,8,15,16,17,6,2,10,32,4,12,23,12
2020,2,총,"160,432","12,652","11,551","15,932","14,075","16,927","9,632","8,687","9,521","10,853","11,291","11,827","10,882","16,602"
2020,2,0,"8,297",688,429,784,602,"1,516",369,376,503,560,556,473,564,877
2020,2,10,"11,307","1,007",681,"1,111",896,"2,028",537,544,732,683,701,553,698,"1,136"
2020,2,20,"22,022","1,552","2,105","2,221","1,829","1,750","1,713","1,046","1,031","1,573","1,607","2,107","1,396","2,092"
2020,2,30,"19,210","1,493","1,377","2,098","1,607","2,165","1,361",868,923,"1,306","1,214","1,605","1,236","1,957"
2020,2,40,"23,858","1,943","1,545","2,357","1,922","3,515","1,429","1,274","1,380","1,444","1,598","1,583","1,532","2,336"
2020,2,50,"27,479","2,217","2,030","2,798","2,591","2,504","1,528","1,485","1,477","1,962","2,039","2,015","1,945","2,888"
2020,2,60,"23,775","1,931","1,692","2,373","2,306","1,713","1,324","1,452","1,482","1,676","1,705","1,796","1,681","2,644"
2020,2,70,"16,723","1,212","1,142","1,530","1,584","1,148",969,"1,176","1,498","1,078","1,237","1,168","1,224","1,757"
2020,2,80,"6,553",502,475,556,633,496,334,406,425,465,549,450,489,773
2020,2,90,"1,031",87,67,89,89,75,62,57,60,74,81,65,95,130
2020,2,100,177,20,8,15,16,17,6,3,10,32,4,12,22,12
2020,3,총,"160,238","12,613","11,572","15,925","14,042","16,859","9,651","8,664","9,497","10,842","11,316","11,849","10,835","16,573"
2020,3,0,"8,217",692,415,782,587,"1,508",376,365,497,559,556,466,550,864
2020,3,10,"11,248",997,688,"1,102",883,"2,013",537,550,715,683,709,551,689,"1,131"
2020,3,20,"22,071","1,545","2,113","2,234","1,836","1,752","1,722","1,038","1,023","1,567","1,616","2,118","1,400","2,107"
