년도,월,나이,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020,3,총,"191,272","15,956","6,535","22,244","13,786","12,213","14,278","15,970","11,099","13,354","12,397","7,020","6,461","18,776","11,436","9,747"
2020,3,0,"13,332","1,041",201,"1,588","1,243",724,954,"1,265",438,975,"1,128",419,487,"1,251",843,775
2020,3,10,"14,866","1,056",320,"1,777","1,023",897,"1,076","1,132",532,943,909,401,492,"2,144","1,287",877
2020,3,20,"32,349","2,903","1,194","5,001","2,123","1,970","2,234","2,733","2,292","1,836","1,644","1,184","1,018","3,060","1,589","1,568"
2020,3,30,"32,068","2,876","1,093","3,255","2,390","2,270","2,593","2,416","2,451","2,301","2,040","1,317","1,130","2,737","1,520","1,679"
2020,3,40,"30,092","2,301",883,"3,345","2,262","1,891","2,268","2,516","1,508","2,034","2,020","1,081","1,062","3,294","1,992","1,635"
2020,3,50,"28,270","2,304","1,138","2,982","1,995","1,847","2,149","2,521","1,440","2,018","1,784","1,025",939,"2,970","1,843","1,315"
2020,3,60,"22,078","1,910",917,"2,384","1,515","1,365","1,671","1,845","1,353","1,753","1,610",856,759,"1,823","1,346",971
2020,3,70,"13,196","1,101",555,"1,373",866,933,976,"1,057",848,"1,107",948,569,425,"1,038",731,669
2020,3,80,"4,467",412,209,476,322,287,317,418,222,342,285,152,135,408,256,226
2020,3,90,464,41,19,55,40,24,36,50,15,31,23,15,13,46,28,28
2020,3,100,90,11,6,8,7,5,4,17,0,14,6,1,1,5,1,4
2020,4,총,"191,207","15,975","6,518","22,195","13,748","12,192","14,254","15,964","11,057","13,337","12,340","7,004","6,731","18,716","11,448","9,728"
2020,4,0,"13,248","1,030",197,"1,573","1,235",721,936,"1,252",436,973,"1,111",420,514,"1,245",835,770
2020,4,10,"14,834","1,061",317,"1,782","1,020",890,"1,069","1,133",534,950,909,395,498,"2,115","1,282",879
2020,4,20,"32,322","2,915","1,187","4,985","2,110","1,964","2,233","2,737","2,260","1,821","1,626","1,182","1,078","3,061","1,605","1,558"
2020,4,30,"32,039","2,885","1,088","3,230","2,388","2,264","2,581","2,415","2,451","2,282","2,026","1,310","1,207","2,726","1,514","1,672"
2020,4,40,"30,079","2,299",884,"3,342","2,249","1,897","2,264","2,514","1,510","2,044","2,020","1,086","1,084","3,270","1,985","1,631"
2020,4,50,"28,282","2,307","1,138","2,983","1,988","1,839","2,148","2,515","1,431","2,010","1,770","1,017",987,"2,974","1,855","1,320"
2020,4,60,"22,147","1,910",911,"2,386","1,521","1,366","1,681","1,846","1,348","1,761","1,618",856,779,"1,832","1,360",972
2020,4,70,"13,212","1,100",559,"1,375",866,931,983,"1,067",844,"1,108",945,569,434,"1,036",729,666
2020,4,80,"4,493",415,212,477,324,291,319,417,230,343,288,154,136,404,254,229
2020,4,90,462,42,19,54,40,24,36,51,13,31,21,15,13,48,28,27
2020,4,100,89,11,6,8,7,5,4,17,0,14,6,0,1,5,1,4
2020,5,총,"191,281","16,004","6,518","22,136","13,728","12,194","14,248","15,939","11,057","13,331","12,303","6,982","6,978","18,684","11,468","9,711"
2020,5,0,"13,210","1,023",195,"1,566","1,228",717,936,"1,244",434,961,"1,103",420,548,"1,236",832,767
2020,5,10,"14,787","1,054",318,"1,769","1,023",885,"1,068","1,139",518,950,910,392,507,"2,096","1,280",878
2020,5,20,"32,341","2,941","1,185","4,977","2,099","1,955","2,224","2,739","2,268","1,820","1,619","1,170","1,102","3,065","1,609","1,568"
2020,5,30,"32,067","2,909","1,093","3,212","2,371","2,262","2,579","2,388","2,459","2,267","2,014","1,317","1,286","2,729","1,520","1,661"
2020,5,40,"30,050","2,289",880,"3,332","2,238","1,890","2,264","2,520","1,516","2,039","2,016","1,080","1,115","3,268","1,984","1,619"
2020,5,50,"28,319","2,298","1,139","2,974","2,003","1,853","2,151","2,508","1,428","2,023","1,774","1,020","1,015","2,960","1,860","1,313"
2020,5,60,"22,173","1,920",910,"2,387","1,517","1,377","1,686","1,842","1,350","1,762","1,609",846,805,"1,828","1,359",975
2020,5,70,"13,257","1,099",561,"1,383",876,931,980,"1,072",841,"1,107",943,568,449,"1,049",735,663
2020,5,80,"4,528",418,213,473,326,295,321,420,231,355,289,154,137,401,259,236
2020,5,90,459,42,18,55,40,24,35,50,12,33,20,15,13,46,29,27
2020,5,100,90,11,6,8,7,5,4,17,0,14,6,0,1,6,1,4
2020,6,총,"191,211","16,057","6,521","22,148","13,727","12,154","14,237","15,936","11,037","13,281","12,272","6,990","7,058","18,631","11,482","9,680"
2020,6,0,"13,142","1,016",191,"1,554","1,222",716,933,"1,234",434,956,"1,106",419,556,"1,224",819,762
2020,6,10,"14,734","1,052",314,"1,756","1,025",874,"1,069","1,146",519,941,898,391,513,"2,079","1,278",879
2020,6,20,"32,404","2,951","1,191","5,012","2,103","1,943","2,228","2,736","2,273","1,794","1,616","1,199","1,102","3,066","1,628","1,562"
2020,6,30,"32,031","2,956","1,098","3,199","2,379","2,253","2,569","2,376","2,427","2,254","2,018","1,304","1,307","2,716","1,517","1,658"
2020,6,40,"30,030","2,287",885,"3,326","2,238","1,880","2,255","2,537","1,519","2,035","2,002","1,073","1,138","3,259","1,989","1,607"
2020,6,50,"28,255","2,295","1,127","2,974","1,997","1,852","2,153","2,497","1,417","2,023","1,760","1,015","1,023","2,950","1,864","1,308"
2020,6,60,"22,240","1,926",915,"2,403","1,522","1,373","1,683","1,852","1,361","1,760","1,608",853,816,"1,837","1,359",972
2020,6,70,"13,273","1,101",562,"1,380",869,940,983,"1,066",840,"1,114",947,566,448,"1,052",741,664
2020,6,80,"4,554",421,214,477,327,293,325,426,235,357,291,155,141,396,258,238
2020,6,90,457,42,18,58,38,25,35,49,11,33,20,15,13,46,28,26
2020,6,100,91,10,6,9,7,5,4,17,1,14,6,0,1,6,1,4
2020,7,총,"191,063","16,089","6,509","22,107","13,664","12,156","14,186","15,916","11,026","13,270","12,246","6,984","7,119","18,615","11,488","9,688"
2020,7,0,"13,068","1,022",194,"1,538","1,220",697,922,"1,233",432,948,"1,110",413,565,"1,205",813,756
2020,7,10,"14,693","1,047",314,"1,748","1,017",874,"1,058","1,142",512,947,893,387,516,"2,085","1,274",879
2020,7,20,"32,353","2,957","1,181","4,995","2,100","1,942","2,221","2,726","2,275","1,795","1,598","1,192","1,103","3,067","1,633","1,568"
