년도,월,나이,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2020,1,총,"52,674","13,756","2,013","1,642","1,855","1,593","1,506","1,476","4,414","3,984","2,581","1,820","1,823","1,848","4,635","3,903",798,"2,178",849
2020,1,0,"2,016",868,28,39,43,31,36,28,140,154,88,47,42,41,240,105,19,53,14
2020,1,10,"2,478","1,072",67,45,55,38,60,47,160,153,63,46,68,59,297,138,12,73,25
2020,1,20,"3,438","1,217",97,82,105,79,67,68,255,280,136,98,122,110,364,210,27,92,29
2020,1,30,"3,480","1,289",104,75,75,58,82,80,257,306,126,103,97,95,342,223,29,93,46
2020,1,40,"4,931","1,806",164,106,167,118,82,97,364,360,201,135,134,137,504,299,50,152,55
2020,1,50,"9,185","2,367",334,274,350,300,301,270,730,715,447,325,322,326,796,667,148,370,143
2020,1,60,"11,364","2,489",506,401,452,395,405,387,"1,012",897,621,438,371,420,828,870,165,525,182
2020,1,70,"9,027","1,662",402,357,362,293,265,270,860,647,497,342,350,354,731,804,197,447,187
2020,1,80,"5,952",846,278,244,219,244,177,204,543,413,357,255,290,280,470,523,133,325,151
2020,1,90,762,129,31,19,26,37,28,24,87,56,42,30,25,24,62,63,18,45,16
2020,1,100,41,11,2,0,1,0,3,1,6,3,3,1,2,2,1,1,0,3,1
2020,2,총,"52,516","13,681","1,991","1,645","1,853","1,580","1,504","1,467","4,413","3,984","2,577","1,844","1,810","1,841","4,610","3,897",795,"2,181",843
2020,2,0,"1,997",853,27,40,42,30,35,28,139,152,87,51,45,43,238,101,20,52,14
2020,2,10,"2,463","1,068",65,45,53,35,61,42,164,150,60,50,64,61,296,139,12,73,25
2020,2,20,"3,366","1,185",92,79,102,75,65,67,248,283,136,94,119,107,354,212,25,94,29
2020,2,30,"3,455","1,274",102,76,77,55,83,82,258,303,127,101,96,94,339,223,29,91,45
2020,2,40,"4,904","1,804",162,104,164,114,80,96,363,359,194,146,131,135,502,294,50,153,53
2020,2,50,"9,099","2,342",331,273,352,299,299,261,727,712,439,325,314,319,791,661,148,367,139
2020,2,60,"11,421","2,489",507,406,459,400,411,395,"1,014",903,624,444,373,420,826,875,163,527,185
2020,2,70,"9,025","1,673",398,354,358,291,263,268,858,647,500,339,348,357,732,802,198,451,188
2020,2,80,"5,981",853,275,249,221,244,175,202,549,411,365,262,292,279,473,525,132,325,149
2020,2,90,761,129,30,19,24,37,29,25,86,61,42,30,26,24,58,64,18,44,15
2020,2,100,44,11,2,0,1,0,3,1,7,3,3,2,2,2,1,1,0,4,1
2020,3,총,"52,333","13,626","1,979","1,641","1,851","1,581","1,499","1,471","4,381","3,964","2,574","1,837","1,800","1,837","4,591","3,876",801,"2,181",843
2020,3,0,"1,994",846,30,42,42,31,32,32,136,152,88,49,45,43,242,97,20,53,14
2020,3,10,"2,430","1,058",61,43,53,35,61,42,167,146,59,48,62,61,289,136,12,72,25
2020,3,20,"3,329","1,165",91,77,102,73,66,69,242,287,133,97,117,104,352,210,25,92,27
2020,3,30,"3,407","1,253",102,77,74,53,80,81,245,300,124,99,96,96,339,216,31,95,46
2020,3,40,"4,844","1,789",158,104,161,116,81,97,360,352,191,138,128,129,499,288,49,153,51
2020,3,50,"9,039","2,334",326,269,354,300,295,257,716,713,437,325,310,324,780,653,153,357,136
2020,3,60,"11,402","2,490",505,404,459,396,410,398,"1,009",893,630,445,372,411,822,878,161,533,186
2020,3,70,"9,049","1,685",391,355,356,294,262,265,864,645,500,342,351,365,734,805,196,451,188
2020,3,80,"6,024",859,284,251,225,245,178,204,548,413,367,264,290,277,475,529,135,326,154
2020,3,90,773,136,29,19,24,38,31,25,88,60,42,28,28,25,58,63,19,45,15
2020,3,100,42,11,2,0,1,0,3,1,6,3,3,2,1,2,1,1,0,4,1
2020,4,총,"52,236","13,601","1,977","1,634","1,835","1,582","1,492","1,470","4,376","3,958","2,562","1,829","1,800","1,825","4,604","3,869",797,"2,184",841
2020,4,0,"1,996",850,29,43,40,31,33,30,134,151,90,49,46,42,243,95,20,55,15
2020,4,10,"2,413","1,058",61,41,53,35,60,43,165,143,59,48,61,55,287,136,12,71,25
2020,4,20,"3,285","1,156",89,73,97,71,64,69,243,285,125,89,116,107,357,203,24,91,26
2020,4,30,"3,402","1,242",101,79,73,55,80,79,242,296,128,103,98,92,343,222,29,94,46
2020,4,40,"4,810","1,776",157,104,157,112,82,94,357,356,192,136,128,128,498,287,46,150,50
2020,4,50,"8,967","2,324",320,265,352,301,289,254,709,711,431,317,307,322,779,643,152,356,135
2020,4,60,"11,450","2,507",512,407,462,399,408,402,"1,012",895,627,449,370,412,823,881,163,533,188
2020,4,70,"9,056","1,676",392,355,355,293,265,266,869,641,503,341,353,366,738,805,196,455,187
2020,4,80,"6,038",867,285,248,220,246,179,206,549,417,363,267,292,276,476,529,135,330,153
2020,4,90,776,134,29,19,25,39,29,26,90,60,41,28,28,23,59,66,20,45,15
2020,4,100,43,11,2,0,1,0,3,1,6,3,3,2,1,2,1,2,0,4,1
2020,5,총,"52,148","13,556","1,968","1,637","1,830","1,588","1,489","1,479","4,358","3,950","2,555","1,823","1,798","1,816","4,608","3,872",799,"2,182",840
2020,5,0,"1,990",847,31,43,41,31,34,32,128,153,91,47,47,41,238,95,21,55,15
2020,5,10,"2,399","1,043",63,42,54,36,58,44,166,144,58,46,60,55,286,137,12,70,25
2020,5,20,"3,271","1,164",88,73,95,73,63,68,241,280,123,85,112,106,360,201,24,90,25
2020,5,30,"3,365","1,226",98,78,73,57,79,80,247,288,125,103,101,88,339,215,28,93,47
2020,5,40,"4,776","1,758",156,105,155,112,80,96,349,358,190,132,129,127,500,285,45,148,51
2020,5,50,"8,939","2,313",318,265,346,300,285,253,701,707,429,319,305,322,784,652,152,356,132
2020,5,60,"11,470","2,497",513,409,468,405,414,407,"1,006",900,624,447,376,413,825,879,162,537,188
2020,5,70,"9,061","1,696",389,351,353,291,263,268,876,636,505,345,346,365,733,802,197,456,189
2020,5,80,"6,056",866,281,252,218,245,182,206,549,422,365,268,292,274,482,537,137,329,151
2020,5,90,778,135,29,19,26,38,28,24,89,59,42,29,29,23,60,67,21,44,16
2020,5,100,43,11,2,0,1,0,3,1,6,3,3,2,1,2,1,2,0,4,1
2020,6,총,"52,142","13,560","1,970","1,633","1,831","1,578","1,490","1,476","4,340","3,953","2,563","1,828","1,805","1,814","4,601","3,868",805,"2,189",838
2020,6,0,"1,993",852,30,41,40,31,34,34,125,154,91,49,47,41,234,97,22,56,15
2020,6,10,"2,388","1,034",65,41,54,34,57,42,163,144,57,48,62,57,283,138,13,71,25
2020,6,20,"3,244","1,166",89,70,93,70,63,66,233,270,123,84,111,106,358,199,25,92,26
2020,6,30,"3,356","1,223",98,78,74,56,80,80,245,292,127,98,96,85,345,213,27,93,46
2020,6,40,"4,766","1,757",155,101,153,108,80,98,347,365,189,135,130,127,494,283,46,147,51
2020,6,50,"8,921","2,311",321,265,345,299,283,251,695,709,431,318,310,319,775,650,153,357,129
2020,6,60,"11,516","2,504",516,412,471,402,417,406,"1,014",899,629,449,379,416,832,876,164,539,191
2020,6,70,"9,087","1,702",387,354,355,297,261,266,878,640,506,346,346,366,738,807,197,454,187
2020,6,80,"6,042",866,279,250,219,243,184,207,544,416,365,270,292,271,479,537,137,332,151
2020,6,90,786,134,28,21,26,38,28,25,90,61,42,29,31,24,62,66,21,44,16
