년도,월,나이,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동,인천광역시 중구 개항동
2020,1,총,"70,468","3,545","2,673","6,840","2,120","1,828","3,203","1,539","2,299","8,494","20,477","15,086","2,364",
2020,1,0,"6,279",143,145,490,74,87,96,60,123,499,"3,586",937,39,
2020,1,10,"6,409",192,189,621,183,104,175,85,168,643,"2,227","1,759",63,
2020,1,20,"9,573",412,297,836,243,221,356,186,290,"1,254","1,802","3,484",192,
2020,1,30,"11,239",389,279,911,232,197,423,157,265,"1,325","4,232","2,629",200,
2020,1,40,"13,216",555,462,"1,110",338,288,472,216,360,"1,499","4,648","2,905",363,
2020,1,50,"10,763",784,498,"1,212",397,374,669,316,446,"1,491","2,090","1,922",564,
2020,1,60,"7,420",642,388,964,343,308,549,269,350,"1,147","1,131",780,549,
2020,1,70,"4,147",313,286,503,233,190,331,175,220,475,611,496,314,
2020,1,80,"1,249",99,109,176,65,53,111,61,61,142,137,163,72,
2020,1,90,147,15,17,15,12,5,18,12,10,14,12,9,8,
2020,1,100,26,1,3,2,0,1,3,2,6,5,1,2,0,
2020,2,총,"70,837","3,533","2,648","6,804","2,118","1,816","3,198","1,525","2,299","8,519","20,761","15,250","2,366",
2020,2,0,"6,311",144,142,477,72,84,93,60,116,499,"3,650",936,38,
2020,2,10,"6,445",187,184,601,183,106,171,83,173,647,"2,270","1,774",66,
2020,2,20,"9,633",401,294,844,239,221,361,183,293,"1,256","1,802","3,548",191,
2020,2,30,"11,285",393,270,906,238,188,418,152,262,"1,331","4,279","2,651",197,
2020,2,40,"13,296",555,467,"1,098",336,283,477,216,355,"1,494","4,712","2,936",367,
2020,2,50,"10,816",783,493,"1,215",396,378,669,313,452,"1,489","2,127","1,946",555,
2020,2,60,"7,457",640,386,963,344,303,548,266,350,"1,163","1,154",784,556,
2020,2,70,"4,165",314,284,510,232,193,331,177,221,476,613,499,315,
2020,2,80,"1,253",99,109,171,65,54,109,61,61,145,141,165,73,
2020,2,90,149,16,16,17,13,5,18,12,9,14,12,9,8,
2020,2,100,27,1,3,2,0,1,3,2,7,5,1,2,0,
2020,3,총,"71,205","3,535","2,636","6,813","2,108","1,802","3,202","1,523","2,282","8,543","21,113","15,303","2,345",
2020,3,0,"6,315",142,138,479,70,83,94,61,110,496,"3,673",930,39,
2020,3,10,"6,440",187,183,595,174,104,167,83,171,648,"2,285","1,778",65,
2020,3,20,"9,731",397,299,852,242,218,361,173,286,"1,251","1,909","3,558",185,
2020,3,30,"11,355",386,269,901,236,186,420,157,257,"1,325","4,366","2,660",192,
2020,3,40,"13,335",559,456,"1,099",337,274,482,220,353,"1,506","4,756","2,939",354,
2020,3,50,"10,859",783,489,"1,218",392,373,669,310,450,"1,508","2,154","1,956",557,
2020,3,60,"7,542",649,392,966,345,310,544,268,355,"1,167","1,186",802,558,
2020,3,70,"4,189",313,282,514,232,194,334,177,222,478,629,499,315,
2020,3,80,"1,262",102,108,171,67,54,111,60,62,144,143,168,72,
2020,3,90,150,16,17,16,13,5,17,12,9,15,11,11,8,
2020,3,100,27,1,3,2,0,1,3,2,7,5,1,2,0,
2020,4,총,"71,389","3,505","2,634","6,806","2,111","1,792","3,189","1,524","2,275","8,576","21,260","15,374","2,343",
2020,4,0,"6,281",140,137,470,68,78,92,63,111,494,"3,676",911,41,
2020,4,10,"6,480",185,187,586,175,103,160,82,170,664,"2,303","1,800",65,
2020,4,20,"9,727",391,301,860,238,214,362,172,278,"1,243","1,941","3,543",184,
2020,4,30,"11,402",385,265,894,238,186,411,159,262,"1,315","4,409","2,686",192,
2020,4,40,"13,334",544,454,"1,099",335,275,482,223,349,"1,515","4,764","2,947",347,
2020,4,50,"10,908",780,492,"1,213",397,370,665,306,444,"1,521","2,177","1,980",563,
2020,4,60,"7,585",649,388,972,341,310,553,266,355,"1,178","1,200",824,549,
2020,4,70,"4,217",309,283,520,235,197,333,178,228,481,631,501,321,
2020,4,80,"1,279",105,108,173,71,53,111,61,62,145,148,169,73,
2020,4,90,149,16,16,17,13,5,17,12,9,15,10,11,8,
2020,4,100,27,1,3,2,0,1,3,2,7,5,1,2,0,
2020,5,총,"71,667","3,493","2,628","6,801","2,104","1,783","3,182","1,526","2,286","8,623","21,398","15,499","2,344",
2020,5,0,"6,265",141,135,457,64,74,90,63,109,500,"3,681",910,41,
2020,5,10,"6,511",183,187,591,177,105,160,79,170,655,"2,326","1,813",65,
2020,5,20,"9,747",389,299,866,238,212,357,175,285,"1,243","1,940","3,558",185,
2020,5,30,"11,489",379,270,888,241,188,413,154,265,"1,333","4,441","2,726",191,
2020,5,40,"13,372",538,453,"1,100",332,275,480,223,348,"1,517","4,803","2,960",343,
2020,5,50,"10,956",783,490,"1,216",396,364,663,309,442,"1,536","2,188","2,005",564,
