년도,월,나이,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020,3,총,"31,951","10,169","3,190","2,161","2,045","4,442","2,263","1,570","2,278","1,773","2,060"
2020,3,0,"1,491",656,107,52,80,190,62,36,61,37,210
2020,3,10,"1,912",895,143,102,82,244,101,77,109,40,119
2020,3,20,"2,136",936,160,139,112,257,108,75,120,104,125
2020,3,30,"2,083",829,169,133,103,255,102,67,111,71,243
2020,3,40,"3,361","1,341",249,181,167,416,221,138,204,140,304
2020,3,50,"5,963","1,815",631,398,365,868,450,343,465,286,342
2020,3,60,"6,567","1,625",751,503,451,946,562,400,524,439,366
2020,3,70,"4,801","1,178",556,357,363,712,382,243,405,384,221
2020,3,80,"3,134",747,374,257,281,463,240,168,244,245,115
2020,3,90,476,141,48,38,40,84,30,22,34,24,15
2020,3,100,27,6,2,1,1,7,5,1,1,3,0
2020,4,총,"31,889","10,139","3,178","2,162","2,046","4,456","2,251","1,565","2,268","1,770","2,054"
2020,4,0,"1,479",641,105,56,78,194,64,36,60,38,207
2020,4,10,"1,916",898,144,98,85,251,99,76,105,39,121
2020,4,20,"2,120",923,161,139,112,260,109,76,119,98,123
2020,4,30,"2,063",826,162,131,101,259,100,65,105,71,243
2020,4,40,"3,341","1,334",251,181,165,411,216,134,204,139,306
2020,4,50,"5,937","1,814",621,394,364,870,443,347,462,286,336
2020,4,60,"6,587","1,631",755,506,454,952,564,395,528,435,367
2020,4,70,"4,783","1,173",553,361,362,701,378,244,404,386,221
2020,4,80,"3,164",753,374,257,285,469,244,169,246,252,115
2020,4,90,472,140,50,38,39,82,29,22,34,23,15
2020,4,100,27,6,2,1,1,7,5,1,1,3,0
2020,5,총,"31,843","10,123","3,173","2,155","2,044","4,439","2,251","1,559","2,277","1,774","2,048"
2020,5,0,"1,465",639,100,56,78,188,65,36,60,37,206
2020,5,10,"1,904",892,147,95,82,249,98,76,107,38,120
2020,5,20,"2,116",919,159,140,112,258,111,76,118,100,123
2020,5,30,"2,045",821,161,129,101,251,99,62,103,69,249
2020,5,40,"3,319","1,325",250,179,162,409,213,134,204,139,304
2020,5,50,"5,924","1,810",617,389,365,873,443,341,463,289,334
2020,5,60,"6,603","1,647",757,507,456,949,562,396,534,432,363
2020,5,70,"4,781","1,165",555,363,359,706,378,246,403,387,219
2020,5,80,"3,188",759,376,258,288,468,248,168,251,257,115
2020,5,90,469,140,49,38,39,81,29,22,33,23,15
2020,5,100,29,6,2,1,2,7,5,2,1,3,0
2020,6,총,"31,823","10,094","3,174","2,156","2,045","4,461","2,244","1,554","2,275","1,777","2,043"
2020,6,0,"1,459",634,100,57,77,190,64,34,60,36,207
2020,6,10,"1,899",889,149,96,83,248,97,75,107,38,117
2020,6,20,"2,091",911,151,139,111,259,109,71,116,97,127
2020,6,30,"2,044",810,166,132,99,257,97,61,103,71,248
2020,6,40,"3,306","1,327",250,180,157,405,208,134,206,138,301
2020,6,50,"5,909","1,802",613,383,372,880,441,340,455,290,333
2020,6,60,"6,642","1,651",765,512,454,958,563,400,541,435,363
2020,6,70,"4,783","1,163",553,361,360,705,380,249,405,390,217
2020,6,80,"3,186",763,373,257,291,468,251,167,248,254,114
2020,6,90,476,138,52,38,39,84,29,22,33,25,16
2020,6,100,28,6,2,1,2,7,5,1,1,3,0
2020,7,총,"31,777","10,047","3,171","2,144","2,041","4,488","2,258","1,548","2,277","1,767","2,036"
2020,7,0,"1,456",634,100,57,76,192,68,31,60,31,207
2020,7,10,"1,893",882,148,97,81,249,97,76,107,39,117
2020,7,20,"2,077",905,152,136,111,264,108,67,115,90,129
2020,7,30,"2,033",808,167,130,101,253,100,61,102,69,242
2020,7,40,"3,288","1,310",247,175,156,412,210,135,206,137,300
2020,7,50,"5,875","1,779",607,381,368,887,444,335,452,289,333
2020,7,60,"6,683","1,658",774,511,456,968,568,401,546,440,361
2020,7,70,"4,776","1,169",548,361,359,704,376,250,404,390,215
2020,7,80,"3,184",758,375,257,292,466,251,167,249,254,115
2020,7,90,485,138,51,38,39,86,32,24,35,25,17
2020,7,100,27,6,2,1,2,7,4,1,1,3,0
2020,8,총,"31,701","10,018","3,173","2,142","2,035","4,483","2,254","1,541","2,258","1,763","2,034"
2020,8,0,"1,447",622,98,58,78,195,68,32,57,33,206
2020,8,10,"1,881",882,147,96,79,246,95,74,107,39,116
2020,8,20,"2,045",897,147,131,106,264,107,65,113,85,130
2020,8,30,"2,007",797,167,128,100,253,99,59,99,69,236
2020,8,40,"3,287","1,309",251,178,155,415,207,131,201,137,303
