년도,월,나이,김제시,만경읍,죽산면,백산면,용지면,백구면,부량면,공덕면,청하면,성덕면,진봉면,금구면,봉남면,황산면,금산면,광활면,요촌동,신풍동,검산동,교월동
2020,1,총,"42,209","1,338","1,289","1,239","1,897","1,976",714,"1,282",907,926,"1,429","2,444","1,153",956,"2,365",660,"5,749","6,551","6,008","3,326"
2020,1,0,"2,246",42,30,28,67,64,25,41,22,22,23,96,22,21,69,21,398,446,574,235
2020,1,10,"3,147",57,48,63,82,124,29,70,41,33,54,145,49,31,99,35,537,677,725,248
2020,1,20,"3,361",73,49,76,141,144,43,85,41,53,63,187,60,68,154,35,613,630,581,265
2020,1,30,"3,262",65,68,64,101,118,40,68,44,46,59,150,57,39,130,30,567,642,652,322
2020,1,40,"4,504",104,74,85,121,166,30,89,69,66,91,232,52,61,188,43,767,948,990,328
2020,1,50,"6,533",210,172,178,303,320,100,198,126,125,180,428,167,162,403,95,945,"1,059",852,510
2020,1,60,"7,058",296,280,270,374,369,147,264,187,184,301,458,233,183,455,128,862,851,697,519
2020,1,70,"6,310",230,270,246,352,348,154,221,191,201,336,416,257,191,462,158,573,740,501,463
2020,1,80,"4,906",223,258,186,299,281,128,211,155,159,262,289,220,177,343,101,407,480,368,359
2020,1,90,829,37,37,37,54,42,16,34,30,34,60,41,35,22,53,14,76,77,67,63
2020,1,100,53,1,3,6,3,0,2,1,1,3,0,2,1,1,9,0,4,1,1,14
2020,2,총,"42,112","1,341","1,285","1,233","1,892","1,968",707,"1,296",905,927,"1,419","2,440","1,151",951,"2,345",659,"5,742","6,542","5,994","3,315"
2020,2,0,"2,212",40,30,29,60,64,22,41,23,24,22,93,23,22,65,21,394,448,559,232
2020,2,10,"3,127",58,47,61,83,122,28,75,40,34,52,142,48,32,93,34,540,667,725,246
2020,2,20,"3,311",72,48,72,133,141,41,85,39,53,62,185,63,68,154,35,603,619,580,258
2020,2,30,"3,250",62,69,62,106,114,38,72,44,44,59,154,53,39,127,30,566,641,645,325
2020,2,40,"4,491",104,73,84,121,163,31,91,67,68,90,230,54,61,183,42,764,938,998,329
2020,2,50,"6,502",212,169,179,302,321,98,199,127,126,178,425,161,162,394,93,939,"1,067",844,506
2020,2,60,"7,101",298,280,271,378,371,150,263,187,182,301,460,235,183,455,131,868,862,706,520
2020,2,70,"6,298",231,271,244,345,348,155,222,193,199,332,419,257,188,464,158,575,734,501,462
