년도,월,나이,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020,1,총,"223,060","10,369","17,747","9,049","5,035","11,544","13,924","20,652","34,393","23,980","23,048","20,896","11,087","21,336"
2020,1,0,"17,884",477,"1,500",439,251,969,524,"1,485","3,693","1,227","1,535","2,188","1,353","2,243"
2020,1,10,"21,076",672,"1,375",680,349,"1,145",746,"1,689","3,686","2,355","2,473","1,946","1,345","2,615"
2020,1,20,"28,424","1,126","2,337","1,376",648,"1,571","1,689","2,618","4,111","3,401","3,187","2,449","1,405","2,506"
2020,1,30,"28,204","1,094","2,638","1,054",559,"1,700","1,438","2,635","4,714","2,270","2,413","3,027","1,746","2,916"
2020,1,40,"35,501","1,449","2,716","1,228",619,"1,813","1,777","3,038","6,044","3,816","3,495","3,374","1,849","4,283"
2020,1,50,"42,501","1,957","3,561","1,833","1,045","2,108","2,769","3,897","5,999","5,130","4,952","3,809","1,990","3,451"
2020,1,60,"30,215","1,968","2,320","1,445",931,"1,349","2,790","3,162","3,999","3,406","3,212","2,626",927,"2,080"
2020,1,70,"13,736","1,163",945,728,465,617,"1,532","1,473","1,558","1,664","1,311","1,070",334,876
2020,1,80,"4,855",413,306,232,142,232,570,592,517,638,411,366,127,309
2020,1,90,612,46,47,32,21,37,67,60,71,71,55,39,10,56
2020,1,100,52,4,2,2,5,3,22,3,1,2,4,2,1,1
2020,2,총,"222,395","10,346","17,690","9,028","5,027","11,480","13,886","20,549","34,351","23,840","23,027","20,797","11,090","21,284"
2020,2,0,"17,765",475,"1,476",434,246,956,516,"1,466","3,705","1,202","1,543","2,165","1,361","2,220"
2020,2,10,"20,916",674,"1,375",669,342,"1,144",734,"1,686","3,650","2,323","2,449","1,928","1,332","2,610"
2020,2,20,"28,174","1,107","2,298","1,365",646,"1,554","1,698","2,604","4,065","3,371","3,170","2,419","1,400","2,477"
2020,2,30,"28,017","1,084","2,623","1,054",550,"1,683","1,406","2,603","4,703","2,231","2,418","3,004","1,746","2,912"
2020,2,40,"35,400","1,439","2,700","1,235",616,"1,815","1,770","3,032","6,048","3,781","3,485","3,365","1,850","4,264"
2020,2,50,"42,382","1,953","3,568","1,826","1,052","2,084","2,765","3,862","5,981","5,123","4,932","3,804","1,985","3,447"
2020,2,60,"30,399","1,974","2,343","1,445",936,"1,358","2,804","3,170","4,035","3,430","3,232","2,631",940,"2,101"
2020,2,70,"13,745","1,168",945,733,466,612,"1,526","1,468","1,566","1,660","1,318","1,069",336,878
2020,2,80,"4,923",421,311,234,146,234,579,596,524,646,421,368,128,315
2020,2,90,620,47,49,31,21,37,66,59,73,71,55,42,11,58
2020,2,100,54,4,2,2,6,3,22,3,1,2,4,2,1,2
2020,3,총,"221,702","10,308","17,617","8,983","4,992","11,491","13,847","20,460","34,284","23,703","22,911","20,735","11,049","21,322"
2020,3,0,"17,657",475,"1,457",436,246,957,515,"1,455","3,699","1,200","1,529","2,139","1,348","2,201"
2020,3,10,"20,782",666,"1,354",658,338,"1,151",720,"1,674","3,637","2,283","2,411","1,930","1,334","2,626"
2020,3,20,"27,991","1,095","2,287","1,356",633,"1,552","1,696","2,596","4,038","3,341","3,140","2,405","1,383","2,469"
2020,3,30,"27,795","1,075","2,611","1,053",542,"1,679","1,396","2,585","4,674","2,210","2,396","2,959","1,733","2,882"
2020,3,40,"35,235","1,422","2,677","1,213",617,"1,809","1,758","3,017","6,038","3,731","3,454","3,368","1,851","4,280"
2020,3,50,"42,247","1,938","3,563","1,808","1,040","2,087","2,749","3,831","5,964","5,109","4,934","3,788","1,979","3,457"
2020,3,60,"30,557","1,976","2,352","1,456",939,"1,364","2,808","3,167","4,056","3,444","3,247","2,666",944,"2,138"
2020,3,70,"13,802","1,182",956,734,466,616,"1,531","1,474","1,577","1,668","1,312","1,057",342,887
2020,3,80,"4,966",426,312,236,144,236,587,599,528,649,427,379,123,320
2020,3,90,616,49,46,31,21,37,65,59,72,66,57,42,11,60
