년도,월,나이,양산시,물금읍,동면,원동면,상북면,하북면,중앙동,양주동,삼성동,강서동,서창동,소주동,평산동,덕계동
2020,1,총,"174,877","59,936","17,436","1,660","6,523","4,048","5,253","17,654","10,703","4,597","14,047","10,124","15,882","7,014"
2020,1,0,"17,688","8,088","2,456",40,309,107,203,"1,416",741,390,"1,307",776,"1,317",538
2020,1,10,"16,646","5,860","1,336",59,463,245,273,"2,130",899,585,"1,631",878,"1,658",629
2020,1,20,"19,266","7,292","1,614",77,594,373,576,"2,236","1,389",484,"1,440","1,003","1,472",716
2020,1,30,"25,355","11,212","3,480",74,514,252,496,"1,935","1,353",546,"1,747","1,197","1,750",799
2020,1,40,"29,705","10,505","2,793",119,816,480,625,"3,520","1,749",839,"2,643","1,691","2,794","1,131"
2020,1,50,"28,666","8,375","2,469",298,"1,422",934,"1,187","3,039","2,307",742,"2,238","1,847","2,512","1,296"
2020,1,60,"20,223","5,044","1,944",447,"1,180",840,"1,074","1,748","1,271",534,"1,697","1,343","2,130",971
2020,1,70,"11,153","2,288",884,311,775,445,515,"1,095",641,290,891,896,"1,513",609
2020,1,80,"5,344","1,087",395,197,385,299,261,483,304,163,376,448,664,282
2020,1,90,784,179,63,36,60,66,35,51,48,23,68,43,69,43
2020,1,100,47,6,2,2,5,7,8,1,1,1,9,2,3,0
2020,2,총,"175,032","59,987","17,445","1,654","6,502","4,035","5,317","17,653","10,684","4,598","13,943","10,130","15,877","7,207"
2020,2,0,"17,601","8,058","2,449",40,300,107,205,"1,408",734,386,"1,279",766,"1,308",561
2020,2,10,"16,640","5,882","1,336",59,460,248,280,"2,118",892,583,"1,610",880,"1,646",646
2020,2,20,"19,226","7,264","1,605",76,584,359,582,"2,234","1,383",489,"1,434","1,009","1,479",728
2020,2,30,"25,186","11,140","3,461",76,506,255,506,"1,915","1,351",534,"1,704","1,179","1,726",833
2020,2,40,"29,778","10,545","2,804",117,813,477,633,"3,522","1,738",843,"2,635","1,687","2,795","1,169"
2020,2,50,"28,789","8,421","2,472",296,"1,420",933,"1,201","3,057","2,303",744,"2,230","1,858","2,518","1,336"
2020,2,60,"20,387","5,095","1,962",448,"1,186",835,"1,087","1,753","1,288",544,"1,700","1,364","2,142",983
2020,2,70,"11,175","2,291",895,305,773,449,514,"1,109",642,292,889,885,"1,519",612
2020,2,80,"5,417","1,105",394,198,394,299,267,482,306,162,388,456,672,294
2020,2,90,786,179,65,37,61,66,34,54,46,21,65,44,69,45
2020,2,100,47,7,2,2,5,7,8,1,1,0,9,2,3,0
2020,3,총,"175,028","59,996","17,463","1,651","6,494","4,012","5,353","17,599","10,664","4,572","13,896","10,122","15,880","7,326"
2020,3,0,"17,595","8,071","2,464",39,295,105,211,"1,400",724,383,"1,260",763,"1,299",581
2020,3,10,"16,614","5,860","1,348",60,453,239,283,"2,105",893,579,"1,624",878,"1,635",657
2020,3,20,"19,144","7,243","1,602",74,582,359,585,"2,212","1,374",482,"1,427",997,"1,464",743
2020,3,30,"25,087","11,106","3,448",74,504,250,508,"1,903","1,345",522,"1,678","1,169","1,722",858
2020,3,40,"29,674","10,547","2,790",117,815,468,632,"3,501","1,719",839,"2,611","1,683","2,776","1,176"
2020,3,50,"28,881","8,438","2,470",296,"1,415",932,"1,214","3,064","2,295",747,"2,247","1,860","2,542","1,361"
2020,3,60,"20,472","5,114","1,974",445,"1,190",839,"1,089","1,763","1,306",544,"1,691","1,379","2,149",989
2020,3,70,"11,245","2,309",907,309,774,447,519,"1,114",644,295,891,887,"1,533",616
2020,3,80,"5,464","1,110",393,197,397,300,271,482,315,160,393,459,686,301
2020,3,90,804,191,65,38,63,66,33,54,48,21,65,45,71,44
2020,3,100,48,7,2,2,6,7,8,1,1,0,9,2,3,0
