년도,월,나이,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020,3,총,"158,477","40,516","5,866","20,407","12,062","14,990","21,155","9,081","22,008","12,392"
2020,3,0,"15,796","3,919",257,"2,343",999,"1,412","2,176",755,"2,559","1,376"
2020,3,10,"15,687","4,069",370,"1,957","1,206","1,381","2,333",938,"2,172","1,261"
2020,3,20,"18,158","4,723",734,"2,093","1,615","1,905","2,479",928,"2,474","1,207"
2020,3,30,"24,498","6,290",814,"3,268","1,641","2,284","2,888","1,223","4,131","1,959"
2020,3,40,"25,730","7,149",830,"3,270","1,995","2,282","3,445","1,419","3,353","1,987"
2020,3,50,"26,563","6,724","1,096","3,315","2,387","2,439","3,930","1,531","3,159","1,982"
2020,3,60,"21,512","5,021","1,136","2,673","1,554","2,121","2,696","1,508","3,065","1,738"
2020,3,70,"7,782","1,897",476,"1,060",462,907,875,585,878,642
2020,3,80,"2,367",611,135,380,177,220,282,167,184,211
2020,3,90,360,106,17,44,25,36,49,26,31,26
2020,3,100,24,7,1,4,1,3,2,1,2,3
2020,4,총,"158,323","40,538","5,858","20,350","11,968","15,054","21,146","9,038","21,997","12,374"
2020,4,0,"15,710","3,896",259,"2,340",979,"1,417","2,181",747,"2,537","1,354"
2020,4,10,"15,702","4,089",369,"1,936","1,202","1,381","2,335",940,"2,181","1,269"
2020,4,20,"18,116","4,697",730,"2,092","1,590","1,917","2,479",928,"2,481","1,202"
2020,4,30,"24,357","6,276",811,"3,223","1,619","2,315","2,869","1,211","4,086","1,947"
2020,4,40,"25,727","7,164",836,"3,251","1,979","2,278","3,449","1,416","3,366","1,988"
2020,4,50,"26,512","6,726","1,088","3,319","2,369","2,440","3,916","1,513","3,160","1,981"
2020,4,60,"21,594","5,055","1,134","2,688","1,556","2,135","2,707","1,500","3,077","1,742"
2020,4,70,"7,843","1,916",477,"1,065",471,910,877,591,887,649
2020,4,80,"2,381",605,137,388,179,223,280,165,190,214
2020,4,90,357,107,16,44,23,35,51,26,30,25
2020,4,100,24,7,1,4,1,3,2,1,2,3
2020,5,총,"158,154","40,485","5,867","20,311","11,928","15,059","21,132","9,050","21,955","12,367"
2020,5,0,"15,640","3,869",259,"2,323",975,"1,413","2,187",746,"2,519","1,349"
2020,5,10,"15,660","4,105",369,"1,929","1,188","1,379","2,314",939,"2,162","1,275"
2020,5,20,"18,086","4,686",735,"2,083","1,578","1,919","2,466",930,"2,494","1,195"
2020,5,30,"24,212","6,211",807,"3,208","1,608","2,304","2,867","1,205","4,063","1,939"
2020,5,40,"25,737","7,172",836,"3,246","1,978","2,277","3,449","1,423","3,362","1,994"
2020,5,50,"26,430","6,693","1,085","3,317","2,368","2,451","3,919","1,510","3,133","1,954"
2020,5,60,"21,711","5,093","1,138","2,693","1,554","2,142","2,712","1,508","3,108","1,763"
2020,5,70,"7,905","1,932",483,"1,072",473,913,887,596,895,654
2020,5,80,"2,386",607,138,392,182,223,277,165,189,213
2020,5,90,363,110,16,44,23,35,52,27,28,28
2020,5,100,24,7,1,4,1,3,2,1,2,3
2020,6,총,"157,973","40,506","5,864","20,230","11,910","15,041","21,103","9,026","21,928","12,365"
2020,6,0,"15,545","3,835",255,"2,291",976,"1,408","2,179",740,"2,515","1,346"
2020,6,10,"15,627","4,104",366,"1,934","1,186","1,375","2,321",927,"2,143","1,271"
2020,6,20,"18,084","4,701",735,"2,076","1,569","1,922","2,459",935,"2,498","1,189"
2020,6,30,"24,033","6,202",804,"3,143","1,593","2,304","2,836","1,192","4,035","1,924"
2020,6,40,"25,771","7,164",837,"3,267","1,983","2,269","3,456","1,415","3,373","2,007"
2020,6,50,"26,302","6,694","1,084","3,304","2,340","2,434","3,886","1,508","3,116","1,936"
2020,6,60,"21,872","5,124","1,148","2,692","1,578","2,154","2,745","1,515","3,124","1,792"
2020,6,70,"7,970","1,955",480,"1,086",481,916,891,603,905,653
2020,6,80,"2,386",612,138,389,181,221,278,164,188,215
2020,6,90,358,108,16,43,22,35,50,26,29,29
2020,6,100,25,7,1,5,1,3,2,1,2,3
2020,7,총,"157,757","40,462","5,839","20,163","11,886","15,053","21,069","9,036","21,899","12,350"
2020,7,0,"15,446","3,797",250,"2,282",965,"1,409","2,158",734,"2,512","1,339"
2020,7,10,"15,596","4,105",364,"1,926","1,188","1,372","2,315",928,"2,123","1,275"
2020,7,20,"18,034","4,677",728,"2,053","1,565","1,926","2,470",936,"2,488","1,191"
2020,7,30,"23,852","6,153",803,"3,111","1,577","2,293","2,808","1,192","4,018","1,897"
2020,7,40,"25,829","7,200",839,"3,264","1,984","2,275","3,441","1,425","3,381","2,020"
2020,7,50,"26,232","6,689","1,073","3,302","2,324","2,429","3,886","1,495","3,106","1,928"
2020,7,60,"21,947","5,137","1,143","2,696","1,597","2,152","2,754","1,523","3,149","1,796"
2020,7,70,"8,026","1,970",486,"1,085",481,934,903,611,901,655
2020,7,80,"2,409",620,136,395,182,225,281,164,189,217
2020,7,90,360,107,16,44,21,35,51,27,30,29
2020,7,100,26,7,1,5,2,3,2,1,2,3
2020,8,총,"157,589","40,425","5,840","20,134","11,864","15,058","21,096","8,991","21,824","12,357"
2020,8,0,"15,346","3,766",246,"2,266",962,"1,407","2,156",726,"2,487","1,330"
2020,8,10,"15,578","4,099",365,"1,930","1,179","1,362","2,325",923,"2,124","1,271"
2020,8,20,"17,963","4,650",731,"2,046","1,555","1,932","2,461",928,"2,469","1,191"
2020,8,30,"23,686","6,099",801,"3,090","1,564","2,283","2,805","1,179","3,973","1,892"
2020,8,40,"25,891","7,224",841,"3,259","1,988","2,288","3,465","1,412","3,381","2,033"
2020,8,50,"26,119","6,677","1,072","3,294","2,311","2,412","3,876","1,477","3,094","1,906"
2020,8,60,"22,131","5,185","1,143","2,714","1,616","2,168","2,768","1,546","3,172","1,819"
2020,8,70,"8,072","1,987",486,"1,092",483,940,908,609,903,664
2020,8,80,"2,420",621,137,396,184,229,280,165,189,219
2020,8,90,358,110,17,43,20,34,50,25,30,29
2020,8,100,25,7,1,4,2,3,2,1,2,3
2020,9,총,"157,396","40,430","5,822","20,050","11,825","15,081","21,072","8,973","21,797","12,346"
2020,9,0,"15,232","3,737",243,"2,231",958,"1,396","2,151",725,"2,472","1,319"
2020,9,10,"15,554","4,105",358,"1,928","1,173","1,366","2,313",920,"2,120","1,271"
2020,9,20,"17,915","4,648",734,"2,041","1,551","1,946","2,435",922,"2,455","1,183"
2020,9,30,"23,541","6,059",791,"3,053","1,546","2,282","2,802","1,173","3,954","1,881"
2020,9,40,"25,913","7,237",834,"3,255","1,975","2,294","3,476","1,405","3,391","2,046"
