년도,월,나이,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020,1,총,"24,271","9,579","2,289","4,038","2,611","4,340","1,414"
2020,1,0,"1,274",785,63,191,68,140,27
2020,1,10,"1,856",987,110,303,118,277,61
2020,1,20,"1,905",909,161,334,151,279,71
2020,1,30,"1,786",947,126,265,137,246,65
2020,1,40,"2,968","1,473",205,534,240,402,114
2020,1,50,"4,286","1,488",476,780,464,812,266
2020,1,60,"4,219","1,259",490,719,542,879,330
2020,1,70,"3,408","1,004",379,538,482,728,277
2020,1,80,"2,238",606,255,335,360,507,175
2020,1,90,316,113,23,39,47,66,28
2020,1,100,15,8,1,0,2,4,0
2020,2,총,"24,230","9,549","2,291","4,033","2,599","4,342","1,416"
2020,2,0,"1,269",775,65,195,67,139,28
2020,2,10,"1,841",975,115,295,120,276,60
2020,2,20,"1,899",907,159,333,153,277,70
2020,2,30,"1,764",931,131,260,131,246,65
2020,2,40,"2,964","1,472",203,526,244,406,113
2020,2,50,"4,279","1,488",474,785,460,811,261
2020,2,60,"4,216","1,257",483,724,537,877,338
2020,2,70,"3,411","1,012",384,533,478,725,279
2020,2,80,"2,252",609,250,342,362,515,174
2020,2,90,320,115,26,40,45,66,28
2020,2,100,15,8,1,0,2,4,0
2020,3,총,"24,178","9,543","2,293","4,021","2,596","4,321","1,404"
2020,3,0,"1,271",779,65,194,69,136,28
2020,3,10,"1,813",967,112,292,120,267,55
2020,3,20,"1,880",901,160,330,152,266,71
2020,3,30,"1,770",942,135,252,127,250,64
2020,3,40,"2,942","1,464",206,520,243,400,109
2020,3,50,"4,255","1,477",464,790,456,808,260
2020,3,60,"4,236","1,262",492,728,533,884,337
2020,3,70,"3,398","1,006",381,532,483,720,276
2020,3,80,"2,268",621,248,342,366,517,174
2020,3,90,328,115,29,41,44,69,30
2020,3,100,17,9,1,0,3,4,0
2020,4,총,"24,127","9,522","2,272","4,029","2,593","4,311","1,400"
2020,4,0,"1,267",776,63,195,67,136,30
2020,4,10,"1,810",964,110,294,123,264,55
2020,4,20,"1,861",895,157,327,151,263,68
2020,4,30,"1,765",934,131,257,126,254,63
2020,4,40,"2,941","1,474",204,520,242,393,108
2020,4,50,"4,243","1,472",462,794,454,807,254
2020,4,60,"4,225","1,259",490,721,529,888,338
2020,4,70,"3,404","1,001",379,540,490,716,278
2020,4,80,"2,262",625,244,335,365,517,176
2020,4,90,333,113,32,46,43,69,30
2020,4,100,16,9,0,0,3,4,0
2020,5,총,"24,089","9,505","2,275","4,024","2,589","4,297","1,399"
2020,5,0,"1,266",776,64,195,66,133,32
2020,5,10,"1,810",968,109,289,122,267,55
2020,5,20,"1,828",881,157,320,151,252,67
2020,5,30,"1,761",923,134,260,129,253,62
2020,5,40,"2,923","1,474",205,511,237,390,106
2020,5,50,"4,236","1,471",456,795,454,807,253
2020,5,60,"4,244","1,257",494,731,529,893,340
2020,5,70,"3,398","1,008",378,536,490,712,274
2020,5,80,"2,276",626,247,341,366,517,179
2020,5,90,331,112,31,46,42,69,31
2020,5,100,16,9,0,0,3,4,0
2020,6,총,"24,042","9,466","2,268","4,040","2,586","4,282","1,400"
2020,6,0,"1,258",771,62,197,65,131,32
2020,6,10,"1,805",970,108,290,120,261,56
2020,6,20,"1,802",875,147,320,149,243,68
2020,6,30,"1,757",917,133,264,130,251,62
2020,6,40,"2,909","1,461",203,511,238,393,103
2020,6,50,"4,225","1,468",460,796,449,796,256
2020,6,60,"4,263","1,250",498,739,533,904,339
2020,6,70,"3,403","1,012",376,535,494,714,272
2020,6,80,"2,275",621,250,342,364,517,181
2020,6,90,327,113,31,46,40,67,30
