년도,월,나이,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020,3,총,"27,713","12,076","2,948","2,390","2,543","3,074","4,682"
2020,3,0,"1,379",857,90,80,70,87,195
2020,3,10,"1,928","1,137",183,117,103,131,257
2020,3,20,"2,392","1,194",228,202,159,171,438
2020,3,30,"2,368","1,246",188,157,181,239,357
2020,3,40,"3,563","1,868",336,264,244,317,534
2020,3,50,"5,083","2,060",551,467,507,541,957
2020,3,60,"5,241","1,840",630,473,602,703,993
2020,3,70,"3,687","1,210",484,393,439,527,634
2020,3,80,"1,743",552,223,208,203,292,265
2020,3,90,314,110,35,24,33,62,50
2020,3,100,15,2,0,5,2,4,2
2020,4,총,"27,710","12,109","2,943","2,374","2,550","3,064","4,670"
2020,4,0,"1,378",860,88,77,73,87,193
2020,4,10,"1,915","1,133",176,118,104,133,251
2020,4,20,"2,390","1,199",233,196,159,168,435
2020,4,30,"2,365","1,247",188,155,173,241,361
2020,4,40,"3,544","1,866",331,267,245,310,525
2020,4,50,"5,076","2,076",550,459,504,535,952
2020,4,60,"5,267","1,849",635,471,610,709,993
2020,4,70,"3,675","1,202",476,396,439,523,639
2020,4,80,"1,770",568,229,205,208,295,265
2020,4,90,315,107,37,25,33,59,54
2020,4,100,15,2,0,5,2,4,2
2020,5,총,"27,787","12,242","2,905","2,368","2,532","3,071","4,669"
2020,5,0,"1,380",871,78,71,75,87,198
2020,5,10,"1,912","1,140",178,112,98,135,249
2020,5,20,"2,390","1,204",222,200,156,168,440
2020,5,30,"2,379","1,265",183,153,175,243,360
2020,5,40,"3,551","1,887",325,262,240,317,520
2020,5,50,"5,094","2,113",545,458,496,534,948
2020,5,60,"5,305","1,878",633,478,610,705,"1,001"
2020,5,70,"3,670","1,205",471,395,436,528,635
2020,5,80,"1,776",571,233,209,210,290,263
2020,5,90,314,106,37,25,33,60,53
