년도,월,나이,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020,1,총,"139,582","8,232","17,058","6,613","8,866","8,511","23,742","9,069","6,573","4,620","4,022","7,169","3,673","6,913","7,591","4,540","7,484","4,906"
2020,1,0,"9,540",339,"1,446",521,572,"1,002","1,860",757,301,300,243,387,160,303,434,199,484,232
2020,1,10,"11,663",494,"1,591",424,752,723,"2,633",873,468,348,400,493,256,458,661,185,624,280
2020,1,20,"16,634","1,582","2,996",629,"1,251",917,"2,378",793,672,468,411,714,325,612,848,711,840,487
2020,1,30,"15,999",914,"2,304",925,"1,105","1,313","2,488","1,002",557,561,374,736,325,672,762,625,892,444
2020,1,40,"21,477","1,018","2,921",879,"1,360","1,422","4,301","1,521",863,676,644,979,504,896,"1,153",527,"1,177",636
2020,1,50,"22,785","1,236","2,514","1,073","1,305","1,225","4,095","1,488","1,171",733,711,"1,251",611,"1,181","1,336",676,"1,290",889
2020,1,60,"21,490","1,353","1,756","1,065","1,299","1,056","3,157","1,449","1,349",860,657,"1,334",733,"1,458","1,173",689,"1,150",952
2020,1,70,"13,493",906,"1,001",760,847,566,"1,877",775,823,463,412,882,526,867,839,591,689,669
2020,1,80,"5,549",332,443,293,332,244,806,341,319,175,144,336,211,374,340,290,298,271
2020,1,90,849,51,72,37,38,37,142,63,43,31,25,45,20,84,41,40,38,42
2020,1,100,103,7,14,7,5,6,5,7,7,5,1,12,2,8,4,7,2,4
2020,2,총,"139,229","8,174","17,088","6,608","8,856","8,434","23,694","9,039","6,581","4,595","3,991","7,106","3,671","6,908","7,574","4,530","7,484","4,896"
2020,2,0,"9,442",333,"1,441",521,566,"1,000","1,841",747,303,288,236,375,162,296,434,191,481,227
2020,2,10,"11,638",506,"1,612",421,751,720,"2,625",867,466,345,399,472,253,463,652,185,621,280
2020,2,20,"16,584","1,582","2,998",624,"1,250",916,"2,360",797,676,465,402,719,320,604,844,703,840,484
2020,2,30,"15,833",888,"2,304",925,"1,088","1,299","2,454",987,552,546,367,726,330,669,744,624,890,440
2020,2,40,"21,453","1,023","2,938",874,"1,363","1,406","4,320","1,511",858,679,632,964,502,894,"1,156",529,"1,162",642
2020,2,50,"22,644","1,209","2,498","1,071","1,291","1,217","4,062","1,494","1,178",727,717,"1,233",597,"1,174","1,333",672,"1,291",880
2020,2,60,"21,565","1,348","1,755","1,068","1,308","1,039","3,192","1,452","1,347",868,656,"1,338",743,"1,462","1,184",695,"1,155",955
2020,2,70,"13,519",899,"1,004",763,857,560,"1,883",770,830,466,412,887,532,867,837,586,701,665
2020,2,80,"5,590",330,451,297,335,234,811,346,318,175,144,335,207,385,344,299,302,277
2020,2,90,853,48,73,37,42,36,140,60,46,30,25,45,23,86,42,39,39,42
2020,2,100,108,8,14,7,5,7,6,8,7,6,1,12,2,8,4,7,2,4
2020,3,총,"139,028","8,152","17,162","6,600","8,918","8,312","23,668","9,008","6,553","4,598","3,969","7,083","3,656","6,918","7,565","4,509","7,495","4,862"
2020,3,0,"9,357",321,"1,428",523,567,988,"1,822",743,295,279,239,373,158,304,434,181,480,222
2020,3,10,"11,622",509,"1,625",415,749,718,"2,626",862,466,349,390,474,245,467,648,181,620,278
2020,3,20,"16,664","1,600","3,049",625,"1,283",901,"2,376",786,672,460,398,710,324,605,843,699,850,483
2020,3,30,"15,672",880,"2,304",922,"1,092","1,262","2,419",989,540,543,369,711,325,657,734,618,875,432
2020,3,40,"21,392","1,008","2,945",878,"1,371","1,389","4,320","1,501",847,683,625,957,493,901,"1,152",526,"1,164",632
2020,3,50,"22,555","1,202","2,501","1,062","1,278","1,200","4,047","1,479","1,180",729,703,"1,222",604,"1,170","1,335",671,"1,297",875
2020,3,60,"21,642","1,343","1,764","1,062","1,325","1,032","3,211","1,465","1,348",877,661,"1,346",744,"1,461","1,194",697,"1,158",954
2020,3,70,"13,536",899,"1,001",762,867,551,"1,890",770,834,468,413,887,534,876,833,586,701,664
2020,3,80,"5,610",336,456,305,337,224,808,345,319,174,143,345,205,381,344,302,309,277
2020,3,90,868,46,76,37,44,40,143,60,45,29,27,46,22,88,44,41,39,41
2020,3,100,110,8,13,9,5,7,6,8,7,7,1,12,2,8,4,7,2,4
2020,4,총,"138,640","8,116","17,094","6,611","8,922","8,193","23,625","8,969","6,532","4,606","3,983","7,080","3,646","6,895","7,541","4,497","7,518","4,812"
2020,4,0,"9,289",312,"1,411",528,565,964,"1,809",732,288,278,243,375,156,302,435,180,491,220
2020,4,10,"11,560",503,"1,615",415,751,713,"2,614",858,465,351,384,470,244,471,642,180,610,274
2020,4,20,"16,630","1,601","3,039",619,"1,300",891,"2,379",773,675,457,410,700,320,599,844,690,858,475
2020,4,30,"15,507",873,"2,285",917,"1,068","1,236","2,396",985,533,535,368,717,318,641,726,616,875,418
2020,4,40,"21,371",993,"2,953",875,"1,378","1,382","4,310","1,496",845,687,626,956,494,911,"1,157",532,"1,157",619
2020,4,50,"22,444","1,197","2,482","1,066","1,277","1,178","4,045","1,468","1,179",735,698,"1,211",605,"1,155","1,323",662,"1,298",865
2020,4,60,"21,652","1,345","1,767","1,062","1,319","1,013","3,225","1,474","1,335",877,666,"1,359",745,"1,458","1,187",699,"1,172",949
2020,4,70,"13,557",903,997,768,870,545,"1,887",766,841,477,415,884,534,880,837,585,704,664
2020,4,80,"5,646",335,455,313,345,226,810,346,319,173,144,349,206,383,342,305,312,283
2020,4,90,874,46,77,39,44,38,144,63,45,29,28,47,22,87,44,41,39,41
2020,4,100,110,8,13,9,5,7,6,8,7,7,1,12,2,8,4,7,2,4
2020,5,총,"138,459","8,121","17,119","6,605","8,897","8,147","23,582","8,989","6,526","4,610","3,979","7,049","3,638","6,891","7,508","4,505","7,515","4,778"
2020,5,0,"9,231",308,"1,406",529,557,964,"1,816",728,283,267,241,367,156,298,426,178,491,216
2020,5,10,"11,508",502,"1,605",409,748,709,"2,601",865,455,356,384,464,243,468,638,183,609,269
2020,5,20,"16,680","1,625","3,089",623,"1,300",893,"2,366",776,678,458,411,695,314,602,831,682,858,479
2020,5,30,"15,408",871,"2,269",911,"1,051","1,214","2,375",985,535,538,366,702,318,638,719,626,878,412
2020,5,40,"21,307",985,"2,936",882,"1,381","1,389","4,287","1,496",836,685,624,959,496,911,"1,147",531,"1,144",618
2020,5,50,"22,384","1,189","2,474","1,057","1,267","1,164","4,045","1,475","1,177",741,700,"1,208",598,"1,149","1,319",670,"1,296",855
2020,5,60,"21,677","1,345","1,789","1,068","1,325","1,002","3,227","1,473","1,342",878,659,"1,356",747,"1,458","1,195",693,"1,179",941
2020,5,70,"13,603",905,"1,000",769,873,544,"1,897",768,846,475,419,890,536,888,832,586,710,665
2020,5,80,"5,666",336,457,310,344,223,819,350,322,176,144,351,206,383,349,308,309,279
2020,5,90,885,46,82,38,46,38,143,65,45,29,30,45,22,88,48,41,39,40
2020,5,100,110,9,12,9,5,7,6,8,7,7,1,12,2,8,4,7,2,4
2020,6,총,"138,170","8,106","17,101","6,599","8,881","8,133","23,547","8,959","6,525","4,617","3,963","7,003","3,638","6,884","7,471","4,496","7,518","4,729"
2020,6,0,"9,178",310,"1,402",525,556,961,"1,797",724,276,268,236,359,156,297,426,178,491,216
2020,6,10,"11,432",492,"1,591",411,741,702,"2,581",865,462,354,381,466,242,465,629,187,604,259
