년도,월,나이,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020,1,총,"215,885","14,904","35,932","13,226","11,058","5,711","12,718","14,396","4,476","4,866","2,717","17,383","53,670","14,536","10,292"
2020,1,0,"19,870","1,069","3,625","1,037",813,335,"1,343","1,323",166,203,78,"1,039","7,213","1,000",626
2020,1,10,"22,524","1,438","4,608","1,009",866,310,"1,005","1,256",258,243,128,"1,617","7,989",968,829
2020,1,20,"28,889","1,601","4,674","1,631","1,316",652,"1,869","2,374",423,433,202,"2,816","6,489","2,863","1,546"
2020,1,30,"30,754","1,584","5,305","1,755","1,224",659,"2,170","2,549",368,394,151,"2,274","8,591","2,336","1,394"
2020,1,40,"34,930","2,095","6,793","1,937","1,634",746,"1,788","2,128",504,523,264,"2,619","10,469","1,903","1,527"
2020,1,50,"34,966","2,596","5,366","2,510","2,155","1,103","1,859","2,000",910,962,482,"3,148","7,558","2,368","1,949"
2020,1,60,"23,787","2,240","3,142","1,876","1,579",972,"1,417","1,434",908,975,623,"2,246","3,219","1,740","1,416"
2020,1,70,"12,800","1,402","1,564",960,911,579,804,875,541,672,400,"1,114","1,379",910,689
2020,1,80,"6,403",778,754,426,475,306,394,381,354,397,338,458,674,390,278
2020,1,90,897,92,96,79,81,48,64,72,41,57,47,46,86,53,35
2020,1,100,65,9,5,6,4,1,5,4,3,7,4,6,3,5,3
2020,2,총,"215,869","14,833","35,884","13,222","11,043","5,705","12,826","14,436","4,467","4,872","2,687","17,346","53,735","14,521","10,292"
2020,2,0,"19,765","1,044","3,581","1,029",812,335,"1,372","1,310",164,206,72,"1,046","7,180",991,623
2020,2,10,"22,375","1,422","4,594",990,855,301,984,"1,265",264,243,123,"1,597","7,950",955,832
2020,2,20,"28,814","1,584","4,658","1,607","1,302",650,"1,864","2,379",414,428,198,"2,791","6,546","2,857","1,536"
2020,2,30,"30,708","1,576","5,269","1,755","1,224",653,"2,184","2,565",370,403,148,"2,258","8,582","2,333","1,388"
2020,2,40,"34,987","2,089","6,813","1,946","1,627",746,"1,830","2,121",502,517,256,"2,644","10,481","1,894","1,521"
2020,2,50,"34,980","2,581","5,381","2,512","2,146","1,106","1,875","2,009",901,962,480,"3,113","7,593","2,371","1,950"
2020,2,60,"24,012","2,259","3,171","1,894","1,603",985,"1,437","1,450",914,970,625,"2,270","3,250","1,755","1,429"
2020,2,70,"12,797","1,397","1,556",972,916,569,808,875,540,671,395,"1,113","1,380",911,694
2020,2,80,"6,449",778,757,432,472,311,398,386,353,404,339,462,681,395,281
2020,2,90,919,94,99,79,82,48,69,71,43,61,47,48,89,54,35
2020,2,100,63,9,5,6,4,1,5,5,2,7,4,4,3,5,3
2020,3,총,"216,404","14,826","35,993","13,274","11,078","5,709","12,948","14,472","4,441","4,837","2,691","17,385","53,826","14,606","10,318"
2020,3,0,"19,688","1,029","3,560","1,045",825,333,"1,388","1,294",157,198,71,"1,046","7,155",979,608
2020,3,10,"22,289","1,415","4,603",982,849,302,954,"1,265",264,235,122,"1,595","7,912",964,827
2020,3,20,"29,129","1,581","4,732","1,615","1,302",642,"1,914","2,426",408,426,200,"2,796","6,620","2,929","1,538"
2020,3,30,"30,760","1,566","5,276","1,751","1,243",664,"2,213","2,564",366,398,146,"2,264","8,573","2,339","1,397"
2020,3,40,"34,958","2,083","6,805","1,958","1,621",737,"1,842","2,114",497,514,261,"2,642","10,479","1,894","1,511"
2020,3,50,"34,999","2,575","5,400","2,503","2,146","1,109","1,887","2,007",893,939,471,"3,115","7,640","2,360","1,954"
2020,3,60,"24,263","2,287","3,189","1,914","1,613",991,"1,458","1,465",921,978,640,"2,291","3,283","1,770","1,463"
2020,3,70,"12,837","1,399","1,559",980,917,571,813,876,543,675,392,"1,116","1,389",910,697
2020,3,80,"6,503",788,768,439,474,309,407,385,351,404,337,467,685,405,284
2020,3,90,913,93,96,80,84,50,66,71,39,63,47,49,88,51,36
2020,3,100,65,10,5,7,4,1,6,5,2,7,4,4,2,5,3
2020,4,총,"216,844","14,824","36,061","13,332","11,097","5,719","13,027","14,523","4,454","4,833","2,692","17,342","53,941","14,701","10,298"
2020,4,0,"19,602","1,021","3,530","1,047",824,333,"1,397","1,287",156,198,71,"1,027","7,123",985,603
2020,4,10,"22,247","1,415","4,588",980,850,303,941,"1,259",266,236,123,"1,588","7,910",961,827
2020,4,20,"29,380","1,586","4,817","1,630","1,293",642,"1,921","2,483",405,425,201,"2,789","6,700","2,967","1,521"
2020,4,30,"30,758","1,571","5,260","1,768","1,248",661,"2,232","2,576",366,397,144,"2,238","8,559","2,354","1,384"
2020,4,40,"34,948","2,083","6,803","1,952","1,630",733,"1,855","2,112",503,510,262,"2,636","10,450","1,907","1,512"
2020,4,50,"35,081","2,571","5,415","2,513","2,153","1,113","1,907","2,003",894,931,465,"3,102","7,700","2,357","1,957"
2020,4,60,"24,434","2,285","3,211","1,932","1,620","1,004","1,473","1,461",927,987,644,"2,313","3,323","1,783","1,471"
2020,4,70,"12,856","1,399","1,562",979,913,568,823,876,546,669,396,"1,116","1,392",921,696
2020,4,80,"6,545",791,772,441,477,311,407,389,349,411,335,479,690,409,284
2020,4,90,927,92,97,83,85,50,65,72,40,62,47,50,92,52,40
2020,4,100,66,10,6,7,4,1,6,5,2,7,4,4,2,5,3
2020,5,총,"217,547","14,812","36,037","13,345","11,127","6,030","13,377","14,514","4,454","4,805","2,693","17,323","53,991","14,731","10,308"
2020,5,0,"19,516","1,012","3,491","1,050",824,331,"1,393","1,285",156,197,71,"1,033","7,096",982,595
2020,5,10,"22,757","1,408","4,563",968,851,570,"1,250","1,253",263,233,123,"1,583","7,895",967,830
