년도,월,나이,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020,1,총,"219,263","2,110","12,158","2,025","10,173","10,766","4,965","5,811","4,337","4,169","9,343","3,354","14,157","3,548","14,208","18,943","11,158","12,885","18,855","8,775","13,754","15,169","6,260","12,340"
2020,1,0,"17,164",67,"1,268",89,"1,203",924,140,321,154,153,672,105,"1,080",190,"1,294","2,300",743,837,"1,478",527,874,"1,212",359,"1,174"
2020,1,10,"21,666",122,"1,050",100,"1,104","1,205",242,484,244,236,600,188,"1,483",230,"1,715","1,544",832,"1,285","2,593",879,"1,238","2,332",348,"1,612"
2020,1,20,"27,513",220,"1,361",213,"1,065","1,149",468,746,"1,020",525,"1,081",789,"1,826",347,"1,432","1,947","1,754","1,754","2,477","1,096","2,002","1,951",681,"1,609"
2020,1,30,"26,388",175,"1,957",197,"1,607","1,319",327,565,447,406,"1,079",366,"1,682",400,"1,742","3,368","1,221","1,420","1,902",793,"1,523","1,588",759,"1,545"
2020,1,40,"37,667",222,"1,973",219,"1,928","1,933",555,866,481,491,"1,297",387,"2,443",448,"2,890","3,119","1,688","2,136","3,980","1,447","2,189","3,636",783,"2,556"
2020,1,50,"38,780",395,"1,720",460,"1,382","1,755",983,"1,232",677,825,"1,557",631,"2,647",695,"2,127","3,134","2,196","2,491","3,512","1,797","2,902","2,474","1,251","1,937"
2020,1,60,"25,817",438,"1,341",401,996,"1,217","1,089",853,637,809,"1,439",477,"1,667",647,"1,667","1,978","1,396","1,635","1,463","1,206","1,543",880,"1,141",897
2020,1,70,"15,730",287,930,227,592,817,767,491,442,496,"1,030",280,824,392,928,"1,043",830,892,914,624,904,705,677,638
2020,1,80,"7,479",149,479,96,259,399,363,221,206,202,493,119,422,182,368,449,430,375,471,368,511,363,229,325
2020,1,90,993,32,68,22,35,44,28,32,25,26,86,12,77,16,44,58,64,59,65,36,65,28,26,45
2020,1,100,66,3,11,1,2,4,3,0,4,0,9,0,6,1,1,3,4,1,0,2,3,0,6,2
2020,2,총,"218,996","2,107","12,202","2,018","10,189","10,768","4,968","5,790","4,327","4,175","9,304","3,373","14,108","3,522","14,197","18,984","11,152","12,863","18,832","8,747","13,749","15,139","6,175","12,307"
2020,2,0,"17,089",68,"1,271",87,"1,209",921,136,318,156,155,667,103,"1,055",186,"1,286","2,305",737,826,"1,470",525,872,"1,210",353,"1,173"
