년도,월,나이,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020,3,총,"118,266","8,605","13,946","4,231","4,364","3,091","3,676","3,645","6,212","2,507","6,467","3,544","4,006","2,323","34,920","16,729"
2020,3,0,"7,563",383,922,109,128,133,86,90,212,61,424,67,103,60,"3,427","1,358"
2020,3,10,"10,129",732,"1,134",188,246,157,175,182,328,113,424,140,218,151,"3,987","1,954"
2020,3,20,"11,834",754,"1,385",323,316,218,234,284,428,123,474,239,459,153,"4,542","1,902"
2020,3,30,"11,281",609,"1,345",262,264,235,226,226,373,130,579,195,254,141,"4,729","1,713"
2020,3,40,"15,874","1,039","1,724",388,446,327,438,375,601,254,696,327,451,232,"5,893","2,683"
2020,3,50,"20,207","1,556","2,302",729,814,493,695,723,"1,237",450,"1,118",619,759,388,"5,409","2,915"
2020,3,60,"19,311","1,624","2,325",916,939,643,832,786,"1,405",598,"1,138",862,785,518,"3,762","2,178"
2020,3,70,"12,819","1,138","1,591",725,686,489,552,558,940,446,900,618,532,376,"2,007","1,261"
2020,3,80,"8,019",643,"1,058",529,478,346,383,363,590,272,616,410,381,256,"1,017",677
2020,3,90,"1,143",111,151,61,45,47,50,54,92,54,93,63,59,45,135,83
2020,3,100,86,16,9,1,2,3,5,4,6,6,5,4,5,3,12,5
2020,4,총,"118,032","8,561","13,942","4,217","4,351","3,073","3,673","3,625","6,182","2,489","6,454","3,517","4,013","2,297","34,917","16,721"
2020,4,0,"7,546",378,931,113,126,128,86,86,204,62,421,67,105,55,"3,424","1,360"
2020,4,10,"10,084",724,"1,129",184,251,157,176,180,327,105,423,139,219,147,"3,978","1,945"
2020,4,20,"11,736",737,"1,367",317,309,210,234,279,419,121,474,235,462,147,"4,544","1,881"
2020,4,30,"11,194",603,"1,337",257,262,232,225,219,366,129,577,183,252,134,"4,713","1,705"
2020,4,40,"15,836","1,025","1,726",385,442,323,437,372,602,250,690,324,456,229,"5,877","2,698"
2020,4,50,"20,147","1,558","2,302",725,803,491,695,717,"1,224",442,"1,108",616,751,380,"5,410","2,925"
2020,4,60,"19,365","1,625","2,330",918,948,644,830,786,"1,416",606,"1,140",859,787,523,"3,780","2,173"
2020,4,70,"12,832","1,138","1,597",724,686,486,546,562,936,444,900,617,534,376,"2,020","1,266"
2020,4,80,"8,052",643,"1,061",534,477,349,389,366,590,274,623,411,381,256,"1,021",677
2020,4,90,"1,152",114,152,59,45,49,50,54,92,50,93,62,61,47,139,85
2020,4,100,88,16,10,1,2,4,5,4,6,6,5,4,5,3,11,6
2020,5,총,"117,812","8,532","13,913","4,207","4,348","3,052","3,650","3,609","6,168","2,470","6,453","3,510","4,018","2,290","34,905","16,687"
2020,5,0,"7,510",382,931,112,123,123,83,84,202,62,418,65,107,55,"3,409","1,354"
2020,5,10,"10,030",714,"1,125",183,251,151,174,173,327,103,427,139,220,149,"3,970","1,924"
2020,5,20,"11,666",738,"1,356",312,308,210,230,277,403,119,472,231,448,146,"4,540","1,876"
2020,5,30,"11,099",595,"1,327",248,260,227,226,210,361,123,565,182,253,133,"4,701","1,688"
2020,5,40,"15,792","1,015","1,728",384,437,314,424,372,595,247,692,320,460,224,"5,878","2,702"
2020,5,50,"20,093","1,551","2,290",714,804,493,695,716,"1,227",440,"1,100",612,755,379,"5,389","2,928"
2020,5,60,"19,434","1,626","2,339",927,950,638,830,790,"1,422",608,"1,156",865,791,524,"3,804","2,164"
2020,5,70,"12,885","1,140","1,599",728,690,496,546,562,942,438,899,621,538,375,"2,033","1,278"
2020,5,80,"8,057",644,"1,057",540,479,348,388,367,590,274,624,408,378,255,"1,022",683
2020,5,90,"1,158",111,152,58,44,48,49,54,93,50,95,63,63,47,146,85
2020,5,100,88,16,9,1,2,4,5,4,6,6,5,4,5,3,13,5
2020,6,총,"117,696","8,512","13,890","4,190","4,345","3,048","3,639","3,613","6,154","2,480","6,433","3,503","4,015","2,296","34,915","16,663"
2020,6,0,"7,470",379,924,111,121,123,80,86,198,61,415,64,107,57,"3,403","1,341"
2020,6,10,"9,998",699,"1,125",184,246,149,172,172,326,106,427,138,217,148,"3,965","1,924"
2020,6,20,"11,594",741,"1,341",306,309,205,234,275,398,115,463,239,439,146,"4,514","1,869"
2020,6,30,"11,097",594,"1,328",244,262,233,221,215,353,125,565,177,255,135,"4,704","1,686"
2020,6,40,"15,741","1,013","1,724",380,435,314,418,371,589,247,683,317,453,220,"5,879","2,698"
2020,6,50,"20,035","1,538","2,277",708,800,484,696,712,"1,227",445,"1,096",603,760,381,"5,392","2,916"
2020,6,60,"19,553","1,635","2,343",931,952,645,826,799,"1,431",610,"1,160",873,799,525,"3,838","2,186"
2020,6,70,"12,904","1,144","1,603",726,693,496,552,558,942,441,900,619,535,379,"2,038","1,278"
2020,6,80,"8,051",640,"1,059",540,480,348,386,368,590,274,626,405,382,255,"1,022",676
2020,6,90,"1,166",113,157,59,45,47,49,53,94,50,93,64,63,47,147,85
2020,6,100,87,16,9,1,2,4,5,4,6,6,5,4,5,3,13,4
2020,7,총,"117,520","8,492","13,846","4,177","4,327","3,057","3,644","3,630","6,149","2,485","6,393","3,498","4,001","2,291","34,905","16,625"
2020,7,0,"7,430",366,923,111,119,124,78,91,194,61,413,62,107,56,"3,394","1,331"
2020,7,10,"9,974",698,"1,114",184,246,151,177,167,330,108,416,136,216,147,"3,954","1,930"
2020,7,20,"11,550",739,"1,334",299,301,207,229,278,391,115,461,243,435,141,"4,525","1,852"
2020,7,30,"11,043",586,"1,329",244,262,235,222,217,350,122,558,171,254,136,"4,675","1,682"
2020,7,40,"15,692","1,012","1,714",375,426,311,407,371,588,248,677,323,448,222,"5,877","2,693"
2020,7,50,"19,978","1,525","2,250",701,799,484,712,710,"1,228",449,"1,092",594,757,381,"5,404","2,892"
2020,7,60,"19,591","1,643","2,353",938,949,641,818,808,"1,435",610,"1,150",875,799,525,"3,862","2,185"
2020,7,70,"12,978","1,157","1,609",730,700,502,561,564,944,440,906,618,532,381,"2,040","1,294"
2020,7,80,"8,035",638,"1,054",535,480,350,384,366,592,275,625,407,384,252,"1,017",676
2020,7,90,"1,162",112,157,59,43,48,51,54,90,51,90,65,64,47,145,86
2020,7,100,87,16,9,1,2,4,5,4,7,6,5,4,5,3,12,4
2020,8,총,"117,340","8,472","13,833","4,171","4,304","3,067","3,634","3,603","6,144","2,482","6,355","3,495","3,979","2,283","34,923","16,595"
2020,8,0,"7,395",360,911,115,114,126,83,89,191,64,407,61,104,56,"3,390","1,324"
2020,8,10,"9,931",692,"1,115",185,242,149,168,157,330,107,412,137,213,145,"3,968","1,911"
2020,8,20,"11,512",740,"1,329",296,304,209,226,281,390,116,453,246,432,143,"4,512","1,835"
2020,8,30,"10,966",569,"1,321",246,257,234,227,216,343,121,566,170,247,130,"4,637","1,682"
2020,8,40,"15,668","1,017","1,712",367,421,305,405,363,579,252,668,321,449,219,"5,903","2,687"
2020,8,50,"19,909","1,527","2,241",696,797,493,709,692,"1,226",441,"1,076",596,754,381,"5,409","2,871"
2020,8,60,"19,649","1,640","2,362",935,945,643,813,815,"1,446",610,"1,156",875,799,526,"3,870","2,214"
2020,8,70,"13,032","1,167","1,623",738,705,505,562,567,951,440,901,612,535,376,"2,050","1,300"
2020,8,80,"8,026",632,"1,053",532,476,351,384,365,587,274,622,409,379,258,"1,024",680
2020,8,90,"1,163",112,157,60,41,48,51,54,94,51,89,64,62,46,148,86
2020,8,100,89,16,9,1,2,4,6,4,7,6,5,4,5,3,12,5
2020,9,총,"117,226","8,441","13,809","4,179","4,291","3,058","3,627","3,593","6,147","2,510","6,342","3,481","3,970","2,272","34,962","16,544"
2020,9,0,"7,340",352,906,117,117,126,77,92,193,62,400,61,104,55,"3,371","1,307"
2020,9,10,"9,939",689,"1,114",183,239,149,171,155,330,131,416,134,209,143,"3,969","1,907"
2020,9,20,"11,515",743,"1,316",300,305,207,226,274,380,119,448,245,432,145,"4,549","1,826"
2020,9,30,"10,902",567,"1,319",245,253,231,222,215,339,119,565,169,247,130,"4,617","1,664"
2020,9,40,"15,582","1,007","1,702",365,417,306,403,360,573,251,666,316,443,219,"5,889","2,665"
2020,9,50,"19,839","1,514","2,221",703,784,483,698,685,"1,225",444,"1,067",595,743,373,"5,423","2,881"
2020,9,60,"19,767","1,647","2,384",933,953,644,827,819,"1,462",606,"1,162",870,807,531,"3,898","2,224"
2020,9,70,"13,030","1,164","1,625",732,699,510,559,570,955,444,899,613,542,372,"2,050","1,296"
2020,9,80,"8,037",629,"1,053",539,479,347,386,361,591,274,622,409,375,253,"1,034",685
2020,9,90,"1,184",113,160,60,42,51,52,58,92,54,92,65,63,48,150,84
2020,9,100,91,16,9,2,3,4,6,4,7,6,5,4,5,3,12,5
2020,10,총,"117,030","8,407","13,785","4,186","4,273","3,044","3,620","3,593","6,143","2,504","6,321","3,483","3,973","2,273","34,956","16,469"
2020,10,0,"7,304",348,901,119,111,121,72,90,195,63,394,60,104,61,"3,379","1,286"
2020,10,10,"9,911",677,"1,117",182,236,149,167,158,327,131,421,134,201,141,"3,978","1,892"
2020,10,20,"11,445",730,"1,323",296,302,205,228,269,384,118,445,241,437,145,"4,513","1,809"
2020,10,30,"10,874",572,"1,309",251,253,226,220,216,339,119,567,173,244,128,"4,620","1,637"
2020,10,40,"15,495",997,"1,694",366,410,305,395,357,564,247,656,316,442,215,"5,881","2,650"
2020,10,50,"19,803","1,503","2,204",704,785,481,707,679,"1,226",439,"1,065",590,741,375,"5,426","2,878"
2020,10,60,"19,852","1,661","2,393",932,951,647,825,830,"1,470",606,"1,161",876,808,529,"3,916","2,247"
2020,10,70,"13,030","1,163","1,623",733,701,509,557,572,948,443,895,615,546,375,"2,045","1,305"
2020,10,80,"8,034",632,"1,050",539,477,344,389,360,589,276,617,409,381,252,"1,041",678
2020,10,90,"1,191",108,162,62,44,53,54,58,94,56,95,65,64,49,145,82
2020,10,100,91,16,9,2,3,4,6,4,7,6,5,4,5,3,12,5
2020,11,총,"116,888","8,384","13,769","4,177","4,269","3,042","3,624","3,570","6,143","2,495","6,308","3,469","3,965","2,272","34,966","16,435"
2020,11,0,"7,283",347,900,122,110,118,75,83,197,65,390,59,101,62,"3,362","1,292"
2020,11,10,"9,887",675,"1,112",183,239,152,169,156,333,130,421,132,201,141,"3,974","1,869"
2020,11,20,"11,424",718,"1,333",288,301,201,229,266,379,120,446,238,436,145,"4,517","1,807"
2020,11,30,"10,825",570,"1,297",252,250,227,222,210,343,118,551,169,242,130,"4,612","1,632"
2020,11,40,"15,426",994,"1,684",364,405,305,398,353,566,242,654,316,442,214,"5,866","2,623"
2020,11,50,"19,752","1,487","2,191",700,783,479,699,677,"1,221",435,"1,076",589,732,368,"5,442","2,873"
2020,11,60,"19,933","1,672","2,405",935,959,651,829,829,"1,467",608,"1,157",873,818,536,"3,933","2,261"
2020,11,70,"13,052","1,167","1,627",731,703,505,556,566,951,441,896,617,542,370,"2,071","1,309"
2020,11,80,"8,033",634,"1,048",537,475,347,387,368,588,275,619,407,382,253,"1,032",681
2020,11,90,"1,183",104,163,63,42,52,54,58,91,55,93,65,64,50,146,83
2020,11,100,90,16,9,2,2,5,6,4,7,6,5,4,5,3,11,5
2020,12,총,"116,675","8,375","13,732","4,173","4,243","3,020","3,622","3,576","6,137","2,477","6,217","3,439","3,978","2,274","35,004","16,408"
2020,12,0,"7,232",342,898,120,106,111,78,87,194,65,370,57,106,66,"3,358","1,274"
2020,12,10,"9,806",672,"1,100",182,239,148,168,155,329,110,421,129,194,140,"3,947","1,872"
2020,12,20,"11,387",720,"1,330",290,298,197,226,262,379,120,435,232,443,145,"4,527","1,783"
2020,12,30,"10,764",568,"1,292",243,245,218,223,210,345,116,517,164,250,131,"4,613","1,629"
2020,12,40,"15,403",982,"1,680",366,404,303,397,358,569,242,641,314,445,208,"5,873","2,621"
2020,12,50,"19,703","1,491","2,185",695,772,482,691,671,"1,213",436,"1,075",587,719,368,"5,456","2,862"
2020,12,60,"20,007","1,673","2,397",944,958,650,836,831,"1,478",613,"1,150",873,822,538,"3,960","2,284"
2020,12,70,"13,047","1,169","1,622",727,703,507,557,569,946,439,891,608,550,371,"2,075","1,313"
2020,12,80,"8,050",635,"1,056",543,475,348,385,370,586,276,621,405,379,251,"1,040",680
2020,12,90,"1,183",107,162,61,41,51,55,59,90,54,91,66,65,52,144,85
2020,12,100,93,16,10,2,2,5,6,4,8,6,5,4,5,4,11,5
2021,1,총,"116,587","8,334","13,732","4,174","4,239","3,007","3,606","3,554","6,120","2,472","6,315","3,437","3,967","2,270","35,006","16,354"
2021,1,0,"7,211",334,896,125,104,109,76,85,192,64,391,55,103,67,"3,341","1,269"
2021,1,10,"9,766",656,"1,111",184,237,141,169,153,324,105,421,126,197,133,"3,943","1,866"
2021,1,20,"11,348",714,"1,320",285,294,193,222,263,370,119,471,226,434,147,"4,504","1,786"
2021,1,30,"10,744",566,"1,286",245,244,219,216,200,344,113,546,169,251,132,"4,603","1,610"
2021,1,40,"15,333",961,"1,695",369,406,301,390,356,555,247,648,309,442,207,"5,874","2,573"
2021,1,50,"19,619","1,478","2,161",685,756,483,688,654,"1,211",436,"1,075",585,714,367,"5,455","2,871"
2021,1,60,"20,127","1,694","2,406",944,969,651,835,842,"1,484",611,"1,148",874,826,544,"3,988","2,311"
2021,1,70,"13,070","1,167","1,619",725,706,507,559,568,953,444,898,612,551,364,"2,094","1,303"
2021,1,80,"8,081",638,"1,064",549,480,347,387,371,584,273,622,409,377,254,"1,047",679
2021,1,90,"1,195",110,164,61,41,51,58,58,94,55,90,68,67,51,146,81
2021,1,100,93,16,10,2,2,5,6,4,9,5,5,4,5,4,11,5
2021,2,총,"116,315","8,282","13,635","4,155","4,242","3,014","3,598","3,553","6,106","2,460","6,312","3,414","3,964","2,259","34,970","16,351"
2021,2,0,"7,140",322,870,123,106,109,72,88,193,64,387,54,104,64,"3,321","1,263"
2021,2,10,"9,742",644,"1,104",181,240,141,168,155,321,101,420,127,198,130,"3,949","1,863"
2021,2,20,"11,215",712,"1,288",279,284,191,220,252,364,122,467,215,430,149,"4,453","1,789"
2021,2,30,"10,639",550,"1,270",235,243,226,211,203,340,107,541,162,252,129,"4,581","1,589"
2021,2,40,"15,296",951,"1,685",370,407,299,387,361,556,243,649,307,439,203,"5,866","2,573"
2021,2,50,"19,555","1,459","2,143",676,760,486,686,651,"1,199",438,"1,068",582,707,368,"5,465","2,867"
2021,2,60,"20,252","1,709","2,418",954,977,651,842,845,"1,488",609,"1,169",875,829,544,"4,013","2,329"
2021,2,70,"13,029","1,164","1,613",719,707,503,557,561,947,440,889,608,555,365,"2,105","1,296"
2021,2,80,"8,140",644,"1,066",554,474,348,391,377,595,277,623,411,374,251,"1,060",695
2021,2,90,"1,213",110,168,62,42,55,58,56,94,54,94,69,71,52,146,82
2021,2,100,94,17,10,2,2,5,6,4,9,5,5,4,5,4,11,5
2021,3,총,"115,573","8,138","13,453","4,125","4,231","2,997","3,571","3,534","6,038","2,419","6,253","3,378","3,967","2,248","34,959","16,262"
2021,3,0,"7,113",309,864,121,109,108,72,88,193,67,400,57,105,59,"3,311","1,250"
2021,3,10,"9,687",637,"1,103",174,242,141,166,156,317,97,420,122,200,132,"3,952","1,828"
2021,3,20,"11,157",706,"1,259",280,283,189,212,248,363,118,463,213,430,148,"4,463","1,782"
2021,3,30,"10,543",532,"1,245",233,246,218,210,204,333,108,547,162,252,127,"4,563","1,563"
2021,3,40,"15,117",935,"1,657",358,396,296,376,356,536,228,633,302,436,200,"5,853","2,555"
2021,3,50,"19,360","1,434","2,090",663,750,479,680,636,"1,164",430,"1,045",583,707,368,"5,466","2,865"
2021,3,60,"20,306","1,687","2,412",961,978,665,854,853,"1,492",606,"1,166",866,838,539,"4,044","2,345"
2021,3,70,"12,938","1,156","1,601",714,703,498,543,555,946,438,874,595,555,367,"2,095","1,298"
2021,3,80,"8,128",636,"1,057",558,478,347,396,379,599,277,615,413,373,248,"1,062",690
2021,3,90,"1,176",101,162,61,45,53,59,57,89,49,89,65,67,56,141,82
2021,3,100,48,5,3,2,1,3,3,2,6,1,1,0,4,4,9,4
2021,4,총,"115,520","8,129","13,418","4,109","4,224","2,991","3,572","3,527","6,050","2,424","6,231","3,368","3,974","2,246","35,014","16,243"
2021,4,0,"7,083",312,865,119,107,106,71,87,193,69,387,57,107,60,"3,302","1,241"
2021,4,10,"9,647",630,"1,092",172,243,142,165,154,316,97,421,119,205,129,"3,945","1,817"
2021,4,20,"11,151",703,"1,258",281,276,191,215,250,362,121,461,210,425,147,"4,469","1,782"
2021,4,30,"10,487",525,"1,235",226,245,211,209,202,333,110,539,156,249,125,"4,566","1,556"
2021,4,40,"15,056",941,"1,640",355,398,294,376,347,532,222,623,294,437,198,"5,855","2,544"
2021,4,50,"19,356","1,427","2,089",658,747,480,678,638,"1,174",429,"1,045",587,707,366,"5,470","2,861"
2021,4,60,"20,426","1,698","2,418",965,976,667,857,852,"1,499",608,"1,181",875,843,543,"4,083","2,361"
2021,4,70,"12,910","1,158","1,601",707,702,499,540,550,938,437,866,592,552,366,"2,103","1,299"
2021,4,80,"8,157",630,"1,051",562,484,343,397,384,605,279,620,412,378,252,"1,066",694
2021,4,90,"1,199",101,166,62,45,55,61,60,92,51,87,66,67,56,146,84
2021,4,100,48,4,3,2,1,3,3,3,6,1,1,0,4,4,9,4
2021,5,총,"115,431","8,096","13,370","4,100","4,231","2,991","3,563","3,523","6,048","2,431","6,246","3,367","3,975","2,228","35,047","16,215"
2021,5,0,"7,048",310,852,119,106,107,69,90,189,68,385,57,105,58,"3,296","1,237"
2021,5,10,"9,620",626,"1,088",168,246,141,168,156,308,99,420,120,205,129,"3,938","1,808"
2021,5,20,"11,129",698,"1,246",278,277,198,210,246,364,121,456,209,420,145,"4,481","1,780"
2021,5,30,"10,458",511,"1,235",226,249,212,206,205,324,108,547,156,252,121,"4,555","1,551"
2021,5,40,"14,956",941,"1,631",342,393,293,376,339,527,221,617,291,432,196,"5,833","2,524"
2021,5,50,"19,352","1,415","2,081",666,744,477,668,632,"1,175",432,"1,055",580,708,363,"5,496","2,860"
2021,5,60,"20,516","1,695","2,417",962,980,666,861,858,"1,513",612,"1,188",878,855,541,"4,123","2,367"
2021,5,70,"12,940","1,169","1,605",713,700,498,543,548,938,440,868,591,552,367,"2,109","1,299"
2021,5,80,"8,166",626,"1,046",561,489,341,399,387,609,279,623,419,377,250,"1,063",697
2021,5,90,"1,197",101,165,63,46,55,60,59,95,50,86,66,64,54,145,88
2021,5,100,49,4,4,2,1,3,3,3,6,1,1,0,5,4,8,4
2021,6,총,"115,305","8,108","13,360","4,082","4,209","2,977","3,542","3,530","6,042","2,441","6,256","3,374","3,975","2,225","35,011","16,173"
2021,6,0,"7,019",305,853,118,105,108,68,86,191,66,388,58,108,60,"3,286","1,219"
2021,6,10,"9,591",627,"1,088",166,243,139,165,157,305,97,417,117,202,128,"3,928","1,812"
2021,6,20,"11,085",701,"1,232",274,270,195,210,243,363,123,453,214,423,143,"4,470","1,771"
2021,6,30,"10,382",505,"1,235",221,244,209,204,207,324,109,556,161,253,121,"4,504","1,529"
2021,6,40,"14,957",942,"1,639",342,393,291,374,334,519,218,618,290,425,194,"5,851","2,527"
2021,6,50,"19,299","1,417","2,070",663,736,474,656,632,"1,174",432,"1,052",585,707,360,"5,497","2,844"
2021,6,60,"20,618","1,701","2,431",963,986,661,862,869,"1,522",622,"1,196",878,858,543,"4,142","2,384"
2021,6,70,"12,930","1,174","1,599",712,695,497,540,550,932,442,869,590,556,369,"2,112","1,293"
2021,6,80,"8,187",634,"1,049",562,490,344,399,390,608,281,620,419,372,249,"1,066",704
2021,6,90,"1,189",98,159,59,46,56,61,59,98,50,86,62,66,54,147,88
2021,6,100,48,4,5,2,1,3,3,3,6,1,1,0,5,4,8,2
2021,7,총,"115,239","8,096","13,377","4,081","4,216","2,969","3,540","3,525","6,060","2,438","6,234","3,374","3,993","2,220","34,980","16,136"
