년도,월,나이,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020,3,총,"77,136","9,029","6,666","5,001","4,638","5,276","8,275","5,224","3,445","7,161","12,185","7,695","2,541"
2020,3,0,"5,382",357,511,180,141,573,927,284,121,635,"1,003",570,80
2020,3,10,"5,170",497,385,246,207,254,571,326,219,539,"1,110",643,173
2020,3,20,"11,719","1,538","1,748","1,353",822,658,845,878,534,729,"1,368",984,262
2020,3,30,"10,991","1,205","1,239",756,536,"1,066","1,472",676,383,"1,019","1,462",957,220
2020,3,40,"10,962","1,203",914,575,528,705,"1,177",681,490,"1,146","1,977","1,180",386
2020,3,50,"11,479","1,394",701,632,760,755,"1,266",852,568,"1,098","1,827","1,201",425
2020,3,60,"10,168","1,305",581,575,800,662,"1,038",705,491,965,"1,680",949,417
2020,3,70,"7,395","1,020",363,441,564,408,662,554,407,676,"1,145",754,401
2020,3,80,"3,286",424,187,191,222,160,272,247,189,314,539,391,150
2020,3,90,489,74,30,47,43,30,35,19,29,36,66,59,21
2020,3,100,95,12,7,5,15,5,10,2,14,4,8,7,6
2020,4,총,"76,955","8,957","6,719","5,038","4,643","5,246","8,247","5,220","3,434","7,126","12,115","7,689","2,521"
2020,4,0,"5,325",349,515,178,139,568,926,282,118,629,980,562,79
2020,4,10,"5,129",493,387,246,207,242,566,322,223,529,"1,104",641,169
2020,4,20,"11,805","1,533","1,788","1,384",835,653,849,891,530,725,"1,357",998,262
2020,4,30,"10,952","1,198","1,245",765,529,"1,064","1,451",673,379,"1,020","1,458",954,216
2020,4,40,"10,907","1,183",911,574,525,700,"1,184",682,486,"1,131","1,966","1,180",385
2020,4,50,"11,431","1,391",700,640,754,749,"1,258",844,565,"1,095","1,820","1,201",414
2020,4,60,"10,152","1,297",587,572,805,659,"1,034",708,490,964,"1,671",946,419
2020,4,70,"7,371","1,004",365,439,566,412,659,547,407,683,"1,140",748,401
2020,4,80,"3,302",424,185,189,224,165,275,249,192,309,544,397,149
2020,4,90,484,72,29,46,44,29,34,20,30,37,67,55,21
2020,4,100,97,13,7,5,15,5,11,2,14,4,8,7,6
2020,5,총,"76,880","8,838","6,748","5,041","4,640","5,249","8,245","5,160","3,611","7,102","12,067","7,662","2,517"
2020,5,0,"5,318",341,511,175,142,571,923,279,150,620,974,556,76
2020,5,10,"5,110",498,389,246,203,243,561,315,232,529,"1,095",631,168
2020,5,20,"11,841","1,516","1,823","1,394",835,652,850,876,565,722,"1,349","1,001",258
