년도,월,나이,횡성군,횡성읍,우천면,안흥면,둔내면,갑천면,청일면,공근면,서원면,강림면
2020,1,총,"23,687","10,499","2,310","1,550","3,051","1,206","1,230","1,813","1,121",907
2020,1,0,"1,171",798,71,33,128,21,15,45,39,21
2020,1,10,"1,886","1,079",106,250,217,45,43,68,36,42
2020,1,20,"2,232","1,256",239,90,234,67,77,130,75,64
2020,1,30,"1,931","1,112",135,61,260,66,52,120,80,45
2020,1,40,"2,885","1,611",243,106,372,105,103,170,94,81
2020,1,50,"4,749","1,908",512,308,653,238,288,409,232,201
2020,1,60,"4,907","1,536",547,391,664,362,372,473,325,237
2020,1,70,"2,697",787,325,220,364,206,202,275,155,163
2020,1,80,"1,107",365,120,82,148,87,70,110,75,50
2020,1,90,110,44,12,8,11,7,7,10,9,2
2020,1,100,12,3,0,1,0,2,1,3,1,1
2020,2,총,"23,696","10,498","2,313","1,536","3,061","1,216","1,229","1,823","1,115",905
2020,2,0,"1,169",795,70,34,130,22,15,44,38,21
2020,2,10,"1,857","1,072",103,238,211,45,43,68,34,43
2020,2,20,"2,221","1,249",239,85,234,67,77,131,75,64
2020,2,30,"1,938","1,104",140,62,263,69,51,123,82,44
2020,2,40,"2,874","1,612",243,103,367,105,101,170,91,82
2020,2,50,"4,736","1,905",505,310,656,238,290,411,228,193
2020,2,60,"4,968","1,561",555,392,678,367,370,477,325,243
2020,2,70,"2,698",787,325,220,361,206,205,278,156,160
2020,2,80,"1,111",363,121,83,150,89,69,108,76,52
2020,2,90,112,47,12,8,11,6,7,10,9,2
2020,2,100,12,3,0,1,0,2,1,3,1,1
2020,3,총,"23,690","10,498","2,317","1,532","3,051","1,218","1,228","1,821","1,119",906
2020,3,0,"1,167",794,69,34,129,23,15,41,41,21
2020,3,10,"1,847","1,070",112,227,208,43,42,69,33,43
2020,3,20,"2,216","1,250",233,85,236,65,79,133,74,61
2020,3,30,"1,925","1,094",138,66,261,70,51,119,82,44
2020,3,40,"2,860","1,613",242,103,357,102,101,171,88,83
2020,3,50,"4,727","1,907",500,309,664,237,280,407,231,192
2020,3,60,"5,001","1,566",560,400,675,372,375,479,328,246
2020,3,70,"2,707",791,328,218,363,207,206,279,156,159
2020,3,80,"1,114",362,123,82,148,90,70,110,76,53
2020,3,90,114,48,12,7,10,7,8,10,9,3
2020,3,100,12,3,0,1,0,2,1,3,1,1
2020,4,총,"23,669","10,485","2,325","1,523","3,046","1,216","1,229","1,822","1,119",904
2020,4,0,"1,168",790,70,35,133,23,15,41,40,21
2020,4,10,"1,830","1,060",115,222,208,40,43,66,33,43
2020,4,20,"2,207","1,249",232,83,234,65,78,133,74,59
2020,4,30,"1,917","1,094",136,66,259,69,47,119,82,45
2020,4,40,"2,861","1,612",246,103,355,103,101,172,89,80
2020,4,50,"4,687","1,894",490,304,664,234,279,404,226,192
2020,4,60,"5,031","1,577",564,400,675,372,383,482,334,244
2020,4,70,"2,720",794,334,217,361,208,206,282,155,163
2020,4,80,"1,118",360,126,85,148,93,68,110,75,53
2020,4,90,119,52,12,7,9,7,8,10,10,4
2020,4,100,11,3,0,1,0,2,1,3,1,0
2020,5,총,"23,699","10,480","2,343","1,522","3,056","1,218","1,237","1,815","1,123",905
2020,5,0,"1,173",788,69,35,139,23,17,40,41,21
2020,5,10,"1,829","1,060",117,222,209,37,43,64,34,43
2020,5,20,"2,209","1,248",237,84,232,64,78,133,72,61
2020,5,30,"1,876","1,071",134,61,256,68,47,115,81,43
2020,5,40,"2,875","1,616",247,104,362,104,101,172,91,78
2020,5,50,"4,681","1,906",488,303,658,234,280,397,226,189
2020,5,60,"5,080","1,589",574,403,682,375,389,484,334,250
2020,5,70,"2,712",783,335,217,360,208,205,284,158,162
2020,5,80,"1,135",365,130,85,149,96,68,113,75,54
2020,5,90,118,51,12,7,9,7,8,10,10,4
2020,5,100,11,3,0,1,0,2,1,3,1,0
2020,6,총,"23,787","10,465","2,344","1,603","3,066","1,214","1,231","1,822","1,131",911
2020,6,0,"1,174",786,70,38,137,22,17,40,41,23
2020,6,10,"1,912","1,063",114,303,211,38,43,65,33,42
