년도,월,나이,가평군,가평읍,설악면,청평면,상면,조종면,북면
2020,1,총,"30,317","9,659","4,597","6,945","2,641","4,547","1,928"
2020,1,0,"1,809",610,294,356,81,383,85
2020,1,10,"2,261",808,405,486,144,318,100
2020,1,20,"2,687","1,036",366,604,203,378,100
2020,1,30,"2,752",911,370,615,175,538,143
2020,1,40,"3,693","1,270",515,923,254,565,166
2020,1,50,"5,504","1,690",855,"1,289",545,788,337
2020,1,60,"5,431","1,500",891,"1,244",610,733,453
2020,1,70,"3,619","1,072",490,881,353,518,305
2020,1,80,"2,169",657,336,462,234,279,201
2020,1,90,364,92,73,80,41,42,36
2020,1,100,28,13,2,5,1,5,2
2020,2,총,"30,248","9,646","4,601","6,921","2,599","4,562","1,919"
2020,2,0,"1,809",607,297,351,82,388,84
2020,2,10,"2,216",800,402,474,125,319,96
2020,2,20,"2,672","1,031",368,601,191,377,104
2020,2,30,"2,737",911,371,608,172,537,138
2020,2,40,"3,685","1,267",512,914,252,575,165
2020,2,50,"5,449","1,676",843,"1,283",534,780,333
2020,2,60,"5,495","1,524",906,"1,253",616,740,456
2020,2,70,"3,608","1,071",489,878,348,518,304
2020,2,80,"2,182",652,337,472,236,284,201
2020,2,90,367,94,74,82,42,39,36
2020,2,100,28,13,2,5,1,5,2
2020,3,총,"30,272","9,649","4,622","6,902","2,596","4,580","1,923"
2020,3,0,"1,799",601,297,343,81,390,87
2020,3,10,"2,205",797,406,474,112,319,97
2020,3,20,"2,688","1,036",373,592,193,386,108
2020,3,30,"2,723",913,367,595,175,538,135
2020,3,40,"3,684","1,259",520,923,249,566,167
2020,3,50,"5,419","1,671",839,"1,271",533,783,322
2020,3,60,"5,555","1,541",913,"1,262",626,748,465
2020,3,70,"3,596","1,065",491,877,348,514,301
2020,3,80,"2,203",658,338,476,235,292,204
2020,3,90,372,95,76,84,43,39,35
2020,3,100,28,13,2,5,1,5,2
2020,4,총,"30,330","9,645","4,623","6,917","2,644","4,573","1,928"
2020,4,0,"1,792",597,297,346,78,387,87
2020,4,10,"2,239",791,401,470,165,314,98
2020,4,20,"2,683","1,026",376,590,193,387,111
2020,4,30,"2,721",918,365,596,170,538,134
2020,4,40,"3,686","1,260",522,924,245,563,172
2020,4,50,"5,413","1,667",838,"1,271",535,779,323
2020,4,60,"5,584","1,548",915,"1,276",628,751,466
2020,4,70,"3,608","1,064",495,876,357,516,300
2020,4,80,"2,203",663,336,478,232,294,200
2020,4,90,373,98,76,85,40,39,35
2020,4,100,28,13,2,5,1,5,2
2020,5,총,"30,391","9,643","4,644","6,945","2,660","4,575","1,924"
2020,5,0,"1,784",595,299,342,79,383,86
