년도,월,나이,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020,3,총,"1,072,909","471,039","15,534","23,898","44,551","21,946","11,667","10,257","22,117","20,149","30,947","36,503","15,932","38,567","33,826","19,720","22,553","32,976","46,772","20,507","2,617","298,863","34,359","47,879","24,108","39,524","31,219","20,943","24,730","16,677","10,540","26,306","22,578","303,007","28,227","19,020","36,501","52,815","28,469","29,657","34,858","21,691","51,769"
2020,3,0,"84,647","39,167",646,"3,273","5,628","1,359",697,"1,412","2,204","2,478","2,465","2,278",965,"2,208","2,863",820,"1,577","2,452","3,032","2,717",93,"21,674","3,458","3,608","1,334","3,435","2,135",960,"1,537","1,273","1,327","1,183","1,424","23,806","2,183","1,045","2,752","4,929","2,071","2,108","2,217","1,661","4,840"
2020,3,10,"108,017","42,352","1,303","1,875","3,721","1,954","1,135",737,"1,423","1,489","3,289","2,895","1,301","3,882","3,969","1,331","2,220","3,088","5,146","1,427",167,"30,607","4,642","4,769","2,269","4,697","2,971","1,432","3,354","2,292",945,"1,616","1,620","35,058","2,856","1,596","5,952","5,857","3,433","3,391","3,066","2,395","6,512"
2020,3,20,"150,346","62,629","2,213","2,393","5,028","2,992","1,446","1,390","2,720","2,301","3,567","4,380","2,168","6,297","4,676","2,988","3,200","5,042","7,038","2,337",453,"44,739","4,718","7,126","4,053","5,421","5,022","3,349","3,878","2,264","1,128","4,889","2,891","42,978","4,081","2,839","4,964","7,638","3,755","3,861","6,192","3,098","6,550"
2020,3,30,"142,165","66,780","1,514","4,259","7,983","2,524","1,364","2,209","4,270","4,503","3,554","4,295","1,827","4,324","4,320","2,345","2,801","4,975","5,216","4,220",277,"38,571","3,794","5,722","2,990","4,845","4,618","3,511","2,295","1,576","1,649","4,699","2,872","36,814","3,385","2,034","3,504","7,325","3,251","3,426","5,041","2,917","5,931"
2020,3,40,"185,328","78,977","2,312","4,264","8,168","3,649","1,840","1,658","3,513","3,496","5,495","5,772","2,402","6,251","6,564","2,941","3,757","5,242","7,995","3,343",315,"52,497","6,946","7,644","3,802","7,143","5,349","3,877","4,363","3,040","1,935","4,901","3,497","53,854","4,624","2,742","7,499","9,575","4,934","5,055","5,524","3,852","10,049"
2020,3,50,"192,899","81,990","3,280","3,360","6,186","4,294","2,129","1,353","3,241","2,525","5,054","6,926","3,244","7,615","5,773","4,184","4,279","6,049","9,237","2,777",484,"55,411","6,028","9,302","4,621","6,874","5,733","3,815","4,843","3,128","1,839","4,693","4,535","55,498","5,315","4,287","6,519","9,467","5,055","5,251","6,500","3,934","9,170"
2020,3,60,"112,453","53,029","2,274","2,629","4,386","2,736","1,526",803,"2,551","1,931","3,941","5,442","2,184","3,811","2,862","2,808","2,560","3,176","4,836","2,126",447,"30,317","2,723","5,211","2,782","3,949","3,110","2,131","2,423","1,468","1,086","2,226","3,208","29,107","3,010","2,508","2,978","4,217","2,876","2,999","3,478","2,110","4,931"
2020,3,70,"60,801","29,788","1,283","1,259","2,367","1,566",959,437,"1,510",979,"2,394","3,027","1,210","2,531","1,709","1,474","1,375","1,851","2,582","1,025",250,"15,265","1,337","2,686","1,427","1,971","1,438","1,125","1,208",855,444,"1,216","1,558","15,748","1,796","1,231","1,362","2,297","1,719","1,970","1,803","1,093","2,477"
2020,3,80,"31,450","14,151",620,515,949,747,512,200,598,368,"1,034","1,241",540,"1,461",973,722,690,970,"1,461",442,108,"8,436",613,"1,540",717,"1,039",752,645,703,675,154,775,823,"8,863",850,648,827,"1,321","1,210","1,397",911,556,"1,143"
