년도,월,나이,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020,6,0,"24,491","4,186",966,"7,249","4,125","1,473","6,492"
2020,6,10,"24,838","4,242","1,215","6,716","3,276","2,006","7,383"
2020,6,20,"30,949","4,524","3,702","6,880","4,104","2,199","9,540"
2020,6,30,"39,496","5,811","4,849","9,913","6,131","2,456","10,336"
2020,6,40,"42,651","6,770","3,635","11,078","5,977","3,112","12,079"
2020,6,50,"32,796","5,344","2,779","8,259","4,198","2,470","9,746"
2020,6,60,"18,967","3,026","1,648","5,353","2,495","1,376","5,069"
2020,6,70,"9,535","1,570",785,"2,684","1,072",745,"2,679"
2020,6,80,"3,861",675,307,"1,117",413,333,"1,016"
2020,6,90,479,86,32,131,65,29,136
2020,6,100,48,9,7,13,6,5,8
2020,7,총,"228,323","36,256","19,976","59,461","31,935","16,190","64,505"
2020,7,0,"24,399","4,172",973,"7,212","4,119","1,476","6,447"
2020,7,10,"24,886","4,262","1,221","6,733","3,298","2,006","7,366"
2020,7,20,"30,922","4,511","3,680","6,906","4,091","2,177","9,557"
2020,7,30,"39,380","5,796","4,835","9,860","6,108","2,444","10,337"
2020,7,40,"42,815","6,776","3,666","11,147","6,025","3,115","12,086"
2020,7,50,"32,853","5,344","2,803","8,262","4,218","2,478","9,748"
2020,7,60,"19,105","3,052","1,666","5,387","2,509","1,381","5,110"
2020,7,70,"9,563","1,564",788,"2,695","1,079",748,"2,689"
2020,7,80,"3,872",686,305,"1,115",414,331,"1,021"
2020,7,90,480,84,32,131,68,29,136
2020,7,100,48,9,7,13,6,5,8
2020,8,총,"228,768","36,119","19,955","60,210","31,920","16,157","64,407"
2020,8,0,"24,291","4,129",955,"7,275","4,109","1,469","6,354"
2020,8,10,"24,888","4,243","1,198","6,835","3,286","1,983","7,343"
2020,8,20,"30,983","4,475","3,688","6,997","4,085","2,169","9,569"
2020,8,30,"39,348","5,732","4,818","10,001","6,086","2,424","10,287"
2020,8,40,"43,015","6,785","3,671","11,348","6,038","3,114","12,059"
2020,8,50,"32,915","5,336","2,793","8,336","4,201","2,479","9,770"
2020,8,60,"19,293","3,070","1,689","5,435","2,547","1,399","5,153"
2020,8,70,"9,600","1,568",799,"2,709","1,077",755,"2,692"
2020,8,80,"3,899",689,303,"1,129",414,329,"1,035"
2020,8,90,491,84,34,133,71,31,138
2020,8,100,45,8,7,12,6,5,7
2020,9,총,"229,249","36,095","20,008","60,564","31,916","16,195","64,471"
2020,9,0,"24,198","4,100",948,"7,281","4,094","1,456","6,319"
2020,9,10,"24,912","4,249","1,186","6,875","3,289","1,987","7,326"
2020,9,20,"31,100","4,465","3,739","7,014","4,090","2,187","9,605"
2020,9,30,"39,262","5,697","4,792","10,031","6,099","2,415","10,228"
2020,9,40,"43,141","6,792","3,695","11,450","6,007","3,108","12,089"
