년도,월,나이,삼척시,도계읍,원덕읍,원덕읍임원출장소,근덕면,하장면,노곡면,미로면,가곡면,신기면,남양동,교동,정라동,성내동
2020,1,총,"66,806","10,667","3,353","1,767","5,282","1,356",721,"1,885",715,675,"7,835","14,920","9,293","8,337"
2020,1,0,"4,114",358,94,39,105,27,6,50,15,23,331,"1,789",685,592
2020,1,10,"5,478",893,156,74,275,47,13,71,28,4,518,"1,720",887,792
2020,1,20,"7,776","2,191",242,131,391,75,28,99,35,30,784,"1,955","1,006",809
2020,1,30,"6,272",629,237,109,284,72,23,103,31,46,655,"2,224","1,046",813
2020,1,40,"9,276","1,185",415,191,488,158,76,212,83,75,966,"2,593","1,598","1,236"
2020,1,50,"11,703","1,764",639,378,"1,048",313,150,357,146,137,"1,522","2,272","1,546","1,431"
2020,1,60,"10,622","1,779",662,359,"1,113",350,170,411,172,142,"1,548","1,318","1,247","1,351"
2020,1,70,"7,177","1,251",538,305,870,184,138,323,121,135,994,683,826,809
2020,1,80,"3,812",543,315,153,614,118,97,226,73,75,457,312,381,448
2020,1,90,529,61,47,28,87,12,20,32,10,7,59,50,62,54
2020,1,100,47,13,8,0,7,0,0,1,1,1,1,4,9,2
2020,2,총,"66,478","10,521","3,354","1,760","5,271","1,357",716,"1,875",711,679,"7,853","14,814","9,289","8,278"
2020,2,0,"4,056",357,94,38,101,29,6,52,15,24,323,"1,747",692,578
2020,2,10,"5,403",853,153,78,268,45,12,69,28,8,521,"1,707",879,782
2020,2,20,"7,636","2,097",243,126,384,72,29,98,35,28,776,"1,933","1,014",801
2020,2,30,"6,192",628,238,108,284,74,23,103,30,44,653,"2,179","1,035",793
2020,2,40,"9,242","1,165",412,192,488,159,74,209,82,77,971,"2,584","1,592","1,237"
2020,2,50,"11,665","1,761",635,373,"1,037",312,149,351,142,137,"1,524","2,278","1,546","1,420"
2020,2,60,"10,686","1,785",670,364,"1,135",351,170,408,171,141,"1,563","1,330","1,250","1,348"
2020,2,70,"7,169","1,247",530,301,868,187,138,323,123,135,998,682,825,812
2020,2,80,"3,846",555,323,153,612,117,96,228,73,77,462,317,384,449
2020,2,90,535,59,48,27,87,11,19,33,11,7,61,53,63,56
2020,2,100,48,14,8,0,7,0,0,1,1,1,1,4,9,2
2020,3,총,"66,088","10,340","3,344","1,738","5,242","1,360",714,"1,889",709,679,"7,823","14,726","9,278","8,246"
2020,3,0,"4,014",351,92,39,99,31,6,50,15,24,312,"1,729",698,568
2020,3,10,"5,308",807,148,75,257,47,12,74,28,8,518,"1,688",870,776
2020,3,20,"7,497","1,984",241,124,385,71,30,97,33,30,760,"1,930","1,007",805
2020,3,30,"6,125",619,234,103,286,79,23,102,29,44,643,"2,152","1,028",783
2020,3,40,"9,161","1,151",407,186,478,154,70,217,83,78,969,"2,568","1,579","1,221"
2020,3,50,"11,608","1,747",633,362,"1,033",310,149,345,139,136,"1,529","2,262","1,551","1,412"
2020,3,60,"10,730","1,789",677,367,"1,138",354,169,412,174,141,"1,557","1,339","1,256","1,357"
2020,3,70,"7,191","1,257",531,303,854,188,139,330,124,131,"1,001",684,831,818
2020,3,80,"3,864",561,323,151,615,114,97,228,74,79,472,315,386,449
2020,3,90,542,60,50,28,90,12,19,33,9,7,61,55,63,55
2020,3,100,48,14,8,0,7,0,0,1,1,1,1,4,9,2
2020,4,총,"65,887","10,231","3,340","1,735","5,224","1,356",715,"1,888",706,678,"7,798","14,740","9,233","8,243"
2020,4,0,"4,010",354,96,39,97,31,7,52,15,22,312,"1,730",686,569
2020,4,10,"5,254",782,145,76,251,45,11,76,26,9,509,"1,687",862,775
2020,4,20,"7,404","1,907",251,121,379,68,32,93,35,28,767,"1,929","1,002",792
2020,4,30,"6,105",611,229,106,289,79,23,101,29,43,639,"2,148","1,019",789
2020,4,40,"9,109","1,140",406,186,475,155,69,215,82,77,959,"2,566","1,560","1,219"
2020,4,50,"11,568","1,735",631,359,"1,027",307,147,347,138,136,"1,514","2,273","1,547","1,407"
2020,4,60,"10,752","1,799",666,367,"1,141",356,170,410,172,144,"1,560","1,339","1,267","1,361"
2020,4,70,"7,195","1,260",532,301,854,188,137,329,124,130,"1,001",688,831,820
2020,4,80,"3,892",565,327,153,613,114,99,230,75,81,474,320,386,455
2020,4,90,549,63,49,27,91,13,20,34,9,7,61,56,65,54
2020,4,100,49,15,8,0,7,0,0,1,1,1,2,4,8,2
2020,5,총,"65,834","10,227","3,339","1,732","5,208","1,355",713,"1,885",705,682,"7,799","14,720","9,238","8,231"
2020,5,0,"4,000",352,97,40,96,31,7,51,14,22,312,"1,730",685,563
2020,5,10,"5,223",759,144,77,247,43,11,74,27,9,507,"1,694",853,778
2020,5,20,"7,402","1,932",248,120,376,70,32,93,34,26,767,"1,906","1,010",788
2020,5,30,"6,073",603,229,106,285,80,23,99,28,45,637,"2,140","1,017",781
2020,5,40,"9,094","1,139",408,186,473,155,67,210,80,77,954,"2,570","1,559","1,216"
2020,5,50,"11,519","1,725",626,354,"1,015",302,148,352,140,134,"1,511","2,267","1,546","1,399"
2020,5,60,"10,797","1,805",670,368,"1,138",359,169,413,171,151,"1,562","1,347","1,275","1,369"
2020,5,70,"7,207","1,257",530,300,863,189,140,328,125,127,"1,007",686,829,826
2020,5,80,"3,918",577,330,155,611,113,97,228,77,83,480,320,392,455
2020,5,90,552,63,49,26,97,13,19,36,8,7,60,56,64,54
2020,5,100,49,15,8,0,7,0,0,1,1,1,2,4,8,2
2020,6,총,"65,753","10,188","3,356","1,728","5,236","1,346",716,"1,879",700,679,"7,793","14,712","9,184","8,236"
2020,6,0,"3,988",348,95,38,97,30,7,47,14,22,309,"1,733",690,558
2020,6,10,"5,186",733,145,77,247,42,11,72,27,10,508,"1,689",837,788
2020,6,20,"7,402","1,944",254,119,373,69,33,91,33,25,763,"1,913",999,786
2020,6,30,"6,019",596,229,101,285,77,25,97,28,45,632,"2,122","1,001",781
2020,6,40,"9,075","1,134",404,190,479,154,65,208,78,76,966,"2,561","1,545","1,215"
2020,6,50,"11,480","1,713",641,353,"1,018",301,145,354,139,132,"1,489","2,268","1,535","1,392"
2020,6,60,"10,842","1,809",670,366,"1,157",358,172,414,169,150,"1,566","1,360","1,282","1,369"
2020,6,70,"7,238","1,254",530,302,865,190,143,331,124,128,"1,018",683,832,838
2020,6,80,"3,912",578,330,156,608,111,96,227,79,83,480,321,391,452
2020,6,90,561,64,50,26,100,14,19,37,8,7,60,57,64,55
2020,6,100,50,15,8,0,7,0,0,1,1,1,2,5,8,2
2020,7,총,"65,698","10,215","3,353","1,725","5,225","1,337",719,"1,862",699,679,"7,769","14,674","9,189","8,252"
2020,7,0,"3,956",345,95,38,101,29,7,46,14,21,300,"1,710",685,565
2020,7,10,"5,214",776,143,73,241,42,11,68,26,12,505,"1,686",844,787
2020,7,20,"7,390","1,943",257,120,375,67,33,91,31,25,760,"1,905","1,000",783
2020,7,30,"5,968",589,228,100,280,73,26,94,28,45,619,"2,110",990,786
2020,7,40,"9,062","1,131",402,191,478,151,61,203,78,76,964,"2,557","1,545","1,225"
