년도,월,나이,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동
2020,3,총,"343,933","7,947","11,390","8,953","13,576","6,692","13,545","12,776","7,716","14,455","15,162","4,259","26,997","10,375","16,233","18,767","15,596","44,394","10,370","69,405","15,325",,,
2020,3,0,"26,347",297,"1,150",737,490,244,905,"1,001",180,574,811,206,"2,784",424,907,989,832,"4,115",579,"8,416",706,,,
2020,3,10,"27,387",490,876,584,765,430,973,"1,080",383,926,"1,094",280,"2,753",618,998,"1,417",985,"3,781",625,"7,165","1,164",,,
2020,3,20,"42,031",873,"1,102","1,007","1,932",826,"1,538","1,684","1,325","1,867","1,941",629,"2,981","1,391","2,186","2,488","1,958","5,447","1,311","8,007","1,538",,,
2020,3,30,"45,111",739,"1,605","1,308","1,568",591,"1,648","1,679","1,080","1,471","1,745",474,"3,670","1,034","2,004","1,884","1,725","6,123","1,200","12,238","1,325",,,
2020,3,40,"51,917","1,009","1,951","1,231","1,873",889,"2,013","2,001","1,029","1,806","2,184",524,"4,669","1,298","2,088","2,418","2,039","6,977","1,338","12,447","2,133",,,
2020,3,50,"57,728","1,436","1,642","1,433","2,689","1,273","2,226","2,245","1,358","2,704","2,609",752,"4,286","2,132","3,094","3,673","2,928","7,223","2,058","9,123","2,844",,,
2020,3,60,"49,755","1,434","1,509","1,381","2,341","1,246","2,061","1,606","1,260","2,608","2,551",700,"3,384","1,914","2,698","3,151","2,707","5,999","1,753","6,754","2,698",,,
2020,3,70,"29,667","1,105","1,051",836,"1,365",808,"1,456",967,735,"1,721","1,498",462,"1,704","1,085","1,555","1,827","1,674","3,156","1,060","3,715","1,887",,,
2020,3,80,"12,422",500,440,381,481,353,654,451,327,693,636,215,679,431,625,827,665,"1,388",392,"1,364",920,,,
2020,3,90,"1,442",58,54,52,62,28,64,53,35,75,84,17,82,43,76,86,81,178,48,163,103,,,
2020,3,100,126,6,10,3,10,4,7,9,4,10,9,0,5,5,2,7,2,7,6,13,7,,,
2020,4,총,"343,568","7,940","11,191","8,958","13,483","6,674","13,524","12,722","7,733","14,421","15,152","4,268","26,951","10,324","16,239","18,692","15,537","44,277","10,334","69,672","15,476",,,
2020,4,0,"26,205",297,"1,119",728,489,238,901,991,182,565,814,207,"2,761",421,907,978,820,"4,089",573,"8,425",700,,,
2020,4,10,"27,296",485,877,588,752,429,969,"1,067",382,924,"1,084",280,"2,757",615,987,"1,409",976,"3,774",618,"7,165","1,158",,,
2020,4,20,"41,935",880,"1,068","1,009","1,917",824,"1,530","1,689","1,324","1,857","1,940",629,"2,985","1,366","2,180","2,458","1,940","5,426","1,302","8,055","1,556",,,
2020,4,30,"45,002",731,"1,573","1,305","1,561",587,"1,634","1,684","1,086","1,480","1,735",474,"3,637","1,032","1,999","1,870","1,713","6,071","1,185","12,321","1,324",,,
2020,4,40,"51,790","1,015","1,934","1,219","1,839",885,"1,994","1,963","1,036","1,791","2,175",529,"4,659","1,277","2,097","2,417","2,015","6,992","1,330","12,473","2,150",,,
2020,4,50,"57,627","1,421","1,610","1,438","2,685","1,271","2,228","2,226","1,356","2,681","2,605",752,"4,273","2,118","3,100","3,667","2,910","7,185","2,046","9,168","2,887",,,
