년도,월,나이,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020,3,총,"176,943","11,636","18,789","10,637","10,341","6,461","5,981","11,406","11,941","11,105","8,640","10,044","9,092","7,388","9,328","18,875","15,279"
2020,3,0,"13,291","1,267","1,238",838,"1,123",326,489,888,"1,021",472,663,598,660,331,549,"1,382","1,446"
2020,3,10,"14,865",752,"1,279",901,976,471,567,"1,088",902,648,477,675,807,460,778,"1,903","2,181"
2020,3,20,"27,894","1,395","2,997","1,486","1,108","1,383",897,"1,819","2,234","2,325","1,608","1,652","1,333","1,414","1,503","2,779","1,961"
2020,3,30,"30,978","2,432","3,247","1,799","1,771","1,088",925,"1,852","1,992","2,298","1,829","1,924","1,482","1,545","1,682","3,219","1,893"
2020,3,40,"30,370","2,007","2,951","1,615","2,117","1,021","1,144","1,871","1,987","1,830","1,302","1,651","1,627","1,209","1,647","3,305","3,086"
2020,3,50,"26,760","1,797","3,288","1,710","1,449",992,915,"1,800","1,775","1,499","1,156","1,537","1,377",965,"1,391","2,828","2,281"
2020,3,60,"17,795","1,195","2,152","1,250",997,630,543,"1,138","1,147",995,852,"1,059",937,772,954,"1,856","1,318"
2020,3,70,"10,345",503,"1,158",688,542,360,339,630,594,681,533,701,632,469,579,"1,163",773
2020,3,80,"4,126",244,427,307,236,167,148,281,262,314,193,225,209,186,222,398,307
2020,3,90,440,30,43,37,19,19,12,34,26,34,24,22,23,31,18,37,31
2020,3,100,79,14,9,6,3,4,2,5,1,9,3,0,5,6,5,5,2
2020,4,총,"176,856","11,604","18,766","10,616","10,333","6,695","5,952","11,376","11,921","11,068","8,615","10,000","9,087","7,395","9,293","18,843","15,292"
2020,4,0,"13,247","1,260","1,242",836,"1,127",349,479,888,"1,015",461,661,589,655,329,541,"1,378","1,437"
2020,4,10,"14,818",750,"1,262",895,978,482,563,"1,076",904,642,476,673,814,459,770,"1,893","2,181"
2020,4,20,"27,901","1,383","2,975","1,479","1,091","1,427",895,"1,826","2,243","2,323","1,611","1,646","1,338","1,431","1,497","2,765","1,971"
2020,4,30,"30,929","2,413","3,259","1,794","1,769","1,132",938,"1,853","1,971","2,289","1,813","1,913","1,461","1,547","1,672","3,220","1,885"
2020,4,40,"30,315","2,014","2,946","1,606","2,117","1,043","1,130","1,855","1,990","1,818","1,300","1,643","1,631","1,197","1,644","3,302","3,079"
2020,4,50,"26,773","1,802","3,283","1,706","1,446","1,042",903,"1,795","1,765","1,504","1,137","1,525","1,384",964,"1,381","2,827","2,309"
