년도,월,나이,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020,3,총,"556,436","109,190","158,424","75,636","105,386","107,800"
2020,3,0,"49,992","8,528","11,995","7,681","12,667","9,121"
2020,3,10,"54,320","9,639","15,026","7,429","11,274","10,952"
2020,3,20,"64,830","12,398","20,565","7,947","12,388","11,532"
2020,3,30,"74,227","13,235","20,355","10,984","17,021","12,632"
2020,3,40,"93,592","17,353","27,154","11,828","18,753","18,504"
2020,3,50,"103,475","21,148","31,013","13,475","18,338","19,501"
2020,3,60,"68,031","15,596","19,846","10,508","8,625","13,456"
2020,3,70,"30,532","7,482","8,304","3,830","3,846","7,070"
2020,3,80,"14,784","3,254","3,598","1,620","2,086","4,226"
2020,3,90,"2,525",513,546,314,375,777
2020,3,100,128,44,22,20,13,29
2020,4,총,"556,196","108,968","158,345","75,528","105,404","107,951"
2020,4,0,"49,818","8,467","11,978","7,629","12,634","9,110"
2020,4,10,"54,174","9,589","14,942","7,421","11,280","10,942"
2020,4,20,"64,742","12,363","20,565","7,917","12,329","11,568"
2020,4,30,"73,976","13,139","20,329","10,917","16,977","12,614"
2020,4,40,"93,343","17,285","27,022","11,810","18,783","18,443"
2020,4,50,"103,508","21,117","31,006","13,453","18,351","19,581"
2020,4,60,"68,447","15,665","19,966","10,557","8,721","13,538"
2020,4,70,"30,675","7,512","8,354","3,864","3,851","7,094"
2020,4,80,"14,846","3,267","3,613","1,628","2,085","4,253"
2020,4,90,"2,537",518,548,312,379,780
2020,4,100,130,46,22,20,14,28
2020,5,총,"555,714","108,719","158,327","75,448","105,395","107,825"
2020,5,0,"49,627","8,393","11,953","7,601","12,609","9,071"
2020,5,10,"53,956","9,524","14,866","7,404","11,265","10,897"
2020,5,20,"64,626","12,329","20,563","7,901","12,307","11,526"
2020,5,30,"73,616","13,039","20,299","10,839","16,887","12,552"
2020,5,40,"93,181","17,266","26,925","11,814","18,774","18,402"
2020,5,50,"103,542","21,078","31,031","13,393","18,426","19,614"
2020,5,60,"68,789","15,707","20,091","10,624","8,794","13,573"
2020,5,70,"30,829","7,539","8,399","3,907","3,858","7,126"
2020,5,80,"14,875","3,286","3,624","1,628","2,085","4,252"
2020,5,90,"2,542",512,554,317,375,784
2020,5,100,131,46,22,20,15,28
2020,6,총,"555,251","108,469","158,194","75,340","105,484","107,764"
2020,6,0,"49,410","8,341","11,912","7,550","12,588","9,019"
2020,6,10,"53,854","9,501","14,796","7,393","11,276","10,888"
2020,6,20,"64,455","12,274","20,513","7,884","12,293","11,491"
2020,6,30,"73,317","12,954","20,275","10,763","16,847","12,478"
2020,6,40,"93,072","17,193","26,896","11,821","18,774","18,388"
2020,6,50,"103,298","20,998","30,937","13,314","18,445","19,604"
2020,6,60,"69,336","15,810","20,217","10,722","8,912","13,675"
2020,6,70,"30,961","7,559","8,433","3,933","3,872","7,164"
2020,6,80,"14,878","3,285","3,640","1,628","2,085","4,240"
2020,6,90,"2,538",508,552,312,377,789
2020,6,100,132,46,23,20,15,28
2020,7,총,"554,829","108,255","157,993","75,250","105,524","107,807"
2020,7,0,"49,233","8,290","11,895","7,518","12,546","8,984"
2020,7,10,"53,708","9,481","14,722","7,368","11,274","10,863"
2020,7,20,"64,250","12,187","20,446","7,867","12,254","11,496"
2020,7,30,"73,006","12,868","20,200","10,677","16,803","12,458"
2020,7,40,"93,005","17,165","26,835","11,840","18,794","18,371"
2020,7,50,"103,268","20,964","30,925","13,276","18,499","19,604"
2020,7,60,"69,660","15,856","20,280","10,778","8,986","13,760"
2020,7,70,"31,092","7,597","8,478","3,946","3,890","7,181"
2020,7,80,"14,928","3,291","3,639","1,645","2,085","4,268"
2020,7,90,"2,544",511,549,314,376,794
2020,7,100,135,45,24,21,17,28
2020,8,총,"554,388","108,112","157,795","75,140","105,532","107,809"
2020,8,0,"48,996","8,225","11,848","7,487","12,510","8,926"
2020,8,10,"53,562","9,462","14,649","7,345","11,258","10,848"
2020,8,20,"64,043","12,146","20,388","7,831","12,214","11,464"
2020,8,30,"72,693","12,792","20,167","10,601","16,756","12,377"
2020,8,40,"92,889","17,107","26,733","11,856","18,799","18,394"
2020,8,50,"103,202","20,953","30,866","13,201","18,560","19,622"
2020,8,60,"70,176","15,949","20,439","10,876","9,041","13,871"
2020,8,70,"31,163","7,611","8,493","3,964","3,907","7,188"
2020,8,80,"14,990","3,317","3,637","1,648","2,097","4,291"
2020,8,90,"2,540",507,550,310,374,799
2020,8,100,134,43,25,21,16,29
2020,9,총,"553,981","107,949","157,555","75,093","105,588","107,796"
2020,9,0,"48,752","8,191","11,780","7,433","12,472","8,876"
2020,9,10,"53,462","9,454","14,556","7,344","11,278","10,830"
2020,9,20,"63,946","12,068","20,364","7,824","12,210","11,480"
2020,9,30,"72,283","12,727","20,050","10,546","16,667","12,293"
2020,9,40,"92,740","17,027","26,684","11,869","18,815","18,345"
2020,9,50,"103,120","20,902","30,835","13,126","18,612","19,645"
2020,9,60,"70,665","16,045","20,555","10,974","9,124","13,967"
2020,9,70,"31,264","7,638","8,501","3,985","3,921","7,219"
2020,9,80,"15,060","3,341","3,649","1,662","2,099","4,309"
