년도,월,나이,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020,1,총,"76,077","18,937","2,721","9,955","5,806","7,085","10,434","4,485","10,499","6,155"
2020,1,0,"7,800","1,963",123,"1,160",504,637,"1,098",383,"1,255",677
2020,1,10,"7,506","1,901",170,934,580,625,"1,166",462,"1,019",649
2020,1,20,"8,095","2,109",310,938,739,926,"1,121",382,"1,035",535
2020,1,30,"11,204","2,696",311,"1,598",744,979,"1,424",604,"1,897",951
2020,1,40,"11,835","3,113",356,"1,505",952,"1,032","1,689",675,"1,563",950
2020,1,50,"13,598","3,260",553,"1,656","1,192","1,242","2,013",830,"1,762","1,090"
2020,1,60,"10,316","2,410",570,"1,295",724,"1,074","1,282",731,"1,440",790
2020,1,70,"3,792",957,229,553,235,404,408,288,381,337
2020,1,80,"1,599",422,85,272,111,137,189,106,124,153
2020,1,90,313,100,13,40,24,28,43,23,22,20
2020,1,100,19,6,1,4,1,1,1,1,1,3
2020,2,총,"75,805","18,867","2,726","9,926","5,775","7,152","10,362","4,458","10,423","6,116"
2020,2,0,"7,719","1,923",120,"1,157",493,655,"1,095",371,"1,236",669
2020,2,10,"7,458","1,904",169,923,575,632,"1,150",458,"1,010",637
2020,2,20,"8,006","2,071",324,933,730,916,"1,099",387,"1,012",534
2020,2,30,"11,084","2,656",307,"1,587",729,"1,000","1,413",590,"1,873",929
2020,2,40,"11,847","3,123",353,"1,505",952,"1,047","1,679",670,"1,564",954
2020,2,50,"13,539","3,255",550,"1,648","1,189","1,243","2,000",827,"1,748","1,079"
2020,2,60,"10,397","2,436",572,"1,307",730,"1,078","1,286",735,"1,450",803
2020,2,70,"3,808",967,232,548,237,409,407,288,384,336
2020,2,80,"1,613",427,85,275,114,144,188,108,122,150
2020,2,90,314,98,13,39,25,27,44,23,23,22
2020,2,100,20,7,1,4,1,1,1,1,1,3
2020,3,총,"75,636","18,835","2,698","9,884","5,746","7,220","10,337","4,423","10,388","6,105"
2020,3,0,"7,681","1,909",119,"1,153",488,671,"1,091",367,"1,222",661
2020,3,10,"7,429","1,899",172,913,562,638,"1,149",454,"1,003",639
2020,3,20,"7,947","2,057",311,938,733,912,"1,082",375,"1,011",528
2020,3,30,"10,984","2,625",299,"1,566",721,"1,025","1,408",576,"1,846",918
2020,3,40,"11,828","3,114",347,"1,501",947,"1,059","1,674",657,"1,572",957
2020,3,50,"13,475","3,266",541,"1,631","1,182","1,248","1,990",820,"1,728","1,069"
2020,3,60,"10,508","2,449",577,"1,318",737,"1,085","1,302",754,"1,469",817
2020,3,70,"3,830",980,231,542,239,410,409,284,392,343
2020,3,80,"1,620",430,87,281,113,143,186,111,119,150
2020,3,90,314,99,13,37,23,28,45,24,25,20
2020,3,100,20,7,1,4,1,1,1,1,1,3
2020,4,총,"75,528","18,835","2,682","9,881","5,701","7,234","10,326","4,404","10,368","6,097"
2020,4,0,"7,629","1,893",117,"1,155",482,675,"1,088",364,"1,203",652
2020,4,10,"7,421","1,904",170,909,558,630,"1,148",458,"1,007",637
2020,4,20,"7,917","2,028",309,939,726,914,"1,084",374,"1,014",529
2020,4,30,"10,917","2,631",296,"1,551",704,"1,036","1,391",569,"1,828",911
2020,4,40,"11,810","3,111",347,"1,495",940,"1,052","1,683",656,"1,565",961
2020,4,50,"13,453","3,275",535,"1,636","1,175","1,251","1,975",811,"1,731","1,064"
2020,4,60,"10,557","2,467",577,"1,323",739,"1,091","1,312",746,"1,479",823
