년도,월,나이,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020,1,총,"15,096","5,175","1,551","1,803","1,786","1,660","1,579","1,212",149,181
2020,1,0,884,429,64,114,78,57,57,55,13,17
2020,1,10,"1,193",607,91,125,93,101,75,73,11,17
2020,1,20,"1,411",660,126,145,125,127,135,71,9,13
2020,1,30,"1,288",545,119,168,133,108,99,88,12,16
2020,1,40,"2,102",789,191,243,245,209,178,198,21,28
2020,1,50,"2,812",868,318,324,359,340,302,233,30,38
2020,1,60,"2,557",669,292,344,350,324,298,234,21,25
2020,1,70,"2,020",456,248,229,265,284,317,182,21,18
2020,1,80,761,141,94,100,127,100,105,77,10,7
2020,1,90,68,11,8,11,11,10,13,1,1,2
2020,1,100,0,0,0,0,0,0,0,0,0,0
2020,2,총,"15,047","5,200","1,550","1,791","1,779","1,648","1,555","1,203",145,176
2020,2,0,883,432,66,113,79,55,58,51,12,17
2020,2,10,"1,177",610,91,122,93,103,63,70,9,16
2020,2,20,"1,399",654,123,142,125,124,134,75,10,12
2020,2,30,"1,278",552,119,166,132,103,96,85,11,14
2020,2,40,"2,094",793,192,243,242,209,173,194,21,27
2020,2,50,"2,804",874,316,319,358,333,299,236,30,39
2020,2,60,"2,562",675,298,341,348,323,299,233,21,24
2020,2,70,"2,012",453,242,234,265,287,311,181,21,18
2020,2,80,771,146,96,100,126,100,110,77,9,7
2020,2,90,67,11,7,11,11,11,12,1,1,2
2020,2,100,0,0,0,0,0,0,0,0,0,0
2020,3,총,"15,021","5,179","1,541","1,795","1,779","1,650","1,561","1,196",144,176
2020,3,0,874,426,61,114,77,57,59,51,12,17
2020,3,10,"1,178",610,91,122,94,104,62,70,9,16
2020,3,20,"1,388",650,120,143,123,123,135,73,10,11
2020,3,30,"1,270",550,120,164,131,101,97,83,10,14
2020,3,40,"2,075",783,189,244,237,210,174,189,21,28
2020,3,50,"2,790",865,320,316,358,325,301,236,30,39
2020,3,60,"2,585",683,298,346,351,327,301,236,21,22
2020,3,70,"2,003",454,234,231,270,289,308,176,21,20
2020,3,80,791,148,101,104,127,102,112,81,9,7
2020,3,90,67,10,7,11,11,12,12,1,1,2
2020,3,100,0,0,0,0,0,0,0,0,0,0
2020,4,총,"14,998","5,196","1,540","1,790","1,772","1,644","1,540","1,198",144,174
2020,4,0,861,426,63,113,72,57,55,48,10,17
2020,4,10,"1,168",605,85,122,95,104,60,72,9,16
2020,4,20,"1,404",655,126,143,124,121,137,77,10,11
2020,4,30,"1,272",559,119,163,134,98,95,79,11,14
