년도,월,나이,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020,3,총,"1,672,252","20,454","52,230","43,844","57,150","172,634","132,743","133,353","143,363","195,405","159,079","116,174","67,778","101,595","83,806","109,636","83,008"
2020,3,0,"123,551",767,"2,922","2,242","2,834","11,082","10,421","9,698","10,326","15,378","11,019","7,120","9,979","7,808","5,445","6,818","9,692"
2020,3,10,"144,939","1,123","3,748","2,778","4,048","13,168","13,298","12,397","12,864","20,276","13,867","9,650","5,457","8,756","6,319","8,328","8,862"
2020,3,20,"227,531","2,753","6,720","5,388","6,748","25,481","17,608","18,836","20,945","26,118","22,215","18,461","6,329","13,484","11,934","15,952","8,559"
2020,3,30,"219,981","2,455","5,918","5,644","6,100","24,139","17,082","16,344","18,174","23,421","20,822","13,697","13,590","14,120","12,073","14,201","12,201"
2020,3,40,"259,940","3,026","7,600","6,570","8,349","26,189","21,140","21,447","20,636","31,889","24,227","16,531","12,173","15,755","12,635","15,856","15,917"
2020,3,50,"280,755","3,631","9,359","7,579","10,311","28,559","21,401","21,364","26,787","33,845","27,696","19,906","8,464","16,368","12,716","21,281","11,488"
2020,3,60,"243,739","3,672","8,628","7,454","10,337","25,488","18,567","18,572","21,434","26,423","24,009","17,710","7,598","14,578","12,444","17,601","9,224"
2020,3,70,"129,019","2,157","5,298","4,473","6,262","13,699","10,032","11,004","9,420","13,287","11,756","9,758","3,249","8,047","7,593","7,670","5,314"
2020,3,80,"39,216",755,"1,835","1,533","1,989","4,428","2,937","3,427","2,558","4,354","3,179","3,033",852,"2,470","2,425","1,818","1,623"
2020,3,90,"3,179",97,170,154,139,355,234,241,197,372,256,267,76,189,208,103,121
2020,3,100,402,18,32,29,33,46,23,23,22,42,33,41,11,20,14,8,7
2020,4,총,"1,671,199","20,451","52,251","44,003","57,014","172,703","132,883","133,034","143,102","195,412","158,716","115,861","67,825","101,425","83,743","109,497","83,279"
2020,4,0,"123,072",764,"2,914","2,263","2,811","11,072","10,420","9,640","10,274","15,292","10,947","7,062","9,965","7,761","5,424","6,775","9,688"
2020,4,10,"144,381","1,114","3,727","2,777","4,019","13,120","13,265","12,315","12,786","20,212","13,821","9,586","5,497","8,698","6,293","8,273","8,878"
2020,4,20,"227,296","2,775","6,724","5,405","6,711","25,506","17,598","18,856","20,875","26,138","22,137","18,377","6,340","13,460","11,898","15,918","8,578"
2020,4,30,"219,550","2,439","5,929","5,677","6,067","24,186","17,126","16,239","18,082","23,430","20,690","13,635","13,528","14,066","12,050","14,169","12,237"
2020,4,40,"259,516","3,031","7,574","6,573","8,304","26,107","21,168","21,386","20,640","31,798","24,125","16,472","12,233","15,725","12,624","15,786","15,970"
2020,4,50,"280,356","3,614","9,358","7,620","10,288","28,567","21,389","21,269","26,661","33,854","27,636","19,849","8,448","16,304","12,701","21,232","11,566"
2020,4,60,"244,338","3,667","8,651","7,468","10,351","25,521","18,642","18,581","21,514","26,515","24,062","17,737","7,598","14,628","12,470","17,669","9,264"
2020,4,70,"129,583","2,176","5,309","4,492","6,291","13,768","10,056","11,039","9,481","13,358","11,802","9,777","3,269","8,083","7,614","7,724","5,344"
2020,4,80,"39,523",756,"1,859","1,543","2,003","4,459","2,961","3,442","2,569","4,401","3,208","3,061",859,"2,489","2,445","1,842","1,626"
2020,4,90,"3,178",97,173,155,136,351,235,243,199,372,254,264,76,191,210,101,121
2020,4,100,406,18,33,30,33,46,23,24,21,42,34,41,12,20,14,8,7
2020,5,총,"1,670,175","20,457","52,319","44,007","56,867","172,803","132,867","132,724","143,042","194,943","158,447","115,716","68,009","101,258","83,672","109,279","83,765"
2020,5,0,"122,725",752,"2,924","2,245","2,796","11,046","10,401","9,600","10,249","15,227","10,869","7,045","9,975","7,723","5,407","6,729","9,737"
