년도,월,나이,음성군,음성읍,금왕읍,소이면,원남면,맹동면,대소면,삼성면,생극면,감곡면
2020,1,총,"95,006","17,338","20,653","2,974","3,097","13,217","15,712","7,105","4,629","10,281"
2020,1,0,"6,555","1,010","1,502",55,76,"1,703","1,215",278,188,528
2020,1,10,"8,065","1,484","2,164",122,136,974,"1,644",469,238,834
2020,1,20,"9,931","1,831","2,357",191,203,"1,465","1,788",661,365,"1,070"
2020,1,30,"10,404","1,638","2,232",170,175,"2,485","1,809",625,339,931
2020,1,40,"14,284","2,446","3,487",248,242,"2,201","2,887",920,517,"1,336"
2020,1,50,"17,996","3,342","3,939",569,576,"1,809","3,126","1,609",961,"2,065"
2020,1,60,"14,293","2,870","2,641",670,748,"1,398","1,817","1,331",999,"1,819"
2020,1,70,"8,256","1,725","1,444",537,553,757,881,727,590,"1,042"
2020,1,80,"4,505",866,770,363,327,344,477,426,370,562
2020,1,90,662,120,102,47,59,65,68,55,57,89
2020,1,100,55,6,15,2,2,16,0,4,5,5
2020,2,총,"94,909","17,295","20,601","2,972","3,106","13,197","15,718","7,125","4,630","10,265"
2020,2,0,"6,502",990,"1,492",56,77,"1,682","1,203",279,190,533
2020,2,10,"8,010","1,474","2,144",121,138,973,"1,636",462,236,826
2020,2,20,"9,895","1,811","2,349",185,200,"1,463","1,798",658,373,"1,058"
2020,2,30,"10,344","1,637","2,212",172,178,"2,452","1,791",638,338,926
2020,2,40,"14,264","2,432","3,483",246,242,"2,211","2,872",929,512,"1,337"
2020,2,50,"17,972","3,326","3,926",562,573,"1,825","3,151","1,598",960,"2,051"
2020,2,60,"14,409","2,902","2,661",677,757,"1,413","1,830","1,347",998,"1,824"
2020,2,70,"8,245","1,730","1,442",535,553,744,887,723,585,"1,046"
2020,2,80,"4,540",866,772,370,328,350,476,431,377,570
2020,2,90,674,121,105,46,58,68,74,56,57,89
2020,2,100,54,6,15,2,2,16,0,4,4,5
2020,3,총,"94,709","17,230","20,573","2,973","3,100","13,154","15,715","7,139","4,625","10,200"
2020,3,0,"6,461",981,"1,483",54,77,"1,665","1,199",278,188,536
2020,3,10,"7,973","1,464","2,141",124,132,980,"1,627",457,232,816
2020,3,20,"9,831","1,785","2,324",181,198,"1,469","1,786",663,372,"1,053"
2020,3,30,"10,259","1,610","2,206",176,177,"2,430","1,779",635,334,912
