지역명,2017-04-01 09:00:52,2017-05-01 09:00:52,2017-06-01 09:00:52,2017-07-01 09:00:52,2017-08-01 09:00:52,2017-09-01 09:00:52,2017-10-01 09:00:52,2017-11-01 09:00:52,2017-12-01 09:00:52,2018-01-01 09:00:52,2018-02-01 09:00:52,2018-03-01 09:00:52,2018-04-01 09:00:52,2018-05-01 09:00:52,2018-06-01 09:00:52,2018-07-01 09:00:52,2018-08-01 09:00:52,2018-09-01 09:00:52,2018-10-01 09:00:52,2018-11-01 09:00:52,2018-12-01 09:00:52,2019-01-01 09:00:52,2019-02-01 09:00:52,2019-03-01 09:00:52,2019-04-01 09:00:52,2019-05-01 09:00:52,2019-06-01 09:00:52,2019-07-01 09:00:52,2019-08-01 09:00:52,2019-09-01 09:00:52,2019-10-01 09:00:52,2019-11-01 09:00:52,2019-12-01 09:00:52,2020-01-01 09:00:52,2020-02-01 09:00:52,2020-03-01 09:00:52,2020-04-01 09:00:52,2020-05-01 09:00:52,2020-06-01 09:00:52,2020-07-01 09:00:52,2020-08-01 09:00:52,2020-09-01 09:00:52,2020-10-01 09:00:52,2020-11-01 09:00:52,2020-12-01 09:00:52,2021-01-01 09:00:52,2021-02-01 09:00:52,2021-03-01 09:00:52,2021-04-01 09:00:52,2021-05-01 09:00:52,2021-06-01 09:00:52,2021-07-01 09:00:52,2021-08-01 09:00:52,2021-09-01 09:00:52,2021-10-01 09:00:52,2021-11-01 09:00:52,2021-12-01 09:00:52,2022-01-01 09:00:52,2022-02-01 09:00:52,2022-03-01 09:00:52,2022-04-01 09:00:52
전국,32008,32125,32360,32545,32838,32936,33065,33237,33441,33779,34073,34508,34776,34911,35013,35142,35395,36251,36728,36936,37003,36713,36696,36638,36580,36553,36535,36683,36841,37016,37058,37167,37483,37803,38778,39409,39597,39698,40169,41014,41930,42322,43074,44060,45017,45961,47094,48077,48822,49468,50462,51257,52322,53624,54132,54954,55322,55561,55808,55935,56045
서울,60215,60708,61755,62448,63627,63924,64468,65193,66147,67613,68933,70947,72166,72727,73170,73821,74978,78561,80429,81343,81595,81439,81378,81210,81131,81139,81290,82278,83173,84051,84294,84777,85951,86997,89864,91201,91458,91530,92509,95033,98503,100312,100971,102767,104299,106108,108192,109993,111123,112375,114283,115751,117734,119978,121639,123729,124978,125969,126891,127334,127722
강북14개구,45650,45864,46403,46919,47681,47963,48327,48736,49090,49756,50359,51419,52437,52905,53369,54038,54868,57545,59158,59927,60323,61365,61435,61494,61654,61700,61733,62258,62764,63328,63551,63812,64645,65592,67891,69411,69910,70092,71160,73147,76257,77784,78637,80360,81660,83210,84914,86660,87834,88823,90290,91460,93079,95944,97025,98356,99172,99819,100487,100824,101128
강남11개구,72616,73347,74827,75668,77203,77512,78211,79204,80669,82816,84747,87572,88963,89603,90028,90665,92099,96453,98540,99576,99705,99082,98906,98537,98249,98224,98479,99873,101111,102265,102662,103386,104810,106266,109175,110352,110397,110372,111273,114268,118195,120356,120600,122460,124198,126232,128650,130500,131592,133074,135371,137101,139403,142980,144865,147325,148818,149928,151210,151897,152548
수도권,40838,41043,41472,41800,42322,42499,42739,43049,43434,44067,44618,45438,45972,46222,46425,46696,47190,48810,49718,50124,50225,49784,49772,49693,49630,49604,49626,49953,50282,50606,51036,51237,52141,52802,53542,54614,54921,55076,55775,57186,58943,59815,60455,61692,62845,64216,65971,67514,68676,69652,71184,72406,74063,76392,77249,78388,79081,79631,80195,80481,80735
6개광역시,26107,26160,26221,26307,26431,26500,26548,26624,26669,26734,26770,26828,26877,26940,26967,26999,27033,27122,27213,27275,27354,27588,27600,27610,27578,27566,27532,27540,27556,27636,27712,27840,28121,28308,28487,28806,28968,29082,29405,29717,30345,30803,30665,31629,32618,33264,33928,34558,35099,35625,36399,36991,37732,38969,39566,40306,40755,41109,41470,41648,41805
5개광역시,26147,26200,26266,26342,26457,26522,26575,26658,26709,26780,26824,26891,26950,27027,27062,27103,27139,27241,27339,27408,27508,27690,27695,27707,27671,27668,27640,27651,27669,27756,27843,27989,28322,28534,28699,28927,29048,29118,29420,29723,30272,30661,30759,31910,33054,33739,34430,34969,35352,35775,36376,36848,37404,38324,38782,39357,39701,39974,40248,40383,40501
기타지방,18715,18704,18690,18678,18651,18609,18576,18535,18498,18465,18453,18426,18326,18270,18221,18130,18077,18036,17963,17878,17838,18104,18056,17971,17903,17849,17754,17661,17600,17547,17509,17470,17509,17571,17644,17746,17749,17766,17926,18115,18513,18813,18643,18932,19293,19594,19853,20097,20321,20491,20739,20954,21278,22017,22445,22983,23320,23588,23881,24035,24179
부산,28832,28981,29161,29295,29436,29467,29484,29496,29499,29477,29473,29459,29419,29399,29351,29261,29165,29114,29031,28932,28905,28941,28820,28777,28659,28601,28455,28358,28253,28201,28155,28187,28668,28840,28958,29138,29243,29252,29493,29840,30904,31783,30924,32614,34232,35184,35916,36401,36851,37478,38386,39133,39980,41682,42717,43859,44508,45012,45527,45787,46013
대구,27663,27654,27650,27752,27988,28166,28315,28487,28564,28756,28867,29064,29307,29466,29558,29641,29709,29919,30069,30180,30266,30431,30523,30576,30570,30581,30622,30647,30675,30756,30805,30929,31051,31164,31288,31388,31423,31505,31698,31987,32507,32855,33232,34313,35380,36031,36737,37392,37842,38286,38727,38961,39183,39681,39910,40176,40319,40420,40500,40533,40534
