지역명,2017-04-01 09:00:52,2017-05-01 09:00:52,2017-06-01 09:00:52,2017-07-01 09:00:52,2017-08-01 09:00:52,2017-09-01 09:00:52,2017-10-01 09:00:52,2017-11-01 09:00:52,2017-12-01 09:00:52,2018-01-01 09:00:52,2018-02-01 09:00:52,2018-03-01 09:00:52,2018-04-01 09:00:52,2018-05-01 09:00:52,2018-06-01 09:00:52,2018-07-01 09:00:52,2018-08-01 09:00:52,2018-09-01 09:00:52,2018-10-01 09:00:52,2018-11-01 09:00:52,2018-12-01 09:00:52,2019-01-01 09:00:52,2019-02-01 09:00:52,2019-03-01 09:00:52,2019-04-01 09:00:52,2019-05-01 09:00:52,2019-06-01 09:00:52,2019-07-01 09:00:52,2019-08-01 09:00:52,2019-09-01 09:00:52,2019-10-01 09:00:52,2019-11-01 09:00:52,2019-12-01 09:00:52,2020-01-01 09:00:52,2020-02-01 09:00:52,2020-03-01 09:00:52,2020-04-01 09:00:52,2020-05-01 09:00:52,2020-06-01 09:00:52,2020-07-01 09:00:52,2020-08-01 09:00:52,2020-09-01 09:00:52,2020-10-01 09:00:52,2020-11-01 09:00:52,2020-12-01 09:00:52,2021-01-01 09:00:52,2021-02-01 09:00:52,2021-03-01 09:00:52,2021-04-01 09:00:52,2021-05-01 09:00:52,2021-06-01 09:00:52,2021-07-01 09:00:52,2021-08-01 09:00:52,2021-09-01 09:00:52,2021-10-01 09:00:52,2021-11-01 09:00:52,2021-12-01 09:00:52,2022-01-01 09:00:52,2022-02-01 09:00:52,2022-03-01 09:00:52,2022-04-01 09:00:52
전국,72.761,72.796,72.959,73.149,73.358,73.399,73.472,73.568,73.657,73.81,73.961,74.163,74.263,74.302,74.344,74.359,74.531,75.34,75.803,75.882,75.881,75.859,75.772,75.626,75.444,75.339,75.19,75.123,75.111,75.132,75.216,75.326,75.651,75.937,76.283,76.841,77.033,77.117,77.489,78.35,79.08,79.878,80.338,81.553,82.949,84.208,85.688,87.171,88.417,89.526,91.218,92.604,94.441,96.299,97.563,99.065,99.685,100,100.163,100.266,100.46
서울,61.808,61.944,62.472,63.009,63.671,63.766,64.05,64.447,64.873,65.602,66.249,67.08,67.624,67.893,68.158,68.518,69.318,71.976,73.3,73.589,73.669,73.659,73.591,73.467,73.361,73.316,73.261,73.531,73.828,74.158,74.587,75.007,75.81,76.315,76.708,77.269,77.388,77.388,77.788,79.452,81.083,82.701,83.317,84.6,85.713,87.087,88.48,89.658,90.512,91.424,92.941,94.133,95.633,97.252,98.269,99.31,99.768,100,100.092,100.147,100.256
종로구,74.157,74.257,74.49,74.69,75.14,75.377,75.755,75.965,76.32,76.823,77.001,77.831,78.296,78.598,78.947,79.251,79.511,81.167,82.189,82.702,82.943,82.958,82.968,82.968,82.947,82.933,82.86,83.04,83.048,83.294,83.69,84.113,84.525,84.882,85.054,85.204,85.251,85.364,85.577,86.231,87.519,88.786,89.16,89.779,90.997,91.873,92.223,92.357,93.022,93.558,93.944,94.793,95.537,96.81,97.772,99.186,99.968,100,100.0,100.067,100.301
중구,69.385,69.427,69.672,69.88,70.342,70.493,70.975,71.295,71.498,71.795,72.262,72.996,73.399,73.602,73.963,74.397,74.969,76.605,77.839,78.105,78.203,78.203,78.098,78.051,78.044,78.044,78.044,78.044,78.044,78.099,78.293,78.834,79.545,80.074,80.614,81.04,81.095,81.137,81.435,82.763,83.925,84.909,85.396,87.415,88.526,89.641,91.991,92.501,93.371,94.337,95.172,95.971,96.47,97.657,98.31,99.47,99.918,100,100.0,100.0,100.055
용산구,63.484,63.646,64.274,64.771,65.541,65.81,66.061,66.408,66.758,67.524,68.343,69.736,70.501,70.958,71.275,71.83,72.955,75.847,76.69,76.96,76.998,76.998,76.976,76.948,76.938,76.916,76.899,76.98,77.14,77.3,77.673,78.164,79.185,79.759,80.116,80.453,80.503,80.54,80.593,81.36,82.154,83.118,83.523,84.658,85.203,86.306,87.217,88.515,89.461,90.086,91.405,92.424,94.178,96.08,97.028,98.75,99.639,100,100.234,100.436,100.703
성동구,63.321,63.411,64.43,65.016,65.529,65.714,66.197,66.944,67.784,69.192,70.532,72.269,72.746,72.897,73.087,73.246,73.662,76.216,77.322,77.639,77.815,77.816,77.81,77.743,77.703,77.721,77.735,77.882,78.114,78.463,78.779,79.072,79.544,79.819,80.028,80.449,80.519,80.552,80.643,81.693,83.112,85.156,85.787,86.988,87.642,89.468,90.783,91.658,92.81,93.181,94.258,94.836,95.983,98.166,99.005,99.631,99.729,100,100.219,100.452,100.487
광진구,63.065,63.21,64.149,64.531,65.374,65.704,66.246,67.167,67.837,68.903,69.942,71.301,71.8,71.923,71.925,72.154,72.437,74.519,75.68,75.907,75.935,75.935,75.933,75.891,75.783,75.74,75.675,76.027,76.412,76.845,77.509,78.295,79.306,79.83,80.35,81.63,82.042,82.142,82.882,84.529,85.759,87.223,87.8,88.797,89.829,90.645,91.456,91.967,92.297,92.709,93.552,94.968,96.437,98.04,98.259,99.476,99.834,100,100.126,100.193,100.577
동대문구,64.387,64.5,64.769,65.212,65.849,66.073,66.314,66.569,66.785,67.279,67.889,68.831,69.53,69.715,70.115,70.584,71.049,74.16,75.723,76.158,76.253,76.253,76.237,76.152,76.137,76.077,75.8,75.999,76.345,76.768,77.06,77.273,77.512,77.744,78.063,78.709,78.878,78.901,79.179,80.497,81.574,82.996,83.569,84.943,85.658,87.274,89.355,90.674,91.334,92.155,93.641,94.618,96.421,97.968,98.87,99.737,99.782,100,99.901,99.84,100.021
중랑구,66.31,66.418,66.783,67.147,67.633,67.827,68.188,68.405,68.58,68.917,69.25,69.903,70.321,70.464,70.503,70.963,71.244,73.18,74.36,74.612,74.776,74.786,74.835,74.822,74.795,74.793,74.793,74.892,75.139,75.665,75.977,76.334,76.843,77.045,77.221,77.487,77.574,77.657,77.72,78.664,80.733,82.49,83.166,84.677,85.803,86.258,87.537,88.693,89.506,90.333,91.936,93.463,95.414,97.044,98.326,99.366,99.918,100,100.082,100.082,100.132
성북구,63.087,63.135,63.302,63.658,64.009,64.113,64.387,64.684,64.915,65.373,65.582,66.36,66.974,67.351,67.732,68.355,69.135,71.662,73.268,73.617,73.761,73.745,73.642,73.432,73.297,73.096,72.907,73.201,73.481,73.737,74.147,74.579,75.088,75.595,76.015,76.77,76.949,76.979,77.561,79.831,81.834,83.477,84.112,85.511,86.867,88.514,89.629,91.225,92.019,92.305,93.613,94.852,96.276,98.077,99.191,99.814,99.897,100,99.929,99.799,99.866
강북구,63.409,63.464,63.682,63.877,64.439,64.659,64.822,65.1,65.269,65.369,65.608,65.92,66.194,66.357,66.691,66.812,67.115,70.823,72.321,72.624,72.65,72.695,72.707,72.663,72.645,72.631,72.617,72.724,72.846,73,73.079,73.173,73.389,73.619,73.884,74.245,74.388,74.414,75.127,77.424,79.846,82.167,82.87,84.415,85.923,86.684,87.934,89.176,90.203,91.735,93.082,94.46,95.768,97.499,98.593,99.216,99.804,100,100.143,100.148,100.258
